Messstelle:                ;Mitterberg, Br 58.1
HZB-Nummer:                ;375097
HD-Nummer:                 ;V58.1
DBMS-Nummer:               ;4003035
PorenGW-Gebiet:            ;110 Traun-Agergebiet
Grundwasserkörper:         ;Gruppe Traun und Zubringertäler [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;22.02.1984
 Geländehöhe:              ;415,24
 Messpunkthöhe:            ;415,74
 Sohllage:                 ;367,69
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;13 48 05                 ;48 01 54
  01.01.2003               ;13 48 09                 ;48 01 56
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.03.1984 00:00:00   ;   368,46 ;     
01.04.1984 00:00:00   ;   368,52 ;     
01.05.1984 00:00:00   ;   368,69 ;     
01.06.1984 00:00:00   ;   368,74 ;     
01.07.1984 00:00:00   ;   368,65 ;     
01.08.1984 00:00:00   ;   368,65 ;     
01.09.1984 00:00:00   ;   368,57 ;     
01.10.1984 00:00:00   ;   368,61 ;     
01.11.1984 00:00:00   ;   368,44 ;     
01.12.1984 00:00:00   ;   368,40 ;     
01.01.1985 00:00:00   ;   368,38 ;     
01.02.1985 00:00:00   ;   368,48 ;     
01.03.1985 00:00:00   ;   368,54 ;     
01.04.1985 00:00:00   ;   368,68 ;     
01.05.1985 00:00:00   ;   368,87 ;     
01.06.1985 00:00:00   ;   368,90 ;     
01.07.1985 00:00:00   ;   368,75 ;     
01.08.1985 00:00:00   ;   368,95 ;     
01.09.1985 00:00:00   ;   369,19 ;     
01.10.1985 00:00:00   ;   368,91 ;     
01.11.1985 00:00:00   ;   368,69 ;     
01.12.1985 00:00:00   ;   368,60 ;     
01.01.1986 00:00:00   ;   368,76 ;     
01.02.1986 00:00:00   ;   369,16 ;     
01.03.1986 00:00:00   ;   368,91 ;     
01.04.1986 00:00:00   ;   368,87 ;     
01.05.1986 00:00:00   ;   369,08 ;     
01.06.1986 00:00:00   ;   368,89 ;     
01.07.1986 00:00:00   ;   368,64 ;     
01.08.1986 00:00:00   ;   368,60 ;     
01.09.1986 00:00:00   ;   368,57 ;     
01.10.1986 00:00:00   ;   368,50 ;     
01.11.1986 00:00:00   ;   368,47 ;     
01.12.1986 00:00:00   ;   368,44 ;     
01.01.1987 00:00:00   ;   368,57 ;     
01.02.1987 00:00:00   ;   368,76 ;     
01.03.1987 00:00:00   ;   369,07 ;     
01.04.1987 00:00:00   ;   369,31 ;     
01.05.1987 00:00:00   ;   369,48 ;     
01.06.1987 00:00:00   ;   369,45 ;     
01.07.1987 00:00:00   ;   369,27 ;     
01.08.1987 00:00:00   ;   369,13 ;     
01.09.1987 00:00:00   ;   368,91 ;     
01.10.1987 00:00:00   ;   368,73 ;     
01.11.1987 00:00:00   ;   368,60 ;     
01.12.1987 00:00:00   ;   368,67 ;     
01.01.1988 00:00:00   ;   368,72 ;     
01.02.1988 00:00:00   ;   368,65 ;     
01.03.1988 00:00:00   ;   368,80 ;     
01.04.1988 00:00:00   ;   369,83 ;     
01.05.1988 00:00:00   ;   369,76 ;     
01.06.1988 00:00:00   ;   369,42 ;     
01.07.1988 00:00:00   ;   368,98 ;     
01.08.1988 00:00:00   ;   368,83 ;     
01.09.1988 00:00:00   ;   368,98 ;     
01.10.1988 00:00:00   ;   368,65 ;     
01.11.1988 00:00:00   ;   368,55 ;     
01.12.1988 00:00:00   ;   368,80 ;     
01.01.1989 00:00:00   ;   369,08 ;     
01.02.1989 00:00:00   ;   369,00 ;     
01.03.1989 00:00:00   ;   368,92 ;     
01.04.1989 00:00:00   ;   368,95 ;     
01.05.1989 00:00:00   ;   369,04 ;     
01.06.1989 00:00:00   ;   369,08 ;     
01.07.1989 00:00:00   ;   369,11 ;     
01.08.1989 00:00:00   ;   369,00 ;     
