Messstelle:                ;St. Marienkirchen bei Schärding, Br 1.3
HZB-Nummer:                ;359547
HD-Nummer:                 ;HD4003330
DBMS-Nummer:               ;4003330
PorenGW-Gebiet:            ;060 Oberösterreichisches Inntal
Grundwasserkörper:         ;Unteres Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Privat
Höhenangaben [m ü.A.]:     ;gültig seit: ;23.09.2019
 Geländehöhe:              ;336,16
 Messpunkthöhe:            ;336,68
 Sohllage:                 ;329,08
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  22.09.2014               ;13 26 50                 ;48 23 42
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.10.2014 00:00:00   ;   333,27 ;     
01.11.2014 00:00:00   ;   332,89 ;     
01.12.2014 00:00:00   ;   332,82 ;     
01.01.2015 00:00:00   ;   333,74 ;     
01.02.2015 00:00:00   ;   333,11 ;     
01.03.2015 00:00:00   ;   332,99 ;     
01.04.2015 00:00:00   ;   333,07 ;     
01.05.2015 00:00:00   ;   333,59 ;     
01.06.2015 00:00:00   ;   332,99 ;     
01.07.2015 00:00:00   ;   332,16 ;     
01.08.2015 00:00:00   ;   331,43 ;     
01.09.2015 00:00:00   ;   331,18 ;     
01.10.2015 00:00:00   ;   331,24 ;     
01.11.2015 00:00:00   ;   331,56 ;     
01.12.2015 00:00:00   ;   331,83 ;     
01.01.2016 00:00:00   ;   332,34 ;     
01.02.2016 00:00:00   ;   333,64 ;     
01.03.2016 00:00:00   ;   333,24 ;     
01.04.2016 00:00:00   ;   332,56 ;     
01.05.2016 00:00:00   ;   333,32 ;     
01.06.2016 00:00:00   ;   334,84 ;     
01.07.2016 00:00:00   ;   334,30 ;     
01.08.2016 00:00:00   ;   332,72 ;     
01.09.2016 00:00:00   ;   332,87 ;     
01.10.2016 00:00:00   ;   332,68 ;     
01.11.2016 00:00:00   ;   333,40 ;     
01.12.2016 00:00:00   ;   332,68 ;     
01.01.2017 00:00:00   ;   332,72 ;     
01.02.2017 00:00:00   ;   333,36 ;     
01.03.2017 00:00:00   ;   334,02 ;     
01.04.2017 00:00:00   ;   333,03 ;     
01.05.2017 00:00:00   ;   333,68 ;     
01.06.2017 00:00:00   ;   332,17 ;     
01.07.2017 00:00:00   ;   331,59 ;     
01.08.2017 00:00:00   ;   331,52 ;     
01.09.2017 00:00:00   ;   331,69 ;     
01.10.2017 00:00:00   ;   331,58 ;     
01.11.2017 00:00:00   ;   332,67 ;     
01.12.2017 00:00:00   ;   333,74 ;     
01.01.2018 00:00:00   ;   334,16 ;     
01.02.2018 00:00:00   ;   333,49 ;     
01.03.2018 00:00:00   ;   333,16 ;     
01.04.2018 00:00:00   ;   333,10 ;     
01.05.2018 00:00:00   ;   332,19 ;     
01.06.2018 00:00:00   ;   331,90 ;     
01.07.2018 00:00:00   ;   331,61 ;     
01.08.2018 00:00:00   ;   331,21 ;     
01.09.2018 00:00:00   ;   331,64 ;     
01.10.2018 00:00:00   ;   331,46 ;     
01.11.2018 00:00:00   ;   331,54 ;     
01.12.2018 00:00:00   ;   333,03 ;     
01.01.2019 00:00:00   ;   333,82 ;     
01.02.2019 00:00:00   ;   333,55 ;     
01.03.2019 00:00:00   ;   333,35 ;     
01.04.2019 00:00:00   ;   332,69 ;     
01.05.2019 00:00:00   ;   332,87 ;     
01.06.2019 00:00:00   ;   333,03 ;     
01.07.2019 00:00:00   ;   332,13 ;     
01.08.2019 00:00:00   ;   331,92 ;     
01.09.2019 00:00:00   ;   332,17 ;     
01.10.2019 00:00:00   ;   332,23 ;     
01.11.2019 00:00:00   ;   332,37 ;     
01.12.2019 00:00:00   ;   332,77 ;     
01.01.2020 00:00:00   ;   332,85 ;     
01.02.2020 00:00:00   ;   333,65 ;     
01.03.2020 00:00:00   ;   333,66 ;     
01.04.2020 00:00:00   ;   332,68 ;     
01.05.2020 00:00:00   ;   332,50 ;     
01.06.2020 00:00:00   ;   333,30 ;     
01.07.2020 00:00:00   ;   333,60 ;     
01.08.2020 00:00:00   ;   333,52 ;     
01.09.2020 00:00:00   ;   332,95 ;     
01.10.2020 00:00:00   ;   333,47 ;     
01.11.2020 00:00:00   ;   333,67 ;     
01.12.2020 00:00:00   ;   333,10 ;     
01.01.2021 00:00:00   ;   333,81 ;     
01.02.2021 00:00:00   ;   334,20 ;     
01.03.2021 00:00:00   ;   333,12 ;     
01.04.2021 00:00:00   ;   332,89 ;     
01.05.2021 00:00:00   ;   333,65 ;     
01.06.2021 00:00:00   ;   333,15 ;     
01.07.2021 00:00:00   ;   333,27 ;     
01.08.2021 00:00:00   ;   333,57 ;     
01.09.2021 00:00:00   ;   332,61 ;     
01.10.2021 00:00:00   ;   332,10 ;     
01.11.2021 00:00:00   ;   332,30 ;     
01.12.2021 00:00:00   ;   333,82 ;     
01.01.2022 00:00:00   ;Lücke         ; 
