Messstelle:                ;Weyer, Bl KB9
HZB-Nummer:                ;381343
HD-Nummer:                 ;HD4003342
DBMS-Nummer:               ;4003342
Fremdnummer:               ;KB-09/03
PorenGW-Gebiet:            ;172 KEG Gaflenztal
Grundwasserkörper:         ;Gruppe Nördliche Kalkalpen [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Land OÖ, Straßenbau
Höhenangaben [m ü.A.]:     ;gültig seit: ;30.03.2016
 Geländehöhe:              ;423,52
 Messpunkthöhe:            ;424,42
 Sohllage:                 ;389,48
 T-Messtiefe u.GOK:        ;33,70
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  30.03.2016               ;14 40 11                 ;47 51 25
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2017 00:00:00   ;   395,25 ;     
01.02.2017 00:00:00   ;   395,41 ;     
01.03.2017 00:00:00   ;   395,52 ;     
01.04.2017 00:00:00   ;   395,51 ;     
01.05.2017 00:00:00   ;   395,55 ;     
01.06.2017 00:00:00   ;   395,33 ;     
01.07.2017 00:00:00   ;   395,30 ;     
01.08.2017 00:00:00   ;   395,31 ;     
01.09.2017 00:00:00   ;   395,39 ;     
01.10.2017 00:00:00   ;   395,36 ;     
01.11.2017 00:00:00   ;   395,46 ;     
01.12.2017 00:00:00   ;   395,44 ;     
01.01.2018 00:00:00   ;   395,66 ;     
01.02.2018 00:00:00   ;   395,43 ;     
01.03.2018 00:00:00   ;   395,33 ;     
01.04.2018 00:00:00   ;   395,30 ;     
01.05.2018 00:00:00   ;   395,18 ;     
01.06.2018 00:00:00   ;   395,19 ;     
01.07.2018 00:00:00   ;   395,25 ;     
01.08.2018 00:00:00   ;   395,10 ;     
01.09.2018 00:00:00   ;   395,07 ;     
01.10.2018 00:00:00   ;   395,02 ;     
01.11.2018 00:00:00   ;   395,01 ;     
01.12.2018 00:00:00   ;   395,40 ;     
01.01.2019 00:00:00   ;   395,69 ;     
01.02.2019 00:00:00   ;   395,52 ;     
01.03.2019 00:00:00   ;   395,55 ;     
01.04.2019 00:00:00   ;   395,30 ;     
01.05.2019 00:00:00   ;   395,52 ;     
01.06.2019 00:00:00   ;   395,40 ;     
01.07.2019 00:00:00   ;   395,25 ;     
01.08.2019 00:00:00   ;   395,19 ;     
01.09.2019 00:00:00   ;   395,12 ;     
01.10.2019 00:00:00   ;   395,10 ;     
01.11.2019 00:00:00   ;   395,10 ;     
01.12.2019 00:00:00   ;   395,13 ;     
01.01.2020 00:00:00   ;   395,20 ;     
01.02.2020 00:00:00   ;   395,56 ;     
01.03.2020 00:00:00   ;   395,37 ;     
01.04.2020 00:00:00   ;   395,18 ;     
01.05.2020 00:00:00   ;   395,16 ;     
01.06.2020 00:00:00   ;   395,32 ;     
01.07.2020 00:00:00   ;   395,35 ;     
01.08.2020 00:00:00   ;   395,47 ;     
01.09.2020 00:00:00   ;   395,42 ;     
01.10.2020 00:00:00   ;   395,42 ;     
01.11.2020 00:00:00   ;   395,32 ;     
01.12.2020 00:00:00   ;   395,24 ;     
01.01.2021 00:00:00   ;   395,26 ;     
01.02.2021 00:00:00   ;   395,35 ;     
01.03.2021 00:00:00   ;   395,30 ;     
01.04.2021 00:00:00   ;   395,32 ;     
01.05.2021 00:00:00   ;   395,30 ;     
01.06.2021 00:00:00   ;   395,18 ;     
01.07.2021 00:00:00   ;   395,22 ;     
01.08.2021 00:00:00   ;   395,36 ;     
01.09.2021 00:00:00   ;   395,34 ;     
01.10.2021 00:00:00   ;   395,21 ;     
01.11.2021 00:00:00   ;   395,12 ;     
01.12.2021 00:00:00   ;   395,42 ;     
01.01.2022 00:00:00   ;Lücke         ; 
