Messstelle:                ;Grafenstein, Bl 251
HZB-Nummer:                ;351882
HD-Nummer:                 ;
DBMS-Nummer:               ;2002383
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Österreichische Bundesbahnen
Höhenangaben [m ü.A.]:     ;gültig seit: ;15.03.2022
 Geländehöhe:              ;417,42
 Messpunkthöhe:            ;418,51
 Sohllage:                 ;401,33
 T-Messtiefe u.GOK:        ;6,91
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  27.09.2005               ;14 27 35                 ;46 37 07
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2006 HG08 durch Großbaustelle beeinflusst
  2007 HG08 durch Großbaustelle beeinflusst
  2014 HG14 fehlende Monatsmittel zufolge Datensammlerausfall
  2015 HG14 fehlende Monatsmittel zufolge Datensammlerausfall
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.10.2005 00:00:00   ;   412,00 ;     
01.11.2005 00:00:00   ;   412,00 ;     
01.12.2005 00:00:00   ;   411,99 ;     
01.01.2006 00:00:00   ;   411,97 ;     
01.02.2006 00:00:00   ;   411,96 ;     
01.03.2006 00:00:00   ;   411,99 ;     
01.04.2006 00:00:00   ;   412,17 ;     
01.05.2006 00:00:00   ;   412,22 ;     
01.06.2006 00:00:00   ;   412,21 ;     
01.07.2006 00:00:00   ;   412,17 ;     
01.08.2006 00:00:00   ;   412,16 ;     
01.09.2006 00:00:00   ;   412,12 ;     
01.10.2006 00:00:00   ;   412,08 ;     
01.11.2006 00:00:00   ;   412,03 ;     
01.12.2006 00:00:00   ;   412,00 ;     
01.01.2007 00:00:00   ;   411,97 ;     
01.02.2007 00:00:00   ;   411,94 ;     
01.03.2007 00:00:00   ;   411,91 ;     
01.04.2007 00:00:00   ;   411,90 ;     
01.05.2007 00:00:00   ;   411,88 ;     
01.06.2007 00:00:00   ;   411,87 ;     
01.07.2007 00:00:00   ;   411,87 ;     
01.08.2007 00:00:00   ;   411,85 ;     
01.09.2007 00:00:00   ;   411,86 ;     
01.10.2007 00:00:00   ;   411,90 ;     
01.11.2007 00:00:00   ;   411,90 ;     
01.12.2007 00:00:00   ;   411,86 ;     
01.01.2008 00:00:00   ;   411,84 ;     
01.02.2008 00:00:00   ;   411,82 ;     
01.03.2008 00:00:00   ;   411,78 ;     
01.04.2008 00:00:00   ;   411,74 ;     
01.05.2008 00:00:00   ;   411,71 ;     
01.06.2008 00:00:00   ;   411,70 ;     
01.07.2008 00:00:00   ;   411,70 ;     
01.08.2008 00:00:00   ;   411,70 ;     
01.09.2008 00:00:00   ;   411,69 ;     
01.10.2008 00:00:00   ;   411,66 ;     
01.11.2008 00:00:00   ;   411,63 ;     
01.12.2008 00:00:00   ;   411,69 ;     
01.01.2009 00:00:00   ;   411,70 ;     
01.02.2009 00:00:00   ;   411,73 ;     
01.03.2009 00:00:00   ;   411,77 ;     
01.04.2009 00:00:00   ;   411,76 ;     
01.05.2009 00:00:00   ;   411,76 ;     
01.06.2009 00:00:00   ;   411,79 ;     
01.07.2009 00:00:00   ;   411,82 ;     
01.08.2009 00:00:00   ;   411,83 ;     
01.09.2009 00:00:00   ;   411,87 ;     
01.10.2009 00:00:00   ;   411,88 ;     
01.11.2009 00:00:00   ;   411,90 ;     
01.12.2009 00:00:00   ;   411,92 ;     
01.01.2010 00:00:00   ;   411,96 ;     
01.02.2010 00:00:00   ;   411,94 ;     
01.03.2010 00:00:00   ;   411,95 ;     
01.04.2010 00:00:00   ;   411,97 ;     
01.05.2010 00:00:00   ;   411,97 ;     
