Messstelle:                ;Grafenstein, Bl 252
HZB-Nummer:                ;354712
HD-Nummer:                 ;
DBMS-Nummer:               ;2002560
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Österreichische Bundesbahnen
Höhenangaben [m ü.A.]:     ;gültig seit: ;29.11.2021
 Geländehöhe:              ;418,43
 Messpunkthöhe:            ;419,83
 Sohllage:                 ;400,25
 T-Messtiefe u.GOK:        ;7,60
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  04.12.2008               ;14 27 26                 ;46 37 13
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2009 00:00:00   ;   412,51 ;     
01.02.2009 00:00:00   ;   412,55 ;     
01.03.2009 00:00:00   ;   412,60 ;     
01.04.2009 00:00:00   ;   412,68 ;     
01.05.2009 00:00:00   ;   412,75 ;     
01.06.2009 00:00:00   ;   412,83 ;     
01.07.2009 00:00:00   ;   412,91 ;     
01.08.2009 00:00:00   ;   412,94 ;     
01.09.2009 00:00:00   ;   413,01 ;     
01.10.2009 00:00:00   ;   413,04 ;     
01.11.2009 00:00:00   ;   413,07 ;     
01.12.2009 00:00:00   ;   413,10 ;     
01.01.2010 00:00:00   ;   413,16 ;     
01.02.2010 00:00:00   ;   413,16 ;     
01.03.2010 00:00:00   ;   413,17 ;     
01.04.2010 00:00:00   ;   413,24 ;     
01.05.2010 00:00:00   ;   413,29 ;     
01.06.2010 00:00:00   ;   413,23 ;     
01.07.2010 00:00:00   ;   413,16 ;     
01.08.2010 00:00:00   ;   413,11 ;     
01.09.2010 00:00:00   ;   413,13 ;     
01.10.2010 00:00:00   ;   413,12 ;     
01.11.2010 00:00:00   ;   413,15 ;     
01.12.2010 00:00:00   ;   413,23 ;     
01.01.2011 00:00:00   ;   413,31 ;     
01.02.2011 00:00:00   ;   413,32 ;     
01.03.2011 00:00:00   ;   413,29 ;     
01.04.2011 00:00:00   ;   413,26 ;     
01.05.2011 00:00:00   ;   413,20 ;     
01.06.2011 00:00:00   ;   413,19 ;     
01.07.2011 00:00:00   ;   413,15 ;     
01.08.2011 00:00:00   ;   413,11 ;     
01.09.2011 00:00:00   ;   413,05 ;     
01.10.2011 00:00:00   ;   413,01 ;     
01.11.2011 00:00:00   ;   412,97 ;     
01.12.2011 00:00:00   ;   412,91 ;     
01.01.2012 00:00:00   ;   412,84 ;     
01.02.2012 00:00:00   ;   412,78 ;     
01.03.2012 00:00:00   ;   412,73 ;     
01.04.2012 00:00:00   ;   412,68 ;     
01.05.2012 00:00:00   ;   412,64 ;     
01.06.2012 00:00:00   ;   412,61 ;     
01.07.2012 00:00:00   ;   412,63 ;     
01.08.2012 00:00:00   ;   412,68 ;     
01.09.2012 00:00:00   ;   412,66 ;     
01.10.2012 00:00:00   ;   412,71 ;     
01.11.2012 00:00:00   ;   412,97 ;     
01.12.2012 00:00:00   ;   413,16 ;     
01.01.2013 00:00:00   ;   413,23 ;     
01.02.2013 00:00:00   ;   413,25 ;     
01.03.2013 00:00:00   ;   413,40 ;     
01.04.2013 00:00:00   ;   413,76 ;     
01.05.2013 00:00:00   ;   413,89 ;     
01.06.2013 00:00:00   ;   413,85 ;     
01.07.2013 00:00:00   ;   413,73 ;     
01.08.2013 00:00:00   ;   413,62 ;     
01.09.2013 00:00:00   ;   413,53 ;     
01.10.2013 00:00:00   ;   413,43 ;     
01.11.2013 00:00:00   ;   413,40 ;     
01.12.2013 00:00:00   ;   413,40 ;     
01.01.2014 00:00:00   ;   413,46 ;     
01.02.2014 00:00:00   ;   413,78 ;     
01.03.2014 00:00:00   ;   414,28 ;     
01.04.2014 00:00:00   ;   414,26 ;     
01.05.2014 00:00:00   ;   414,17 ;     
01.06.2014 00:00:00   ;   414,04 ;     
01.07.2014 00:00:00   ;   413,97 ;     
01.08.2014 00:00:00   ;   413,93 ;     
01.09.2014 00:00:00   ;   414,09 ;     
01.10.2014 00:00:00   ;   414,21 ;     
01.11.2014 00:00:00   ;   414,27 ;     
01.12.2014 00:00:00   ;   414,34 ;     
01.01.2015 00:00:00   ;   414,26 ;     
01.02.2015 00:00:00   ;   414,16 ;     
01.03.2015 00:00:00   ;   414,08 ;     
01.04.2015 00:00:00   ;   414,01 ;     
01.05.2015 00:00:00   ;   413,93 ;     
01.06.2015 00:00:00   ;   413,87 ;     
01.07.2015 00:00:00   ;   413,80 ;     
01.08.2015 00:00:00   ;   413,72 ;     
01.09.2015 00:00:00   ;   413,65 ;     
01.10.2015 00:00:00   ;   413,68 ;     
01.11.2015 00:00:00   ;   413,72 ;     
01.12.2015 00:00:00   ;   413,66 ;     
01.01.2016 00:00:00   ;   413,58 ;     
01.02.2016 00:00:00   ;   413,54 ;     
01.03.2016 00:00:00   ;   413,71 ;     
01.04.2016 00:00:00   ;   413,79 ;     
01.05.2016 00:00:00   ;   413,77 ;     
01.06.2016 00:00:00   ;   413,69 ;     
01.07.2016 00:00:00   ;   413,61 ;     
01.08.2016 00:00:00   ;   413,57 ;     
01.09.2016 00:00:00   ;   413,51 ;     
01.10.2016 00:00:00   ;   413,41 ;     
01.11.2016 00:00:00   ;   413,37 ;     
01.12.2016 00:00:00   ;   413,34 ;     
01.01.2017 00:00:00   ;   413,27 ;     
01.02.2017 00:00:00   ;   413,23 ;     
01.03.2017 00:00:00   ;   413,18 ;     
01.04.2017 00:00:00   ;   413,13 ;     
01.05.2017 00:00:00   ;   413,12 ;     
01.06.2017 00:00:00   ;   413,09 ;     
01.07.2017 00:00:00   ;   413,05 ;     
01.08.2017 00:00:00   ;   413,00 ;     
01.09.2017 00:00:00   ;   413,02 ;     
01.10.2017 00:00:00   ;   413,02 ;     
01.11.2017 00:00:00   ;   413,01 ;     
01.12.2017 00:00:00   ;   413,11 ;     
01.01.2018 00:00:00   ;   413,30 ;     
01.02.2018 00:00:00   ;   413,41 ;     
01.03.2018 00:00:00   ;   413,46 ;     
01.04.2018 00:00:00   ;   413,54 ;     
01.05.2018 00:00:00   ;   413,57 ;     
01.06.2018 00:00:00   ;   413,52 ;     
01.07.2018 00:00:00   ;   413,44 ;     
01.08.2018 00:00:00   ;   413,36 ;     
01.09.2018 00:00:00   ;   413,34 ;     
01.10.2018 00:00:00   ;   413,25 ;     
01.11.2018 00:00:00   ;   413,18 ;     
01.12.2018 00:00:00   ;   413,10 ;     
01.01.2019 00:00:00   ;   413,01 ;     
01.02.2019 00:00:00   ;   412,98 ;     
01.03.2019 00:00:00   ;   412,92 ;     
01.04.2019 00:00:00   ;   412,88 ;     
01.05.2019 00:00:00   ;   412,86 ;     
01.06.2019 00:00:00   ;   412,96 ;     
01.07.2019 00:00:00   ;   413,00 ;     
01.08.2019 00:00:00   ;   412,99 ;     
01.09.2019 00:00:00   ;   412,94 ;     
01.10.2019 00:00:00   ;   412,89 ;     
01.11.2019 00:00:00   ;   412,97 ;     
01.12.2019 00:00:00   ;   413,09 ;     
