Messstelle:                ;Schalchen, Bl GWS2
HZB-Nummer:                ;381202
HD-Nummer:                 ;HD4003320
DBMS-Nummer:               ;4003320
Fremdnummer:               ;GWS2
PorenGW-Gebiet:            ;055 Mattigtal
Grundwasserkörper:         ;Gruppe Zwischen Salzach und Mattig [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Land OÖ, Straßenbau
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.12.2013
 Geländehöhe:              ;450,37
 Messpunkthöhe:            ;451,35
 Sohllage:                 ;426,35
 T-Messtiefe u.GOK:        ;-99,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2012               ;13 09 50                 ;48 05 42
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.12.2013 00:00:00   ;   448,98 ;     
01.01.2014 00:00:00   ;   448,67 ;     
01.02.2014 00:00:00   ;   448,45 ;     
01.03.2014 00:00:00   ;   448,20 ;     
01.04.2014 00:00:00   ;   447,98 ;     
01.05.2014 00:00:00   ;   447,88 ;     
01.06.2014 00:00:00   ;   448,05 ;     
01.07.2014 00:00:00   ;   447,82 ;     
01.08.2014 00:00:00   ;   448,10 ;     
01.09.2014 00:00:00   ;   448,25 ;     
01.10.2014 00:00:00   ;   448,25 ;     
01.11.2014 00:00:00   ;   448,44 ;     
01.12.2014 00:00:00   ;   448,22 ;     
01.01.2015 00:00:00   ;   448,57 ;     
01.02.2015 00:00:00   ;   448,39 ;     
01.03.2015 00:00:00   ;   448,35 ;     
01.04.2015 00:00:00   ;   448,37 ;     
01.05.2015 00:00:00   ;   448,39 ;     
01.06.2015 00:00:00   ;   448,46 ;     
01.07.2015 00:00:00   ;   448,18 ;     
01.08.2015 00:00:00   ;   447,90 ;     
01.09.2015 00:00:00   ;   447,65 ;     
01.10.2015 00:00:00   ;   447,39 ;     
01.11.2015 00:00:00   ;   447,13 ;     
01.12.2015 00:00:00   ;   446,92 ;     
01.01.2016 00:00:00   ;   446,74 ;     
01.02.2016 00:00:00   ;   447,11 ;     
01.03.2016 00:00:00   ;   447,18 ;     
01.04.2016 00:00:00   ;   446,93 ;     
01.05.2016 00:00:00   ;   447,18 ;     
01.06.2016 00:00:00   ;   448,67 ;     
01.07.2016 00:00:00   ;   448,63 ;     
01.08.2016 00:00:00   ;   448,49 ;     
01.09.2016 00:00:00   ;   448,43 ;     
01.10.2016 00:00:00   ;   448,41 ;     
01.11.2016 00:00:00   ;   448,54 ;     
01.12.2016 00:00:00   ;   448,31 ;     
01.01.2017 00:00:00   ;   448,02 ;     
01.02.2017 00:00:00   ;   448,05 ;     
01.03.2017 00:00:00   ;   448,25 ;     
01.04.2017 00:00:00   ;   448,10 ;     
01.05.2017 00:00:00   ;   448,25 ;     
01.06.2017 00:00:00   ;   448,00 ;     
01.07.2017 00:00:00   ;   447,85 ;     
01.08.2017 00:00:00   ;   447,89 ;     
01.09.2017 00:00:00   ;   448,00 ;     
01.10.2017 00:00:00   ;   447,89 ;     
01.11.2017 00:00:00   ;   447,95 ;     
01.12.2017 00:00:00   ;   448,11 ;     
01.01.2018 00:00:00   ;   448,63 ;     
01.02.2018 00:00:00   ;   448,63 ;     
01.03.2018 00:00:00   ;   448,44 ;     
01.04.2018 00:00:00   ;   448,31 ;     
01.05.2018 00:00:00   ;   448,09 ;     
01.06.2018 00:00:00   ;   447,85 ;     
01.07.2018 00:00:00   ;   447,67 ;     
01.08.2018 00:00:00   ;   447,42 ;     
01.09.2018 00:00:00   ;   447,24 ;     
01.10.2018 00:00:00   ;   446,95 ;     
01.11.2018 00:00:00   ;   446,60 ;     
01.12.2018 00:00:00   ;   446,63 ;     
01.01.2019 00:00:00   ;   447,39 ;     
01.02.2019 00:00:00   ;   447,47 ;     
01.03.2019 00:00:00   ;   447,96 ;     
01.04.2019 00:00:00   ;   447,82 ;     
01.05.2019 00:00:00   ;   448,06 ;     
01.06.2019 00:00:00   ;   448,42 ;     
01.07.2019 00:00:00   ;   448,21 ;     
01.08.2019 00:00:00   ;   448,04 ;     
01.09.2019 00:00:00   ;   447,92 ;     
01.10.2019 00:00:00   ;   447,74 ;     
01.11.2019 00:00:00   ;   447,55 ;     
01.12.2019 00:00:00   ;   447,33 ;     
01.01.2020 00:00:00   ;   447,20 ;     
01.02.2020 00:00:00   ;   447,72 ;     
01.03.2020 00:00:00   ;   447,63 ;     
01.04.2020 00:00:00   ;   447,37 ;     
01.05.2020 00:00:00   ;   447,17 ;     
01.06.2020 00:00:00   ;   447,21 ;     
01.07.2020 00:00:00   ;   447,85 ;     
01.08.2020 00:00:00   ;   448,30 ;     
01.09.2020 00:00:00   ;   448,03 ;     
01.10.2020 00:00:00   ;   447,91 ;     
01.11.2020 00:00:00   ;   447,92 ;     
01.12.2020 00:00:00   ;   447,64 ;     
01.01.2021 00:00:00   ;   447,52 ;     
01.02.2021 00:00:00   ;   447,85 ;     
