Messstelle:                ;Prutz, Bl 8
HZB-Nummer:                ;371484
HD-Nummer:                 ;
DBMS-Nummer:               ;7004868
Fremdnummer:               ;GW70619046
PorenGW-Gebiet:            ;019 Oberinntal
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;19.11.2011
 Geländehöhe:              ;839,49
 Messpunkthöhe:            ;839,39
 Sohllage:                 ;745,59
 T-Messtiefe u.GOK:        ;75,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  19.11.2011               ;10 39 46                 ;47 04 05
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2012 00:00:00   ;   835,32 ;     
01.02.2012 00:00:00   ;   835,51 ;     
01.03.2012 00:00:00   ;   835,83 ;     
01.04.2012 00:00:00   ;   835,93 ;     
01.05.2012 00:00:00   ;   836,24 ;     
01.06.2012 00:00:00   ;   836,46 ;     
01.07.2012 00:00:00   ;   836,05 ;     
01.08.2012 00:00:00   ;   835,81 ;     
01.09.2012 00:00:00   ;   835,71 ;     
01.10.2012 00:00:00   ;   835,58 ;     
01.11.2012 00:00:00   ;   835,51 ;     
01.12.2012 00:00:00   ;   835,47 ;     
01.01.2013 00:00:00   ;   835,59 ;     
01.02.2013 00:00:00   ;   835,58 ;     
01.03.2013 00:00:00   ;   835,72 ;     
01.04.2013 00:00:00   ;   835,63 ;     
01.05.2013 00:00:00   ;   836,05 ;     
01.06.2013 00:00:00   ;   836,28 ;     
01.07.2013 00:00:00   ;   836,16 ;     
01.08.2013 00:00:00   ;   835,87 ;     
01.09.2013 00:00:00   ;   835,69 ;     
01.10.2013 00:00:00   ;   835,79 ;     
01.11.2013 00:00:00   ;   835,75 ;     
01.12.2013 00:00:00   ;   835,52 ;     
01.01.2014 00:00:00   ;   835,73 ;     
01.02.2014 00:00:00   ;   835,82 ;     
01.03.2014 00:00:00   ;   835,93 ;     
01.04.2014 00:00:00   ;   836,12 ;     
01.05.2014 00:00:00   ;   836,33 ;     
01.06.2014 00:00:00   ;   836,39 ;     
01.07.2014 00:00:00   ;   836,26 ;     
01.08.2014 00:00:00   ;   836,21 ;     
01.09.2014 00:00:00   ;   835,87 ;     
01.10.2014 00:00:00   ;   835,80 ;     
01.11.2014 00:00:00   ;   835,87 ;     
01.12.2014 00:00:00   ;   835,70 ;     
01.01.2015 00:00:00   ;   835,71 ;     
01.02.2015 00:00:00   ;   835,78 ;     
01.03.2015 00:00:00   ;   835,67 ;     
01.04.2015 00:00:00   ;   835,70 ;     
01.05.2015 00:00:00   ;   836,25 ;     
01.06.2015 00:00:00   ;   836,53 ;     
01.07.2015 00:00:00   ;   836,14 ;     
01.08.2015 00:00:00   ;   835,84 ;     
01.09.2015 00:00:00   ;   835,76 ;     
01.10.2015 00:00:00   ;   835,70 ;     
01.11.2015 00:00:00   ;   835,69 ;     
01.12.2015 00:00:00   ;   835,56 ;     
01.01.2016 00:00:00   ;   835,30 ;     
01.02.2016 00:00:00   ;   835,47 ;     
01.03.2016 00:00:00   ;   835,38 ;     
01.04.2016 00:00:00   ;   835,95 ;     
01.05.2016 00:00:00   ;   836,08 ;     
01.06.2016 00:00:00   ;   836,66 ;     
01.07.2016 00:00:00   ;   836,30 ;     
01.08.2016 00:00:00   ;   836,08 ;     
01.09.2016 00:00:00   ;   835,68 ;     
01.10.2016 00:00:00   ;   835,63 ;     
01.11.2016 00:00:00   ;   835,60 ;     
01.12.2016 00:00:00   ;   835,57 ;     
01.01.2017 00:00:00   ;   835,58 ;     
01.02.2017 00:00:00   ;   835,52 ;     
01.03.2017 00:00:00   ;   835,58 ;     
01.04.2017 00:00:00   ;   835,63 ;     
01.05.2017 00:00:00   ;   835,98 ;     
01.06.2017 00:00:00   ;   836,43 ;     
01.07.2017 00:00:00   ;   836,05 ;     
01.08.2017 00:00:00   ;   835,99 ;     
01.09.2017 00:00:00   ;   836,04 ;     
01.10.2017 00:00:00   ;   835,78 ;     
01.11.2017 00:00:00   ;   835,70 ;     
01.12.2017 00:00:00   ;   835,65 ;     
01.01.2018 00:00:00   ;   835,58 ;     
01.02.2018 00:00:00   ;   835,55 ;     
01.03.2018 00:00:00   ;   835,56 ;     
01.04.2018 00:00:00   ;   835,81 ;     
01.05.2018 00:00:00   ;   836,46 ;     
01.06.2018 00:00:00   ;   836,52 ;     
01.07.2018 00:00:00   ;   836,06 ;     
01.08.2018 00:00:00   ;   835,90 ;     
01.09.2018 00:00:00   ;   835,81 ;     
01.10.2018 00:00:00   ;   835,68 ;     
01.11.2018 00:00:00   ;   835,71 ;     
01.12.2018 00:00:00   ;   835,66 ;     
01.01.2019 00:00:00   ;   835,71 ;     
01.02.2019 00:00:00   ;   835,66 ;     
01.03.2019 00:00:00   ;   835,75 ;     
01.04.2019 00:00:00   ;   835,88 ;     
01.05.2019 00:00:00   ;   836,14 ;     
01.06.2019 00:00:00   ;   837,09 ;     
01.07.2019 00:00:00   ;   836,38 ;     
01.08.2019 00:00:00   ;   836,17 ;     
01.09.2019 00:00:00   ;   835,99 ;     
01.10.2019 00:00:00   ;   836,01 ;     
01.11.2019 00:00:00   ;   835,90 ;     
01.12.2019 00:00:00   ;   835,75 ;     
01.01.2020 00:00:00   ;   835,77 ;     
01.02.2020 00:00:00   ;   835,74 ;     
01.03.2020 00:00:00   ;   835,77 ;     
01.04.2020 00:00:00   ;   835,98 ;     
01.05.2020 00:00:00   ;   836,28 ;     
01.06.2020 00:00:00   ;   836,41 ;     
01.07.2020 00:00:00   ;   836,15 ;     
01.08.2020 00:00:00   ;   836,03 ;     
01.09.2020 00:00:00   ;   836,05 ;     
01.10.2020 00:00:00   ;   836,11 ;     
01.11.2020 00:00:00   ;   835,83 ;     
01.12.2020 00:00:00   ;   835,72 ;     
01.01.2021 00:00:00   ;   835,69 ;     
01.02.2021 00:00:00   ;   835,68 ;     
01.03.2021 00:00:00   ;   835,71 ;     
01.04.2021 00:00:00   ;   835,80 ;     
01.05.2021 00:00:00   ;   836,02 ;     
01.06.2021 00:00:00   ;   836,66 ;     
01.07.2021 00:00:00   ;   836,30 ;     
01.08.2021 00:00:00   ;   836,18 ;     
01.09.2021 00:00:00   ;   835,66 ;     
01.10.2021 00:00:00   ;   835,58 ;     
01.11.2021 00:00:00   ;   835,63 ;     
01.12.2021 00:00:00   ;   835,54 ;     
01.01.2022 00:00:00   ;Lücke         ; 
