Messstelle:                ;Weissenstein, Bl 648
HZB-Nummer:                ;359984
HD-Nummer:                 ;
DBMS-Nummer:               ;2900067
PorenGW-Gebiet:            ;415 Unteres Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Österreichische Draukraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;15.03.2023
 Geländehöhe:              ;503,68
 Messpunkthöhe:            ;504,53
 Sohllage:                 ;497,40
 T-Messtiefe u.GOK:        ;5,15
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  13.01.2015               ;13 42 46                 ;46 41 01
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.02.2015 00:00:00   ;   502,18 ;     
01.03.2015 00:00:00   ;   502,25 ;     
01.04.2015 00:00:00   ;   501,95 ;     
01.05.2015 00:00:00   ;   501,94 ;     
01.06.2015 00:00:00   ;   502,12 ;     
01.07.2015 00:00:00   ;   502,17 ;     
01.08.2015 00:00:00   ;   502,24 ;     
01.09.2015 00:00:00   ;   502,50 ;     
01.10.2015 00:00:00   ;   502,88 ;     
01.11.2015 00:00:00   ;   502,46 ;     
01.12.2015 00:00:00   ;   502,22 ;     
01.01.2016 00:00:00   ;   502,31 ;     
01.02.2016 00:00:00   ;   502,75 ;     
01.03.2016 00:00:00   ;   502,76 ;     
01.04.2016 00:00:00   ;   502,11 ;     
01.05.2016 00:00:00   ;   502,40 ;     
01.06.2016 00:00:00   ;   502,39 ;     
01.07.2016 00:00:00   ;   502,43 ;     
01.08.2016 00:00:00   ;   502,96 ;     
01.09.2016 00:00:00   ;   502,57 ;     
01.10.2016 00:00:00   ;   502,47 ;     
01.11.2016 00:00:00   ;   502,81 ;     
01.12.2016 00:00:00   ;   502,22 ;     
01.01.2017 00:00:00   ;   501,92 ;     
01.02.2017 00:00:00   ;   502,21 ;     
01.03.2017 00:00:00   ;   502,52 ;     
01.04.2017 00:00:00   ;   502,05 ;     
01.05.2017 00:00:00   ;   502,35 ;     
01.06.2017 00:00:00   ;   502,19 ;     
01.07.2017 00:00:00   ;   502,25 ;     
01.08.2017 00:00:00   ;   502,47 ;     
01.09.2017 00:00:00   ;   502,98 ;     
01.10.2017 00:00:00   ;   502,41 ;     
01.11.2017 00:00:00   ;   502,72 ;     
01.12.2017 00:00:00   ;   502,82 ;     
01.01.2018 00:00:00   ;   502,88 ;     
01.02.2018 00:00:00   ;   502,68 ;     
01.03.2018 00:00:00   ;   502,78 ;     
01.04.2018 00:00:00   ;   502,72 ;     
01.05.2018 00:00:00   ;   502,73 ;     
01.06.2018 00:00:00   ;   502,26 ;     
01.07.2018 00:00:00   ;   502,28 ;     
01.08.2018 00:00:00   ;   502,18 ;     
01.09.2018 00:00:00   ;   502,68 ;     
01.10.2018 00:00:00   ;   502,40 ;     
01.11.2018 00:00:00   ;   502,80 ;     
01.12.2018 00:00:00   ;   502,39 ;     
01.01.2019 00:00:00   ;   502,20 ;     
01.02.2019 00:00:00   ;   502,81 ;     
01.03.2019 00:00:00   ;   502,66 ;     
01.04.2019 00:00:00   ;   502,48 ;     
01.05.2019 00:00:00   ;   502,54 ;     
01.06.2019 00:00:00   ;   502,19 ;     
01.07.2019 00:00:00   ;   501,94 ;     
01.08.2019 00:00:00   ;   502,27 ;     
01.09.2019 00:00:00   ;   502,56 ;     
01.10.2019 00:00:00   ;   502,41 ;     
01.11.2019 00:00:00   ;   503,14 ;     
01.12.2019 00:00:00   ;   502,87 ;     
01.01.2020 00:00:00   ;   502,40 ;     
01.02.2020 00:00:00   ;   502,42 ;     
01.03.2020 00:00:00   ;   502,53 ;     
01.04.2020 00:00:00   ;   502,21 ;     
01.05.2020 00:00:00   ;   502,19 ;     
01.06.2020 00:00:00   ;   502,49 ;     
01.07.2020 00:00:00   ;   502,46 ;     
01.08.2020 00:00:00   ;   502,73 ;     
01.09.2020 00:00:00   ;   502,69 ;     
01.10.2020 00:00:00   ;   503,07 ;     
01.11.2020 00:00:00   ;   502,70 ;     
01.12.2020 00:00:00   ;   502,97 ;     
01.01.2021 00:00:00   ;   502,83 ;     
01.02.2021 00:00:00   ;   503,11 ;     
01.03.2021 00:00:00   ;   502,67 ;     
01.04.2021 00:00:00   ;   502,20 ;     
01.05.2021 00:00:00   ;   502,74 ;     
01.06.2021 00:00:00   ;   502,37 ;     
01.07.2021 00:00:00   ;   501,94 ;     
01.08.2021 00:00:00   ;   502,16 ;     
01.09.2021 00:00:00   ;   502,08 ;     
01.10.2021 00:00:00   ;   502,33 ;     
01.11.2021 00:00:00   ;   502,68 ;     
01.12.2021 00:00:00   ;   502,69 ;     
01.01.2022 00:00:00   ;Lücke         ; 
