Messstelle:                ;Radenthein, Bl 661
HZB-Nummer:                ;351841
HD-Nummer:                 ;
DBMS-Nummer:               ;2002381
PorenGW-Gebiet:            ;449 Radenthein
Grundwasserkörper:         ;Gruppe Zentralzone [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;12.05.2022
 Geländehöhe:              ;668,96
 Messpunkthöhe:            ;670,13
 Sohllage:                 ;663,45
 T-Messtiefe u.GOK:        ;5,33
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  06.10.2005               ;13 41 23                 ;46 47 58
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2006 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2021 HG14 fehlende Monatsmittel zufolge Datensammlerausfall
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.10.2005 00:00:00   ;   665,22 ;     
01.11.2005 00:00:00   ;   664,87 ;     
01.12.2005 00:00:00   ;   664,78 ;     
01.01.2006 00:00:00   ;   664,74 ;     
01.02.2006 00:00:00   ;   664,83 ;     
01.03.2006 00:00:00   ;   664,91 ;     
01.04.2006 00:00:00   ;   665,16 ;     
01.05.2006 00:00:00   ;   665,17 ;     
01.06.2006 00:00:00   ;   664,97 ;     
01.07.2006 00:00:00   ;   664,88 ;     
01.08.2006 00:00:00   ;   664,91 ;     
01.09.2006 00:00:00   ;   664,87 ;     
01.10.2006 00:00:00   ;   664,84 ;     
01.11.2006 00:00:00   ;   664,79 ;     
01.12.2006 00:00:00   ;   664,81 ;     
01.01.2007 00:00:00   ;   664,89 ;     
01.02.2007 00:00:00   ;   664,89 ;     
01.03.2007 00:00:00   ;   664,86 ;     
01.04.2007 00:00:00   ;   664,76 ;     
01.05.2007 00:00:00   ;   664,78 ;     
01.06.2007 00:00:00   ;   664,83 ;     
01.07.2007 00:00:00   ;   664,88 ;     
01.08.2007 00:00:00   ;   664,75 ;     
01.09.2007 00:00:00   ;   664,79 ;     
01.10.2007 00:00:00   ;   664,80 ;     
01.11.2007 00:00:00   ;   664,76 ;     
01.12.2007 00:00:00   ;   664,73 ;     
01.01.2008 00:00:00   ;   664,77 ;     
01.02.2008 00:00:00   ;   664,72 ;     
01.03.2008 00:00:00   ;   664,69 ;     
01.04.2008 00:00:00   ;   664,78 ;     
01.05.2008 00:00:00   ;   664,90 ;     
01.06.2008 00:00:00   ;   665,07 ;     
01.07.2008 00:00:00   ;   664,91 ;     
01.08.2008 00:00:00   ;   664,97 ;     
01.09.2008 00:00:00   ;   664,89 ;     
01.10.2008 00:00:00   ;   664,80 ;     
01.11.2008 00:00:00   ;   664,85 ;     
01.12.2008 00:00:00   ;   665,07 ;     
01.01.2009 00:00:00   ;   664,87 ;     
01.02.2009 00:00:00   ;   664,80 ;     
01.03.2009 00:00:00   ;   664,86 ;     
01.04.2009 00:00:00   ;   665,18 ;     
01.05.2009 00:00:00   ;   665,05 ;     
01.06.2009 00:00:00   ;   664,93 ;     
01.07.2009 00:00:00   ;   664,93 ;     
01.08.2009 00:00:00   ;   664,88 ;     
01.09.2009 00:00:00   ;   664,89 ;     
01.10.2009 00:00:00   ;   664,81 ;     
01.11.2009 00:00:00   ;   664,76 ;     
01.12.2009 00:00:00   ;   664,87 ;     
01.01.2010 00:00:00   ;   664,91 ;     
01.02.2010 00:00:00   ;   664,75 ;     
01.03.2010 00:00:00   ;   664,73 ;     
01.04.2010 00:00:00   ;   664,75 ;     
01.05.2010 00:00:00   ;   664,99 ;     
01.06.2010 00:00:00   ;   664,83 ;     
01.07.2010 00:00:00   ;   664,78 ;     
01.08.2010 00:00:00   ;   664,77 ;     
01.09.2010 00:00:00   ;   664,80 ;     
01.10.2010 00:00:00   ;   664,76 ;     
01.11.2010 00:00:00   ;   664,81 ;     
01.12.2010 00:00:00   ;   664,87 ;     
01.01.2011 00:00:00   ;   664,88 ;     
01.02.2011 00:00:00   ;   664,79 ;     
01.03.2011 00:00:00   ;   664,73 ;     
01.04.2011 00:00:00   ;   664,73 ;     
01.05.2011 00:00:00   ;   664,75 ;     
01.06.2011 00:00:00   ;   664,93 ;     
01.07.2011 00:00:00   ;   664,87 ;     
01.08.2011 00:00:00   ;   664,81 ;     
01.09.2011 00:00:00   ;   664,78 ;     
01.10.2011 00:00:00   ;   664,75 ;     
01.11.2011 00:00:00   ;   664,72 ;     
01.12.2011 00:00:00   ;   664,72 ;     
01.01.2012 00:00:00   ;   664,71 ;     
01.02.2012 00:00:00   ;   664,70 ;     
01.03.2012 00:00:00   ;   664,71 ;     
01.04.2012 00:00:00   ;   664,78 ;     
01.05.2012 00:00:00   ;   664,81 ;     
01.06.2012 00:00:00   ;   664,79 ;     
01.07.2012 00:00:00   ;   665,04 ;     
01.08.2012 00:00:00   ;   664,98 ;     
01.09.2012 00:00:00   ;   664,94 ;     
01.10.2012 00:00:00   ;   665,06 ;     
01.11.2012 00:00:00   ;   665,31 ;     
01.12.2012 00:00:00   ;   664,97 ;     
01.01.2013 00:00:00   ;   664,83 ;     
01.02.2013 00:00:00   ;   664,78 ;     
01.03.2013 00:00:00   ;   664,81 ;     
01.04.2013 00:00:00   ;   664,93 ;     
01.05.2013 00:00:00   ;   664,98 ;     
01.06.2013 00:00:00   ;   664,91 ;     
01.07.2013 00:00:00   ;   664,73 ;     
01.08.2013 00:00:00   ;   664,74 ;     
01.09.2013 00:00:00   ;   664,74 ;     
01.10.2013 00:00:00   ;   664,74 ;     
01.11.2013 00:00:00   ;   664,91 ;     
01.12.2013 00:00:00   ;   664,78 ;     
01.01.2014 00:00:00   ;   664,88 ;     
01.02.2014 00:00:00   ;   665,05 ;     
01.03.2014 00:00:00   ;   665,19 ;     
01.04.2014 00:00:00   ;   664,99 ;     
01.05.2014 00:00:00   ;   664,88 ;     
01.06.2014 00:00:00   ;   664,78 ;     
01.07.2014 00:00:00   ;   664,84 ;     
01.08.2014 00:00:00   ;   664,83 ;     
01.09.2014 00:00:00   ;   665,10 ;     
01.10.2014 00:00:00   ;   664,81 ;     
01.11.2014 00:00:00   ;   664,92 ;     
01.12.2014 00:00:00   ;   664,92 ;     
01.01.2015 00:00:00   ;   664,87 ;     
01.02.2015 00:00:00   ;   664,87 ;     
01.03.2015 00:00:00   ;   664,85 ;     
01.04.2015 00:00:00   ;   664,78 ;     
01.05.2015 00:00:00   ;   664,79 ;     
01.06.2015 00:00:00   ;   664,84 ;     
01.07.2015 00:00:00   ;   664,83 ;     
01.08.2015 00:00:00   ;   664,85 ;     
01.09.2015 00:00:00   ;   664,82 ;     
01.10.2015 00:00:00   ;   664,94 ;     
01.11.2015 00:00:00   ;   664,82 ;     
01.12.2015 00:00:00   ;   664,72 ;     
01.01.2016 00:00:00   ;   664,71 ;     
01.02.2016 00:00:00   ;   664,78 ;     
01.03.2016 00:00:00   ;   664,87 ;     
01.04.2016 00:00:00   ;   664,82 ;     
