Messstelle:                ;Langkampfen, Bl 45 (LK66)
HZB-Nummer:                ;360834
HD-Nummer:                 ;
DBMS-Nummer:               ;7004995
Fremdnummer:               ;GW70515076
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.05.2019
 Geländehöhe:              ;491,72
 Messpunkthöhe:            ;492,93
 Sohllage:                 ;480,42
 T-Messtiefe u.GOK:        ;9,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  23.02.2016               ;12 05 28                 ;47 32 01
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2019 HG33 durch Entleerung des nahegelegenen Stauraums beeinflusst
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.03.2016 00:00:00   ;   486,36 ;     
01.04.2016 00:00:00   ;   486,37 ;     
01.05.2016 00:00:00   ;   486,44 ;     
01.06.2016 00:00:00   ;   486,79 ;     
01.07.2016 00:00:00   ;   486,74 ;     
01.08.2016 00:00:00   ;   486,80 ;     
01.09.2016 00:00:00   ;   486,51 ;     
01.10.2016 00:00:00   ;   486,29 ;     
01.11.2016 00:00:00   ;   486,29 ;     
01.12.2016 00:00:00   ;   486,27 ;     
01.01.2017 00:00:00   ;   486,27 ;     
01.02.2017 00:00:00   ;   486,28 ;     
01.03.2017 00:00:00   ;   486,40 ;     
01.04.2017 00:00:00   ;   486,30 ;     
01.05.2017 00:00:00   ;   486,36 ;     
01.06.2017 00:00:00   ;   486,48 ;     
01.07.2017 00:00:00   ;   486,51 ;     
01.08.2017 00:00:00   ;   486,55 ;     
01.09.2017 00:00:00   ;   486,70 ;     
01.10.2017 00:00:00   ;   486,54 ;     
01.11.2017 00:00:00   ;   486,55 ;     
01.12.2017 00:00:00   ;   486,48 ;     
01.01.2018 00:00:00   ;   486,54 ;     
01.02.2018 00:00:00   ;   486,47 ;     
01.03.2018 00:00:00   ;   486,43 ;     
01.04.2018 00:00:00   ;   486,42 ;     
01.05.2018 00:00:00   ;   486,58 ;     
01.06.2018 00:00:00   ;   486,65 ;     
01.07.2018 00:00:00   ;   486,55 ;     
01.08.2018 00:00:00   ;   486,33 ;     
01.09.2018 00:00:00   ;   486,28 ;     
01.10.2018 00:00:00   ;   486,20 ;     
01.11.2018 00:00:00   ;   486,33 ;     
01.12.2018 00:00:00   ;   486,37 ;     
01.01.2019 00:00:00   ;   486,44 ;     
01.02.2019 00:00:00   ;   486,28 ;     
01.03.2019 00:00:00   ;   486,71 ;     
01.04.2019 00:00:00   ;   486,52 ;     
01.05.2019 00:00:00   ;   486,66 ;     
01.06.2019 00:00:00   ;   487,03 ;     
01.07.2019 00:00:00   ;   486,78 ;     
01.08.2019 00:00:00   ;   486,63 ;     
01.09.2019 00:00:00   ;   486,52 ;     
01.10.2019 00:00:00   ;   486,44 ;     
01.11.2019 00:00:00   ;   486,43 ;     
01.12.2019 00:00:00   ;   485,56 ;     
01.01.2020 00:00:00   ;   486,59 ;     
01.02.2020 00:00:00   ;   486,63 ;     
01.03.2020 00:00:00   ;   486,54 ;     
01.04.2020 00:00:00   ;   486,53 ;     
01.05.2020 00:00:00   ;   486,52 ;     
01.06.2020 00:00:00   ;   486,52 ;     
01.07.2020 00:00:00   ;   486,47 ;     
01.08.2020 00:00:00   ;   486,46 ;     
01.09.2020 00:00:00   ;   486,54 ;     
01.10.2020 00:00:00   ;   486,54 ;     
01.11.2020 00:00:00   ;   486,54 ;     
01.12.2020 00:00:00   ;   486,48 ;     
01.01.2021 00:00:00   ;   486,40 ;     
01.02.2021 00:00:00   ;   486,43 ;     
01.03.2021 00:00:00   ;   486,37 ;     
01.04.2021 00:00:00   ;   486,30 ;     
01.05.2021 00:00:00   ;   486,34 ;     
01.06.2021 00:00:00   ;   486,62 ;     
01.07.2021 00:00:00   ;   486,76 ;     
01.08.2021 00:00:00   ;   486,87 ;     
01.09.2021 00:00:00   ;   486,63 ;     
01.10.2021 00:00:00   ;   486,43 ;     
01.11.2021 00:00:00   ;   486,43 ;     
01.12.2021 00:00:00   ;   486,43 ;     
01.01.2022 00:00:00   ;Lücke         ; 
