Messstelle:                ;Obere Fellach, Bl 613
HZB-Nummer:                ;351676
HD-Nummer:                 ;
DBMS-Nummer:               ;2002316
PorenGW-Gebiet:            ;415 Unteres Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;22.04.2003
 Geländehöhe:              ;500,75
 Messpunkthöhe:            ;501,71
 Sohllage:                 ;487,75
 T-Messtiefe u.GOK:        ;11,04
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  22.04.2003               ;13 49 22                 ;46 38 05
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2004 bis -> FG06 durch Kraftwerk beeinflusst
  2004 bis 2005 FG37 Kraftwerksbeeinflusst - (Mehr)Tagesmaxima verwendet
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.05.2003 00:00:00   ;   494,10 ;     
01.06.2003 00:00:00   ;   494,12 ;     
01.07.2003 00:00:00   ;   494,12 ;     
01.08.2003 00:00:00   ;   494,07 ;     
01.09.2003 00:00:00   ;   494,13 ;     
01.10.2003 00:00:00   ;   494,11 ;     
01.11.2003 00:00:00   ;   494,18 ;     
01.12.2003 00:00:00   ;   494,23 ;     
01.01.2004 00:00:00   ;   494,18 ;     
01.02.2004 00:00:00   ;   494,12 ;     
01.03.2004 00:00:00   ;   494,17 ;     
01.04.2004 00:00:00   ;   494,30 ;     
01.05.2004 00:00:00   ;   494,26 ;     
01.06.2004 00:00:00   ;   494,28 ;     
01.07.2004 00:00:00   ;   494,42 ;     
01.08.2004 00:00:00   ;   494,27 ;     
01.09.2004 00:00:00   ;   494,25 ;     
01.10.2004 00:00:00   ;   494,19 ;     
01.11.2004 00:00:00   ;   494,29 ;     
01.12.2004 00:00:00   ;   494,21 ;     
01.01.2005 00:00:00   ;   494,19 ;     
01.02.2005 00:00:00   ;   494,11 ;     
01.03.2005 00:00:00   ;   494,11 ;     
01.04.2005 00:00:00   ;   494,15 ;     
