Messstelle:                ;Plötzenedt, Br 8,5
HZB-Nummer:                ;359398
HD-Nummer:                 ;HD4003277
DBMS-Nummer:               ;4003277
PorenGW-Gebiet:            ;081 Hausruck-Ottnanger Hügelland
Grundwasserkörper:         ;Gruppe Hausruck [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Privat
Höhenangaben [m ü.A.]:     ;gültig seit: ;31.08.2010
 Geländehöhe:              ;511,23
 Messpunkthöhe:            ;511,23
 Sohllage:                 ;493,48
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;13 39 25                 ;48 05 04
  31.08.2010               ;13 39 25                 ;48 05 04
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.09.2010 00:00:00   ;   494,30 ;     
01.10.2010 00:00:00   ;   494,28 ;     
01.11.2010 00:00:00   ;   494,29 ;     
01.12.2010 00:00:00   ;   494,32 ;     
01.01.2011 00:00:00   ;   494,32 ;     
01.02.2011 00:00:00   ;   494,29 ;     
01.03.2011 00:00:00   ;   494,30 ;     
01.04.2011 00:00:00   ;   494,26 ;     
01.05.2011 00:00:00   ;   494,20 ;     
01.06.2011 00:00:00   ;   494,18 ;     
01.07.2011 00:00:00   ;   494,15 ;     
01.08.2011 00:00:00   ;   494,14 ;     
01.09.2011 00:00:00   ;   494,10 ;     
01.10.2011 00:00:00   ;   494,11 ;     
01.11.2011 00:00:00   ;   494,09 ;     
01.12.2011 00:00:00   ;   494,11 ;     
01.01.2012 00:00:00   ;   494,19 ;     
01.02.2012 00:00:00   ;   494,20 ;     
01.03.2012 00:00:00   ;   494,20 ;     
01.04.2012 00:00:00   ;   494,14 ;     
01.05.2012 00:00:00   ;   494,09 ;     
01.06.2012 00:00:00   ;   494,08 ;     
01.07.2012 00:00:00   ;   494,06 ;     
01.08.2012 00:00:00   ;   494,06 ;     
01.09.2012 00:00:00   ;   494,06 ;     
01.10.2012 00:00:00   ;   494,05 ;     
01.11.2012 00:00:00   ;   494,08 ;     
01.12.2012 00:00:00   ;   494,14 ;     
01.01.2013 00:00:00   ;   494,20 ;     
01.02.2013 00:00:00   ;   494,22 ;     
01.03.2013 00:00:00   ;   494,25 ;     
01.04.2013 00:00:00   ;   494,23 ;     
01.05.2013 00:00:00   ;   494,20 ;     
01.06.2013 00:00:00   ;   494,29 ;     
01.07.2013 00:00:00   ;   494,28 ;     
01.08.2013 00:00:00   ;   494,24 ;     
01.09.2013 00:00:00   ;   494,24 ;     
01.10.2013 00:00:00   ;   494,27 ;     
01.11.2013 00:00:00   ;   494,29 ;     
01.12.2013 00:00:00   ;   494,28 ;     
01.01.2014 00:00:00   ;   494,27 ;     
01.02.2014 00:00:00   ;   494,27 ;     
01.03.2014 00:00:00   ;   494,21 ;     
01.04.2014 00:00:00   ;   494,18 ;     
01.05.2014 00:00:00   ;   494,16 ;     
01.06.2014 00:00:00   ;   494,16 ;     
01.07.2014 00:00:00   ;   494,11 ;     
01.08.2014 00:00:00   ;   494,13 ;     
01.09.2014 00:00:00   ;   494,17 ;     
01.10.2014 00:00:00   ;   494,16 ;     
01.11.2014 00:00:00   ;   494,17 ;     
01.12.2014 00:00:00   ;   494,16 ;     
01.01.2015 00:00:00   ;   494,20 ;     
01.02.2015 00:00:00   ;   494,21 ;     
01.03.2015 00:00:00   ;   494,24 ;     
01.04.2015 00:00:00   ;   494,25 ;     
01.05.2015 00:00:00   ;   494,28 ;     
01.06.2015 00:00:00   ;   494,26 ;     
01.07.2015 00:00:00   ;   494,24 ;     
01.08.2015 00:00:00   ;   494,18 ;     
01.09.2015 00:00:00   ;   494,16 ;     
01.10.2015 00:00:00   ;   494,15 ;     
01.11.2015 00:00:00   ;   494,16 ;     
01.12.2015 00:00:00   ;   494,14 ;     
01.01.2016 00:00:00   ;   494,15 ;     
01.02.2016 00:00:00   ;   494,21 ;     
01.03.2016 00:00:00   ;   494,18 ;     
01.04.2016 00:00:00   ;   494,12 ;     
01.05.2016 00:00:00   ;   494,17 ;     
01.06.2016 00:00:00   ;   494,21 ;     
01.07.2016 00:00:00   ;   494,20 ;     
01.08.2016 00:00:00   ;   494,16 ;     
01.09.2016 00:00:00   ;   494,12 ;     
01.10.2016 00:00:00   ;   494,11 ;     
01.11.2016 00:00:00   ;   494,14 ;     
01.12.2016 00:00:00   ;   494,12 ;     
01.01.2017 00:00:00   ;   494,10 ;     
01.02.2017 00:00:00   ;   494,14 ;     
01.03.2017 00:00:00   ;   494,15 ;     
01.04.2017 00:00:00   ;   494,18 ;     
01.05.2017 00:00:00   ;   494,20 ;     
01.06.2017 00:00:00   ;   494,14 ;     
01.07.2017 00:00:00   ;   494,10 ;     
01.08.2017 00:00:00   ;   494,12 ;     
01.09.2017 00:00:00   ;   494,10 ;     
01.10.2017 00:00:00   ;   494,09 ;     
01.11.2017 00:00:00   ;   494,13 ;     
01.12.2017 00:00:00   ;   494,17 ;     
01.01.2018 00:00:00   ;   494,21 ;     
01.02.2018 00:00:00   ;   494,24 ;     
01.03.2018 00:00:00   ;   494,22 ;     
01.04.2018 00:00:00   ;   494,19 ;     
01.05.2018 00:00:00   ;   494,17 ;     
01.06.2018 00:00:00   ;   494,15 ;     
01.07.2018 00:00:00   ;   494,14 ;     
01.08.2018 00:00:00   ;   494,09 ;     
01.09.2018 00:00:00   ;   494,07 ;     
01.10.2018 00:00:00   ;   494,06 ;     
01.11.2018 00:00:00   ;   494,05 ;     
01.12.2018 00:00:00   ;   494,10 ;     
01.01.2019 00:00:00   ;   494,11 ;     
01.02.2019 00:00:00   ;   494,18 ;     
01.03.2019 00:00:00   ;   494,20 ;     
01.04.2019 00:00:00   ;   494,12 ;     
01.05.2019 00:00:00   ;   494,09 ;     
01.06.2019 00:00:00   ;   494,08 ;     
01.07.2019 00:00:00   ;   494,03 ;     
01.08.2019 00:00:00   ;   494,00 ;     
01.09.2019 00:00:00   ;   493,99 ;     
01.10.2019 00:00:00   ;   494,00 ;     
01.11.2019 00:00:00   ;   493,99 ;     
01.12.2019 00:00:00   ;   493,99 ;     
01.01.2020 00:00:00   ;   493,99 ;     
01.02.2020 00:00:00   ;   494,08 ;     
01.03.2020 00:00:00   ;   494,09 ;     
01.04.2020 00:00:00   ;   494,04 ;     
01.05.2020 00:00:00   ;   494,02 ;     
01.06.2020 00:00:00   ;   494,01 ;     
01.07.2020 00:00:00   ;   494,03 ;     
01.08.2020 00:00:00   ;   494,07 ;     
01.09.2020 00:00:00   ;   494,03 ;     
01.10.2020 00:00:00   ;   494,07 ;     
01.11.2020 00:00:00   ;   494,09 ;     
01.12.2020 00:00:00   ;   494,05 ;     
01.01.2021 00:00:00   ;   494,07 ;     
01.02.2021 00:00:00   ;   494,12 ;     
01.03.2021 00:00:00   ;   494,13 ;     
01.04.2021 00:00:00   ;   494,12 ;     
01.05.2021 00:00:00   ;   494,13 ;     
01.06.2021 00:00:00   ;   494,10 ;     
01.07.2021 00:00:00   ;   494,10 ;     
01.08.2021 00:00:00   ;   494,15 ;     
01.09.2021 00:00:00   ;   494,11 ;     
01.10.2021 00:00:00   ;   494,12 ;     
01.11.2021 00:00:00   ;   494,07 ;     
01.12.2021 00:00:00   ;   494,07 ;     
01.01.2022 00:00:00   ;Lücke         ; 
