Messstelle:                ;Feistritz, Bl  2561
HZB-Nummer:                ;329516
HD-Nummer:                 ;uw2561
DBMS-Nummer:               ;6002604
PorenGW-Gebiet:            ;364 Mittleres Murtal
Grundwasserkörper:         ;Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Wasserwirtschaftliche Rahmenplanung STMK
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1967
 Geländehöhe:              ;598,50
 Messpunkthöhe:            ;599,70
 Sohllage:                 ;596,40
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;14 54 13                 ;47 15 29
  01.01.1967               ;14 54 14                 ;47 15 26
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1984 00:00:00   ;   596,72 ;     
01.02.1984 00:00:00   ;   596,60 ;     
01.03.1984 00:00:00   ;   596,68 ;     
01.04.1984 00:00:00   ;   596,96 ;     
01.05.1984 00:00:00   ;   597,62 ;     
01.06.1984 00:00:00   ;   597,88 ;     
01.07.1984 00:00:00   ;   597,48 ;     
01.08.1984 00:00:00   ;   597,34 ;     
01.09.1984 00:00:00   ;   597,24 ;     
01.10.1984 00:00:00   ;   597,63 ;     
01.11.1984 00:00:00   ;   597,13 ;     
01.12.1984 00:00:00   ;   596,88 ;     
01.01.1985 00:00:00   ;   596,72 ;     
01.02.1985 00:00:00   ;   596,88 ;     
01.03.1985 00:00:00   ;   596,75 ;     
01.04.1985 00:00:00   ;   597,02 ;     
01.05.1985 00:00:00   ;   597,76 ;     
01.06.1985 00:00:00   ;   598,18 ;     
01.07.1985 00:00:00   ;   597,71 ;     
01.08.1985 00:00:00   ;   597,84 ;     
01.09.1985 00:00:00   ;   597,65 ;     
01.10.1985 00:00:00   ;   597,14 ;     
01.11.1985 00:00:00   ;   596,95 ;     
01.12.1985 00:00:00   ;   596,87 ;     
01.01.1986 00:00:00   ;   596,82 ;     
01.02.1986 00:00:00   ;   596,71 ;     
01.03.1986 00:00:00   ;   596,91 ;     
01.04.1986 00:00:00   ;   597,62 ;     
01.05.1986 00:00:00   ;   598,25 ;     
01.06.1986 00:00:00   ;   598,15 ;     
01.07.1986 00:00:00   ;   597,52 ;     
01.08.1986 00:00:00   ;   597,23 ;     
01.09.1986 00:00:00   ;   597,39 ;     
01.10.1986 00:00:00   ;   597,09 ;     
01.11.1986 00:00:00   ;   596,90 ;     
01.12.1986 00:00:00   ;   596,75 ;     
01.01.1987 00:00:00   ;   596,66 ;     
01.02.1987 00:00:00   ;   596,91 ;     
01.03.1987 00:00:00   ;   596,93 ;     
01.04.1987 00:00:00   ;   597,32 ;     
01.05.1987 00:00:00   ;   597,94 ;     
01.06.1987 00:00:00   ;   598,07 ;     
01.07.1987 00:00:00   ;   597,84 ;     
01.08.1987 00:00:00   ;   597,56 ;     
01.09.1987 00:00:00   ;   597,30 ;     
01.10.1987 00:00:00   ;   597,07 ;     
01.11.1987 00:00:00   ;   596,99 ;     
01.12.1987 00:00:00   ;   596,94 ;     
01.01.1988 00:00:00   ;   596,88 ;     
01.02.1988 00:00:00   ;   596,81 ;     
01.03.1988 00:00:00   ;   596,75 ;     
01.04.1988 00:00:00   ;   597,05 ;     
01.05.1988 00:00:00   ;   597,73 ;     
01.06.1988 00:00:00   ;   597,83 ;     
01.07.1988 00:00:00   ;   597,53 ;     
01.08.1988 00:00:00   ;   597,31 ;     
