Messstelle:                ;Weyer, Bl KB11
HZB-Nummer:                ;381368
HD-Nummer:                 ;HD4003343
DBMS-Nummer:               ;4003343
Fremdnummer:               ;KB11/03
PorenGW-Gebiet:            ;172 KEG Gaflenztal
Grundwasserkörper:         ;Gruppe Nördliche Kalkalpen [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Land OÖ, Straßenbau
Höhenangaben [m ü.A.]:     ;gültig seit: ;30.03.2016
 Geländehöhe:              ;426,74
 Messpunkthöhe:            ;427,84
 Sohllage:                 ;391,99
 T-Messtiefe u.GOK:        ;34,40
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  30.03.2016               ;14 40 13                 ;47 51 35
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2017 00:00:00   ;   396,04 ;     
01.02.2017 00:00:00   ;   396,18 ;     
01.03.2017 00:00:00   ;   396,28 ;     
01.04.2017 00:00:00   ;   396,25 ;     
01.05.2017 00:00:00   ;   396,33 ;     
01.06.2017 00:00:00   ;   396,11 ;     
01.07.2017 00:00:00   ;   396,08 ;     
01.08.2017 00:00:00   ;   396,07 ;     
01.09.2017 00:00:00   ;   396,11 ;     
01.10.2017 00:00:00   ;   396,07 ;     
01.11.2017 00:00:00   ;   396,17 ;     
01.12.2017 00:00:00   ;   396,14 ;     
01.01.2018 00:00:00   ;   396,35 ;     
01.02.2018 00:00:00   ;   396,15 ;     
01.03.2018 00:00:00   ;   396,06 ;     
01.04.2018 00:00:00   ;   396,02 ;     
01.05.2018 00:00:00   ;   395,90 ;     
01.06.2018 00:00:00   ;   395,88 ;     
01.07.2018 00:00:00   ;   395,94 ;     
01.08.2018 00:00:00   ;   395,83 ;     
01.09.2018 00:00:00   ;   395,79 ;     
01.10.2018 00:00:00   ;   395,71 ;     
01.11.2018 00:00:00   ;   395,70 ;     
01.12.2018 00:00:00   ;   396,10 ;     
01.01.2019 00:00:00   ;   396,38 ;     
01.02.2019 00:00:00   ;   396,28 ;     
01.03.2019 00:00:00   ;   396,32 ;     
01.04.2019 00:00:00   ;   396,08 ;     
01.05.2019 00:00:00   ;   396,27 ;     
01.06.2019 00:00:00   ;   396,15 ;     
01.07.2019 00:00:00   ;   396,01 ;     
01.08.2019 00:00:00   ;   395,94 ;     
01.09.2019 00:00:00   ;   395,86 ;     
01.10.2019 00:00:00   ;   395,84 ;     
01.11.2019 00:00:00   ;   395,84 ;     
01.12.2019 00:00:00   ;   395,84 ;     
01.01.2020 00:00:00   ;   395,93 ;     
01.02.2020 00:00:00   ;   396,27 ;     
01.03.2020 00:00:00   ;   396,12 ;     
01.04.2020 00:00:00   ;   395,93 ;     
01.05.2020 00:00:00   ;   395,91 ;     
01.06.2020 00:00:00   ;   396,07 ;     
01.07.2020 00:00:00   ;   396,10 ;     
01.08.2020 00:00:00   ;   396,20 ;     
01.09.2020 00:00:00   ;   396,14 ;     
01.10.2020 00:00:00   ;   396,13 ;     
01.11.2020 00:00:00   ;   396,05 ;     
01.12.2020 00:00:00   ;   395,95 ;     
01.01.2021 00:00:00   ;   395,96 ;     
01.02.2021 00:00:00   ;   396,07 ;     
01.03.2021 00:00:00   ;   396,01 ;     
01.04.2021 00:00:00   ;   396,05 ;     
01.05.2021 00:00:00   ;   396,03 ;     
01.06.2021 00:00:00   ;   395,90 ;     
01.07.2021 00:00:00   ;   395,92 ;     
01.08.2021 00:00:00   ;   396,06 ;     
01.09.2021 00:00:00   ;   396,05 ;     
01.10.2021 00:00:00   ;   395,90 ;     
01.11.2021 00:00:00   ;   395,78 ;     
01.12.2021 00:00:00   ;   396,08 ;     
01.01.2022 00:00:00   ;Lücke         ; 
