Messstelle:                ;Trausdorf, Bl 42
HZB-Nummer:                ;353508
HD-Nummer:                 ;
DBMS-Nummer:               ;1002463
PorenGW-Gebiet:            ;313 Wulkatal
Grundwasserkörper:         ;Gruppe Wulkatal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Privat
Höhenangaben [m ü.A.]:     ;gültig seit: ;21.11.2017
 Geländehöhe:              ;146,60
 Messpunkthöhe:            ;147,40
 Sohllage:                 ;141,60
 T-Messtiefe u.GOK:        ;4,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  11.01.2007               ;16 33 46                 ;47 49 19
  10.01.2007               ;16 33 46                 ;47 49 19
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.09.2007 00:00:00   ;   144,29 ;     
01.10.2007 00:00:00   ;   144,59 ;     
01.11.2007 00:00:00   ;   144,92 ;     
01.12.2007 00:00:00   ;   145,05 ;     
01.01.2008 00:00:00   ;   144,85 ;     
01.02.2008 00:00:00   ;   144,79 ;     
01.03.2008 00:00:00   ;   144,66 ;     
01.04.2008 00:00:00   ;   144,55 ;     
01.05.2008 00:00:00   ;   144,39 ;     
01.06.2008 00:00:00   ;   144,24 ;     
01.07.2008 00:00:00   ;   144,34 ;     
01.08.2008 00:00:00   ;   144,54 ;     
01.09.2008 00:00:00   ;   144,46 ;     
01.10.2008 00:00:00   ;   144,44 ;     
01.11.2008 00:00:00   ;   144,36 ;     
01.12.2008 00:00:00   ;   144,46 ;     
01.01.2009 00:00:00   ;   144,68 ;     
01.02.2009 00:00:00   ;   145,05 ;     
01.03.2009 00:00:00   ;   145,23 ;     
01.04.2009 00:00:00   ;   144,95 ;     
01.05.2009 00:00:00   ;   144,53 ;     
01.06.2009 00:00:00   ;   144,36 ;     
01.07.2009 00:00:00   ;   144,48 ;     
01.08.2009 00:00:00   ;   144,30 ;     
01.09.2009 00:00:00   ;   144,11 ;     
01.10.2009 00:00:00   ;   143,98 ;     
01.11.2009 00:00:00   ;   143,94 ;     
01.12.2009 00:00:00   ;   143,94 ;     
01.01.2010 00:00:00   ;   144,05 ;     
01.02.2010 00:00:00   ;   144,18 ;     
01.03.2010 00:00:00   ;   144,25 ;     
01.04.2010 00:00:00   ;   144,26 ;     
01.05.2010 00:00:00   ;   144,23 ;     
01.06.2010 00:00:00   ;   144,35 ;     
01.07.2010 00:00:00   ;   144,26 ;     
01.08.2010 00:00:00   ;   144,78 ;     
01.09.2010 00:00:00   ;   145,09 ;     
01.10.2010 00:00:00   ;   145,00 ;     
01.11.2010 00:00:00   ;   144,86 ;     
01.12.2010 00:00:00   ;   145,09 ;     
01.01.2011 00:00:00   ;   144,97 ;     
01.02.2011 00:00:00   ;   144,80 ;     
01.03.2011 00:00:00   ;   144,69 ;     
01.04.2011 00:00:00   ;   144,64 ;     
01.05.2011 00:00:00   ;   144,50 ;     
01.06.2011 00:00:00   ;   144,38 ;     
01.07.2011 00:00:00   ;   144,25 ;     
01.08.2011 00:00:00   ;   144,15 ;     
01.09.2011 00:00:00   ;   144,05 ;     
01.10.2011 00:00:00   ;   143,97 ;     
