Messstelle:                ;Neubau, Bl 17:9
HZB-Nummer:                ;344945
HD-Nummer:                 ;W17.9
DBMS-Nummer:               ;4003286
Fremdnummer:               ;31071709
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.03.2011
 Geländehöhe:              ;282,79
 Messpunkthöhe:            ;283,84
 Sohllage:                 ;277,84
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.03.2011               ;14 11 01                 ;48 11 52
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.03.2011 00:00:00   ;   279,91 ;     
01.04.2011 00:00:00   ;   280,02 ;     
01.05.2011 00:00:00   ;   279,86 ;     
01.06.2011 00:00:00   ;   279,96 ;     
01.07.2011 00:00:00   ;   279,99 ;     
01.08.2011 00:00:00   ;   280,08 ;     
01.09.2011 00:00:00   ;   280,10 ;     
01.10.2011 00:00:00   ;   279,97 ;     
01.11.2011 00:00:00   ;   280,05 ;     
01.12.2011 00:00:00   ;   280,00 ;     
01.01.2012 00:00:00   ;   280,11 ;     
01.02.2012 00:00:00   ;   280,00 ;     
01.03.2012 00:00:00   ;   279,85 ;     
01.04.2012 00:00:00   ;   279,98 ;     
01.05.2012 00:00:00   ;   280,04 ;     
01.06.2012 00:00:00   ;   280,11 ;     
01.07.2012 00:00:00   ;   280,17 ;     
01.08.2012 00:00:00   ;   280,11 ;     
01.09.2012 00:00:00   ;   280,09 ;     
01.10.2012 00:00:00   ;   280,02 ;     
01.11.2012 00:00:00   ;   280,04 ;     
01.12.2012 00:00:00   ;   279,90 ;     
01.01.2013 00:00:00   ;   279,97 ;     
01.02.2013 00:00:00   ;   280,11 ;     
01.03.2013 00:00:00   ;   280,13 ;     
01.04.2013 00:00:00   ;   280,12 ;     
01.05.2013 00:00:00   ;   280,17 ;     
01.06.2013 00:00:00   ;   280,49 ;     
01.07.2013 00:00:00   ;   280,34 ;     
01.08.2013 00:00:00   ;   280,23 ;     
01.09.2013 00:00:00   ;Lücke     ;     
01.10.2013 00:00:00   ;Lücke     ;     
01.11.2013 00:00:00   ;Lücke     ;     
01.12.2013 00:00:00   ;   279,99 ;     
01.01.2014 00:00:00   ;   280,01 ;     
01.02.2014 00:00:00   ;   280,10 ;     
01.03.2014 00:00:00   ;   280,07 ;     
01.04.2014 00:00:00   ;   280,03 ;     
01.05.2014 00:00:00   ;   280,04 ;     
01.06.2014 00:00:00   ;   280,10 ;     
01.07.2014 00:00:00   ;   280,14 ;     
01.08.2014 00:00:00   ;   280,16 ;     
01.09.2014 00:00:00   ;   280,23 ;     
01.10.2014 00:00:00   ;   280,27 ;     
01.11.2014 00:00:00   ;   280,22 ;     
01.12.2014 00:00:00   ;   280,07 ;     
01.01.2015 00:00:00   ;   280,14 ;     
01.02.2015 00:00:00   ;   280,10 ;     
01.03.2015 00:00:00   ;   280,09 ;     
01.04.2015 00:00:00   ;   280,19 ;     
01.05.2015 00:00:00   ;   280,26 ;     
01.06.2015 00:00:00   ;   280,32 ;     
01.07.2015 00:00:00   ;   280,28 ;     
01.08.2015 00:00:00   ;   280,23 ;     
01.09.2015 00:00:00   ;   280,19 ;     
01.10.2015 00:00:00   ;   280,23 ;     
01.11.2015 00:00:00   ;   280,02 ;     
01.12.2015 00:00:00   ;   279,85 ;     
01.01.2016 00:00:00   ;   279,81 ;     
01.02.2016 00:00:00   ;   279,98 ;     
01.03.2016 00:00:00   ;   280,01 ;     
