Messstelle:                ;Lindham, Bl 2147.017
HZB-Nummer:                ;344101
HD-Nummer:                 ;2147.017
DBMS-Nummer:               ;4003136
Fremdnummer:               ;O31neu
PorenGW-Gebiet:            ;095 Nördliches Eferdinger Becken
Grundwasserkörper:         ;Eferdinger Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Draukraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2002
 Geländehöhe:              ;259,79
 Messpunkthöhe:            ;260,59
 Sohllage:                 ;255,69
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 07 57                 ;48 19 44
  01.01.2002               ;14 08 00                 ;48 19 46
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2002 00:00:00   ;   255,98 ;     
01.02.2002 00:00:00   ;   256,04 ;     
01.03.2002 00:00:00   ;   256,55 ;     
01.04.2002 00:00:00   ;   256,61 ;     
01.05.2002 00:00:00   ;   255,99 ;     
01.06.2002 00:00:00   ;   255,63 ;     
01.07.2002 00:00:00   ;   255,45 ;     
01.08.2002 00:00:00   ;   257,62 ;     
01.09.2002 00:00:00   ;   256,63 ;     
01.10.2002 00:00:00   ;   256,28 ;     
01.11.2002 00:00:00   ;   256,69 ;     
01.12.2002 00:00:00   ;   256,43 ;     
01.01.2003 00:00:00   ;   256,51 ;     
01.02.2003 00:00:00   ;   256,15 ;     
01.03.2003 00:00:00   ;   255,88 ;     
01.04.2003 00:00:00   ;   255,71 ;     
01.05.2003 00:00:00   ;   255,51 ;     
01.06.2003 00:00:00   ;   255,44 ;     
01.07.2003 00:00:00   ;   255,30 ;     
01.08.2003 00:00:00   ;   255,14 ;     
01.09.2003 00:00:00   ;   255,03 ;     
01.10.2003 00:00:00   ;   255,02 ;     
01.11.2003 00:00:00   ;   254,92 ;     
01.12.2003 00:00:00   ;   254,81 ;     
01.01.2004 00:00:00   ;   254,92 ;     
01.02.2004 00:00:00   ;   255,36 ;     
01.03.2004 00:00:00   ;   255,48 ;     
01.04.2004 00:00:00   ;   255,61 ;     
01.05.2004 00:00:00   ;   255,49 ;     
01.06.2004 00:00:00   ;   255,56 ;     
01.07.2004 00:00:00   ;   255,60 ;     
01.08.2004 00:00:00   ;   255,42 ;     
01.09.2004 00:00:00   ;   255,23 ;     
01.10.2004 00:00:00   ;   255,14 ;     
01.11.2004 00:00:00   ;   255,05 ;     
01.12.2004 00:00:00   ;   254,98 ;     
01.01.2005 00:00:00   ;   254,93 ;     
01.02.2005 00:00:00   ;   255,38 ;     
01.03.2005 00:00:00   ;   255,63 ;     
01.04.2005 00:00:00   ;   255,89 ;     
01.05.2005 00:00:00   ;   255,92 ;     
01.06.2005 00:00:00   ;   255,70 ;     
01.07.2005 00:00:00   ;   255,60 ;     
01.08.2005 00:00:00   ;   255,56 ;     
01.09.2005 00:00:00   ;   255,65 ;     
01.10.2005 00:00:00   ;   255,39 ;     
01.11.2005 00:00:00   ;   255,15 ;     
01.12.2005 00:00:00   ;   254,97 ;     
01.01.2006 00:00:00   ;   254,92 ;     
01.02.2006 00:00:00   ;   254,89 ;     
01.03.2006 00:00:00   ;   255,17 ;     
01.04.2006 00:00:00   ;   256,69 ;     
01.05.2006 00:00:00   ;   256,33 ;     
01.06.2006 00:00:00   ;   256,15 ;     
01.07.2006 00:00:00   ;   255,87 ;     
01.08.2006 00:00:00   ;   255,75 ;     
01.09.2006 00:00:00   ;   255,55 ;     
01.10.2006 00:00:00   ;   255,39 ;     
01.11.2006 00:00:00   ;   255,27 ;     
01.12.2006 00:00:00   ;   255,20 ;     
01.01.2007 00:00:00   ;   255,16 ;     
01.02.2007 00:00:00   ;   255,37 ;     
01.03.2007 00:00:00   ;   255,54 ;     
01.04.2007 00:00:00   ;   255,40 ;     
01.05.2007 00:00:00   ;   255,23 ;     
01.06.2007 00:00:00   ;   255,27 ;     
01.07.2007 00:00:00   ;   255,30 ;     
01.08.2007 00:00:00   ;   255,18 ;     
