Messstelle:                ;Überackern, Bl W1
HZB-Nummer:                ;344713
HD-Nummer:                 ;HD4003255
DBMS-Nummer:               ;4003255
PorenGW-Gebiet:            ;041 Weilharterforst
Grundwasserkörper:         ;Gruppe Zwischen Salzach und Mattig [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;O.Ö. Landeswasserversorgungsunternehmen AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.11.2009
 Geländehöhe:              ;389,41
 Messpunkthöhe:            ;390,21
 Sohllage:                 ;347,21
 T-Messtiefe u.GOK:        ;41,20
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  24.11.2009               ;12 55 59                 ;48 12 09
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.12.2009 00:00:00   ;   357,86 ;     
01.01.2010 00:00:00   ;   357,85 ;     
01.02.2010 00:00:00   ;   357,82 ;     
01.03.2010 00:00:00   ;   357,79 ;     
01.04.2010 00:00:00   ;   357,77 ;     
01.05.2010 00:00:00   ;   357,77 ;     
01.06.2010 00:00:00   ;   357,76 ;     
01.07.2010 00:00:00   ;   357,77 ;     
01.08.2010 00:00:00   ;   357,80 ;     
01.09.2010 00:00:00   ;   357,85 ;     
01.10.2010 00:00:00   ;   357,88 ;     
01.11.2010 00:00:00   ;   357,88 ;     
01.12.2010 00:00:00   ;   357,88 ;     
01.01.2011 00:00:00   ;   357,85 ;     
01.02.2011 00:00:00   ;   357,84 ;     
01.03.2011 00:00:00   ;   357,82 ;     
01.04.2011 00:00:00   ;   357,80 ;     
01.05.2011 00:00:00   ;   357,77 ;     
01.06.2011 00:00:00   ;   357,75 ;     
01.07.2011 00:00:00   ;   357,72 ;     
01.08.2011 00:00:00   ;   357,70 ;     
01.09.2011 00:00:00   ;   357,67 ;     
01.10.2011 00:00:00   ;   357,65 ;     
01.11.2011 00:00:00   ;   357,62 ;     
01.12.2011 00:00:00   ;   357,60 ;     
01.01.2012 00:00:00   ;   357,57 ;     
01.02.2012 00:00:00   ;   357,56 ;     
