Messstelle:                ;Weyer, Bl KB12
HZB-Nummer:                ;381871
HD-Nummer:                 ;HD4003344
DBMS-Nummer:               ;4003344
Fremdnummer:               ;KB-12/03
PorenGW-Gebiet:            ;172 KEG Gaflenztal
Grundwasserkörper:         ;Gruppe Nördliche Kalkalpen [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Land OÖ, Straßenbau
Höhenangaben [m ü.A.]:     ;gültig seit: ;31.03.2016
 Geländehöhe:              ;426,68
 Messpunkthöhe:            ;427,88
 Sohllage:                 ;392,03
 T-Messtiefe u.GOK:        ;34,20
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  31.03.2016               ;14 40 16                 ;47 51 33
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2017 00:00:00   ;   395,62 ;     
01.02.2017 00:00:00   ;   395,76 ;     
01.03.2017 00:00:00   ;   395,87 ;     
01.04.2017 00:00:00   ;   395,85 ;     
01.05.2017 00:00:00   ;   395,92 ;     
01.06.2017 00:00:00   ;   395,69 ;     
01.07.2017 00:00:00   ;   395,65 ;     
01.08.2017 00:00:00   ;   395,65 ;     
01.09.2017 00:00:00   ;   395,71 ;     
01.10.2017 00:00:00   ;   395,67 ;     
01.11.2017 00:00:00   ;   395,77 ;     
01.12.2017 00:00:00   ;   395,74 ;     
01.01.2018 00:00:00   ;   395,95 ;     
01.02.2018 00:00:00   ;   395,75 ;     
01.03.2018 00:00:00   ;   395,64 ;     
01.04.2018 00:00:00   ;   395,61 ;     
01.05.2018 00:00:00   ;   395,48 ;     
01.06.2018 00:00:00   ;   395,47 ;     
01.07.2018 00:00:00   ;   395,54 ;     
01.08.2018 00:00:00   ;   395,43 ;     
01.09.2018 00:00:00   ;   395,40 ;     
01.10.2018 00:00:00   ;   395,25 ;     
01.11.2018 00:00:00   ;   395,17 ;     
01.12.2018 00:00:00   ;   395,54 ;     
01.01.2019 00:00:00   ;   395,97 ;     
01.02.2019 00:00:00   ;   395,88 ;     
01.03.2019 00:00:00   ;   395,92 ;     
01.04.2019 00:00:00   ;   395,68 ;     
01.05.2019 00:00:00   ;   395,86 ;     
01.06.2019 00:00:00   ;   395,75 ;     
01.07.2019 00:00:00   ;   395,61 ;     
01.08.2019 00:00:00   ;   395,54 ;     
01.09.2019 00:00:00   ;   395,47 ;     
01.10.2019 00:00:00   ;   395,44 ;     
01.11.2019 00:00:00   ;   395,44 ;     
01.12.2019 00:00:00   ;   395,44 ;     
01.01.2020 00:00:00   ;   395,52 ;     
01.02.2020 00:00:00   ;   395,86 ;     
01.03.2020 00:00:00   ;   395,70 ;     
01.04.2020 00:00:00   ;   395,51 ;     
01.05.2020 00:00:00   ;   395,49 ;     
01.06.2020 00:00:00   ;   395,64 ;     
01.07.2020 00:00:00   ;   395,67 ;     
01.08.2020 00:00:00   ;   395,78 ;     
01.09.2020 00:00:00   ;   395,72 ;     
01.10.2020 00:00:00   ;   395,71 ;     
01.11.2020 00:00:00   ;   395,61 ;     
01.12.2020 00:00:00   ;   395,52 ;     
01.01.2021 00:00:00   ;   395,53 ;     
01.02.2021 00:00:00   ;   395,64 ;     
01.03.2021 00:00:00   ;   395,59 ;     
01.04.2021 00:00:00   ;   395,63 ;     
01.05.2021 00:00:00   ;   395,61 ;     
01.06.2021 00:00:00   ;   395,49 ;     
01.07.2021 00:00:00   ;   395,50 ;     
01.08.2021 00:00:00   ;   395,64 ;     
01.09.2021 00:00:00   ;   395,61 ;     
01.10.2021 00:00:00   ;   395,46 ;     
01.11.2021 00:00:00   ;   395,35 ;     
01.12.2021 00:00:00   ;   395,68 ;     
01.01.2022 00:00:00   ;Lücke         ; 
