Messstelle:                ;Moosbrunn, Bl J6
HZB-Nummer:                ;357095
HD-Nummer:                 ;
DBMS-Nummer:               ;11002133
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;11.12.2015
 Geländehöhe:              ;183,74
 Messpunkthöhe:            ;184,68
 Sohllage:                 ;176,69
 T-Messtiefe u.GOK:        ;4,06
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  06.05.1999               ;16 28 04                 ;48 00 30
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2005 bis -> FG05 durch Entnahme zeitweise beeinflusst
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.05.1999 00:00:00   ;   182,82 ;     
01.06.1999 00:00:00   ;   182,70 ;     
01.07.1999 00:00:00   ;   182,74 ;     
01.08.1999 00:00:00   ;   182,80 ;     
01.09.1999 00:00:00   ;   182,82 ;     
01.10.1999 00:00:00   ;   182,76 ;     
01.11.1999 00:00:00   ;   182,82 ;     
01.12.1999 00:00:00   ;   182,80 ;     
01.01.2000 00:00:00   ;   182,83 ;     
01.02.2000 00:00:00   ;   182,87 ;     
01.03.2000 00:00:00   ;   182,87 ;     
01.04.2000 00:00:00   ;   182,85 ;     
01.05.2000 00:00:00   ;   182,68 ;     
01.06.2000 00:00:00   ;   182,58 ;     
01.07.2000 00:00:00   ;   182,60 ;     
01.08.2000 00:00:00   ;   182,65 ;     
01.09.2000 00:00:00   ;   182,64 ;     
01.10.2000 00:00:00   ;   182,70 ;     
01.11.2000 00:00:00   ;   182,74 ;     
01.12.2000 00:00:00   ;   182,74 ;     
01.01.2001 00:00:00   ;   182,75 ;     
01.02.2001 00:00:00   ;   182,72 ;     
01.03.2001 00:00:00   ;   182,74 ;     
01.04.2001 00:00:00   ;   182,72 ;     
01.05.2001 00:00:00   ;   182,66 ;     
01.06.2001 00:00:00   ;   182,63 ;     
01.07.2001 00:00:00   ;   182,63 ;     
01.08.2001 00:00:00   ;   182,61 ;     
01.09.2001 00:00:00   ;   182,74 ;     
01.10.2001 00:00:00   ;   182,73 ;     
01.11.2001 00:00:00   ;   182,75 ;     
01.12.2001 00:00:00   ;   182,77 ;     
01.01.2002 00:00:00   ;   182,76 ;     
01.02.2002 00:00:00   ;   182,79 ;     
01.03.2002 00:00:00   ;   182,81 ;     
01.04.2002 00:00:00   ;   182,80 ;     
01.05.2002 00:00:00   ;   182,69 ;     
01.06.2002 00:00:00   ;   182,70 ;     
01.07.2002 00:00:00   ;   182,63 ;     
01.08.2002 00:00:00   ;   182,80 ;     
01.09.2002 00:00:00   ;   182,78 ;     
01.10.2002 00:00:00   ;   182,89 ;     
01.11.2002 00:00:00   ;   182,95 ;     
01.12.2002 00:00:00   ;   182,95 ;     
01.01.2003 00:00:00   ;   182,96 ;     
01.02.2003 00:00:00   ;   182,87 ;     
01.03.2003 00:00:00   ;   182,84 ;     
01.04.2003 00:00:00   ;   182,76 ;     
