Messstelle:                ;St. Johann, U 238
HZB-Nummer:                ;361378
HD-Nummer:                 ;
DBMS-Nummer:               ;5002461
PorenGW-Gebiet:            ;029 Mittleres Salzachtal
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
Höhenangaben [m ü.A.]:     ;gültig seit: ;17.03.2016
 Geländehöhe:              ;562,52
 Messpunkthöhe:            ;563,52
 Sohllage:                 ;557,48
 T-Messtiefe u.GOK:        ;4,80
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  17.03.2016               ;13 11 53                 ;47 21 02
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.04.2016 00:00:00   ;   559,38 ;     
01.05.2016 00:00:00   ;   559,54 ;     
01.06.2016 00:00:00   ;   559,79 ;     
01.07.2016 00:00:00   ;   559,62 ;     
01.08.2016 00:00:00   ;   559,61 ;     
01.09.2016 00:00:00   ;   559,38 ;     
01.10.2016 00:00:00   ;   559,33 ;     
01.11.2016 00:00:00   ;   559,31 ;     
01.12.2016 00:00:00   ;   559,28 ;     
01.01.2017 00:00:00   ;   559,27 ;     
01.02.2017 00:00:00   ;   559,26 ;     
01.03.2017 00:00:00   ;   559,31 ;     
01.04.2017 00:00:00   ;   559,30 ;     
01.05.2017 00:00:00   ;   559,46 ;     
01.06.2017 00:00:00   ;   559,52 ;     
01.07.2017 00:00:00   ;   559,53 ;     
01.08.2017 00:00:00   ;   559,49 ;     
01.09.2017 00:00:00   ;   559,62 ;     
01.10.2017 00:00:00   ;   559,40 ;     
01.11.2017 00:00:00   ;   559,36 ;     
01.12.2017 00:00:00   ;   559,32 ;     
01.01.2018 00:00:00   ;   559,32 ;     
01.02.2018 00:00:00   ;   559,32 ;     
01.03.2018 00:00:00   ;   559,31 ;     
01.04.2018 00:00:00   ;   559,61 ;     
01.05.2018 00:00:00   ;   559,70 ;     
01.06.2018 00:00:00   ;   559,61 ;     
01.07.2018 00:00:00   ;   559,53 ;     
01.08.2018 00:00:00   ;   559,43 ;     
01.09.2018 00:00:00   ;   559,41 ;     
01.10.2018 00:00:00   ;   559,34 ;     
01.11.2018 00:00:00   ;   559,14 ;     
01.12.2018 00:00:00   ;   559,26 ;     
01.01.2019 00:00:00   ;   559,28 ;     
01.02.2019 00:00:00   ;   559,27 ;     
01.03.2019 00:00:00   ;   559,38 ;     
01.04.2019 00:00:00   ;   559,65 ;     
01.05.2019 00:00:00   ;   559,79 ;     
01.06.2019 00:00:00   ;   560,00 ;     
01.07.2019 00:00:00   ;   559,53 ;     
01.08.2019 00:00:00   ;   559,42 ;     
01.09.2019 00:00:00   ;   559,39 ;     
01.10.2019 00:00:00   ;   559,28 ;     
01.11.2019 00:00:00   ;   559,32 ;     
01.12.2019 00:00:00   ;   559,11 ;     
01.01.2020 00:00:00   ;   559,06 ;     
01.02.2020 00:00:00   ;   559,26 ;     
01.03.2020 00:00:00   ;   559,26 ;     
01.04.2020 00:00:00   ;   559,35 ;     
01.05.2020 00:00:00   ;   559,56 ;     
01.06.2020 00:00:00   ;   559,72 ;     
01.07.2020 00:00:00   ;   559,73 ;     
01.08.2020 00:00:00   ;   559,49 ;     
01.09.2020 00:00:00   ;   559,54 ;     
01.10.2020 00:00:00   ;   559,47 ;     
01.11.2020 00:00:00   ;   559,32 ;     
01.12.2020 00:00:00   ;   559,31 ;     
01.01.2021 00:00:00   ;   559,26 ;     
01.02.2021 00:00:00   ;   559,26 ;     
01.03.2021 00:00:00   ;   559,25 ;     
01.04.2021 00:00:00   ;   559,27 ;     
01.05.2021 00:00:00   ;   559,51 ;     
01.06.2021 00:00:00   ;   559,90 ;     
01.07.2021 00:00:00   ;   559,68 ;     
01.08.2021 00:00:00   ;   559,68 ;     
01.09.2021 00:00:00   ;   559,48 ;     
01.10.2021 00:00:00   ;   559,33 ;     
01.11.2021 00:00:00   ;   559,32 ;     
01.12.2021 00:00:00   ;   559,28 ;     
01.01.2022 00:00:00   ;Lücke         ; 
