Messstelle:                ;Wallendorf, Br 11
HZB-Nummer:                ;335091
HD-Nummer:                 ;
DBMS-Nummer:               ;1002218
PorenGW-Gebiet:            ;335 Lafnitztal
Grundwasserkörper:         ;Gruppe Hügelland Raab West [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1988
 Geländehöhe:              ;231,90
 Messpunkthöhe:            ;232,70
 Sohllage:                 ;225,10
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1988               ;16 14 08                 ;46 58 22
  31.12.1987               ;16 14 04                 ;46 58 20
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1988 00:00:00   ;   227,71 ;     
01.02.1988 00:00:00   ;   229,18 ;     
01.03.1988 00:00:00   ;   228,81 ;     
01.04.1988 00:00:00   ;   228,26 ;     
01.05.1988 00:00:00   ;   227,86 ;     
01.06.1988 00:00:00   ;   227,65 ;     
01.07.1988 00:00:00   ;   227,39 ;     
01.08.1988 00:00:00   ;   227,04 ;     
01.09.1988 00:00:00   ;   227,14 ;     
01.10.1988 00:00:00   ;   227,15 ;     
01.11.1988 00:00:00   ;   227,02 ;     
01.12.1988 00:00:00   ;   226,92 ;     
01.01.1989 00:00:00   ;   226,82 ;     
01.02.1989 00:00:00   ;   226,73 ;     
01.03.1989 00:00:00   ;   226,77 ;     
01.04.1989 00:00:00   ;   227,01 ;     
01.05.1989 00:00:00   ;   227,52 ;     
01.06.1989 00:00:00   ;   228,43 ;     
01.07.1989 00:00:00   ;   227,93 ;     
01.08.1989 00:00:00   ;   227,74 ;     
01.09.1989 00:00:00   ;   228,15 ;     
01.10.1989 00:00:00   ;   227,81 ;     
01.11.1989 00:00:00   ;   227,50 ;     
01.12.1989 00:00:00   ;   227,21 ;     
01.01.1990 00:00:00   ;   226,99 ;     
01.02.1990 00:00:00   ;   226,90 ;     
01.03.1990 00:00:00   ;   226,90 ;     
01.04.1990 00:00:00   ;   227,13 ;     
01.05.1990 00:00:00   ;   227,19 ;     
01.06.1990 00:00:00   ;   227,03 ;     
01.07.1990 00:00:00   ;   226,87 ;     
01.08.1990 00:00:00   ;   226,34 ;     
01.09.1990 00:00:00   ;   226,40 ;     
01.10.1990 00:00:00   ;   226,48 ;     
01.11.1990 00:00:00   ;   226,95 ;     
01.12.1990 00:00:00   ;   227,10 ;     
01.01.1991 00:00:00   ;   227,24 ;     
01.02.1991 00:00:00   ;   227,25 ;     
01.03.1991 00:00:00   ;   227,37 ;     
01.04.1991 00:00:00   ;   227,72 ;     
01.05.1991 00:00:00   ;   227,98 ;     
01.06.1991 00:00:00   ;   228,19 ;     
01.07.1991 00:00:00   ;   228,39 ;     
01.08.1991 00:00:00   ;   228,41 ;     
01.09.1991 00:00:00   ;   227,74 ;     
01.10.1991 00:00:00   ;   227,50 ;     
01.11.1991 00:00:00   ;   227,86 ;     
01.12.1991 00:00:00   ;   228,66 ;     
01.01.1992 00:00:00   ;   227,95 ;     
01.02.1992 00:00:00   ;   227,54 ;     
01.03.1992 00:00:00   ;   227,58 ;     
01.04.1992 00:00:00   ;   228,11 ;     
01.05.1992 00:00:00   ;   228,11 ;     
01.06.1992 00:00:00   ;   227,88 ;     
01.07.1992 00:00:00   ;   227,06 ;     
01.08.1992 00:00:00   ;   226,24 ;     
01.09.1992 00:00:00   ;   225,89 ;     
01.10.1992 00:00:00   ;   226,20 ;     
01.11.1992 00:00:00   ;   227,19 ;     
01.12.1992 00:00:00   ;   227,10 ;     
01.01.1993 00:00:00   ;   226,76 ;     
01.02.1993 00:00:00   ;   226,43 ;     
01.03.1993 00:00:00   ;   226,23 ;     
01.04.1993 00:00:00   ;   226,21 ;     
01.05.1993 00:00:00   ;   226,27 ;     
01.06.1993 00:00:00   ;   225,78 ;     
01.07.1993 00:00:00   ;   225,55 ;     
01.08.1993 00:00:00   ;   225,40 ;     
01.09.1993 00:00:00   ;   225,28 ;     
01.10.1993 00:00:00   ;   225,23 ;     
01.11.1993 00:00:00   ;   225,45 ;     
01.12.1993 00:00:00   ;   225,80 ;     
01.01.1994 00:00:00   ;   226,60 ;     
01.02.1994 00:00:00   ;   226,54 ;     
01.03.1994 00:00:00   ;   226,60 ;     
01.04.1994 00:00:00   ;   227,35 ;     
01.05.1994 00:00:00   ;   227,83 ;     
01.06.1994 00:00:00   ;   228,04 ;     
01.07.1994 00:00:00   ;   227,67 ;     
01.08.1994 00:00:00   ;   226,98 ;     
01.09.1994 00:00:00   ;   226,86 ;     
01.10.1994 00:00:00   ;   227,02 ;     
01.11.1994 00:00:00   ;   227,44 ;     
01.12.1994 00:00:00   ;   227,37 ;     
01.01.1995 00:00:00   ;   227,31 ;     
01.02.1995 00:00:00   ;   227,46 ;     
01.03.1995 00:00:00   ;   228,68 ;     
01.04.1995 00:00:00   ;   228,46 ;     
01.05.1995 00:00:00   ;   228,21 ;     
01.06.1995 00:00:00   ;   228,14 ;     
01.07.1995 00:00:00   ;   227,84 ;     
01.08.1995 00:00:00   ;   227,42 ;     
01.09.1995 00:00:00   ;   227,47 ;     
01.10.1995 00:00:00   ;   227,29 ;     
01.11.1995 00:00:00   ;   227,16 ;     
01.12.1995 00:00:00   ;   227,40 ;     
01.01.1996 00:00:00   ;   227,97 ;     
01.02.1996 00:00:00   ;   228,00 ;     
01.03.1996 00:00:00   ;   228,18 ;     
01.04.1996 00:00:00   ;   229,24 ;     
01.05.1996 00:00:00   ;   228,81 ;     
01.06.1996 00:00:00   ;   228,41 ;     
01.07.1996 00:00:00   ;   228,10 ;     
01.08.1996 00:00:00   ;   227,63 ;     
01.09.1996 00:00:00   ;   227,60 ;     
01.10.1996 00:00:00   ;   227,77 ;     
01.11.1996 00:00:00   ;   227,75 ;     
01.12.1996 00:00:00   ;   227,72 ;     
01.01.1997 00:00:00   ;   227,65 ;     
01.02.1997 00:00:00   ;   227,70 ;     
01.03.1997 00:00:00   ;   227,93 ;     
01.04.1997 00:00:00   ;   227,74 ;     
01.05.1997 00:00:00   ;   227,55 ;     
01.06.1997 00:00:00   ;   227,41 ;     
01.07.1997 00:00:00   ;   227,67 ;     
01.08.1997 00:00:00   ;   227,67 ;     
01.09.1997 00:00:00   ;   227,26 ;     
01.10.1997 00:00:00   ;   226,95 ;     
01.11.1997 00:00:00   ;   226,83 ;     
01.12.1997 00:00:00   ;   227,19 ;     
01.01.1998 00:00:00   ;   227,34 ;     
01.02.1998 00:00:00   ;   227,20 ;     
01.03.1998 00:00:00   ;   227,21 ;     
01.04.1998 00:00:00   ;   227,67 ;     
01.05.1998 00:00:00   ;   227,87 ;     
01.06.1998 00:00:00   ;   226,80 ;     
01.07.1998 00:00:00   ;   227,10 ;     
01.08.1998 00:00:00   ;   226,95 ;     
01.09.1998 00:00:00   ;   227,79 ;     
01.10.1998 00:00:00   ;   228,46 ;     
01.11.1998 00:00:00   ;   228,91 ;     
01.12.1998 00:00:00   ;   228,46 ;     
01.01.1999 00:00:00   ;   228,05 ;     
01.02.1999 00:00:00   ;   227,79 ;     
01.03.1999 00:00:00   ;   227,77 ;     
01.04.1999 00:00:00   ;   227,78 ;     
01.05.1999 00:00:00   ;   228,13 ;     
01.06.1999 00:00:00   ;   228,48 ;     
01.07.1999 00:00:00   ;   227,99 ;     
01.08.1999 00:00:00   ;   227,61 ;     
01.09.1999 00:00:00   ;   227,36 ;     
01.10.1999 00:00:00   ;   227,00 ;     
01.11.1999 00:00:00   ;   226,80 ;     
01.12.1999 00:00:00   ;   226,86 ;     
01.01.2000 00:00:00   ;   226,77 ;     
01.02.2000 00:00:00   ;   226,95 ;     
01.03.2000 00:00:00   ;   227,24 ;     
01.04.2000 00:00:00   ;   227,22 ;     
01.05.2000 00:00:00   ;   226,88 ;     
01.06.2000 00:00:00   ;   226,45 ;     
