Messstelle:                ;Orth a.d.D., Bl 1902.5
HZB-Nummer:                ;331041
HD-Nummer:                 ;3HD30025
DBMS-Nummer:               ;10001057
Fremdnummer:               ;1902.005
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;28.01.2014
 Geländehöhe:              ;148,28
 Messpunkthöhe:            ;150,07
 Sohllage:                 ;140,88
 T-Messtiefe u.GOK:        ;8,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 42 35                 ;48 07 45
  01.01.2010               ;16 42 34                 ;48 07 45
  01.01.2007               ;16 42 34                 ;48 07 45
  01.01.1983               ;16 42 39                 ;48 07 45
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1983 00:00:00   ;   145,84 ;     
01.02.1983 00:00:00   ;   145,75 ;     
01.03.1983 00:00:00   ;   145,70 ;     
01.04.1983 00:00:00   ;   146,10 ;     
01.05.1983 00:00:00   ;   146,18 ;     
01.06.1983 00:00:00   ;   146,15 ;     
01.07.1983 00:00:00   ;   145,77 ;     
01.08.1983 00:00:00   ;   145,49 ;     
01.09.1983 00:00:00   ;   145,09 ;     
01.10.1983 00:00:00   ;   144,92 ;     
01.11.1983 00:00:00   ;   144,67 ;     
01.12.1983 00:00:00   ;   144,83 ;     
01.01.1984 00:00:00   ;   145,05 ;     
01.02.1984 00:00:00   ;   145,09 ;     
01.03.1984 00:00:00   ;   144,88 ;     
01.04.1984 00:00:00   ;   145,33 ;     
01.05.1984 00:00:00   ;   145,58 ;     
01.06.1984 00:00:00   ;   145,73 ;     
01.07.1984 00:00:00   ;   145,61 ;     
01.08.1984 00:00:00   ;   145,44 ;     
01.09.1984 00:00:00   ;   145,54 ;     
01.10.1984 00:00:00   ;   145,46 ;     
01.11.1984 00:00:00   ;   144,82 ;     
01.12.1984 00:00:00   ;   144,71 ;     
01.01.1985 00:00:00   ;   144,58 ;     
01.02.1985 00:00:00   ;   145,61 ;     
01.03.1985 00:00:00   ;   145,22 ;     
01.04.1985 00:00:00   ;   145,47 ;     
01.05.1985 00:00:00   ;   145,81 ;     
01.06.1985 00:00:00   ;   146,01 ;     
01.07.1985 00:00:00   ;   145,75 ;     
01.08.1985 00:00:00   ;   146,91 ;     
01.09.1985 00:00:00   ;   145,93 ;     
01.10.1985 00:00:00   ;   145,01 ;     
01.11.1985 00:00:00   ;   144,83 ;     
01.12.1985 00:00:00   ;   145,14 ;     
01.01.1986 00:00:00   ;   145,76 ;     
01.02.1986 00:00:00   ;   145,40 ;     
01.03.1986 00:00:00   ;   145,33 ;     
01.04.1986 00:00:00   ;   145,99 ;     
01.05.1986 00:00:00   ;   146,22 ;     
01.06.1986 00:00:00   ;   146,29 ;     
01.07.1986 00:00:00   ;   145,59 ;     
01.08.1986 00:00:00   ;   145,29 ;     
01.09.1986 00:00:00   ;   145,09 ;     
01.10.1986 00:00:00   ;   144,76 ;     
01.11.1986 00:00:00   ;   144,84 ;     
01.12.1986 00:00:00   ;   144,69 ;     
01.01.1987 00:00:00   ;   145,35 ;     
01.02.1987 00:00:00   ;   145,33 ;     
01.03.1987 00:00:00   ;   146,15 ;     
01.04.1987 00:00:00   ;   146,43 ;     
01.05.1987 00:00:00   ;   146,69 ;     
01.06.1987 00:00:00   ;   146,83 ;     
01.07.1987 00:00:00   ;   146,73 ;     
01.08.1987 00:00:00   ;   146,42 ;     
01.09.1987 00:00:00   ;   145,63 ;     
01.10.1987 00:00:00   ;   145,17 ;     
01.11.1987 00:00:00   ;   145,02 ;     
01.12.1987 00:00:00   ;   145,78 ;     
01.01.1988 00:00:00   ;   145,51 ;     
01.02.1988 00:00:00   ;   145,35 ;     
01.03.1988 00:00:00   ;   146,35 ;     
01.04.1988 00:00:00   ;   147,43 ;     
01.05.1988 00:00:00   ;   146,59 ;     
01.06.1988 00:00:00   ;   146,29 ;     
01.07.1988 00:00:00   ;   145,77 ;     
01.08.1988 00:00:00   ;   145,53 ;     
01.09.1988 00:00:00   ;   145,73 ;     
01.10.1988 00:00:00   ;   145,08 ;     
01.11.1988 00:00:00   ;   145,02 ;     
01.12.1988 00:00:00   ;   146,28 ;     
01.01.1989 00:00:00   ;   145,83 ;     
01.02.1989 00:00:00   ;   145,36 ;     
01.03.1989 00:00:00   ;   145,56 ;     
01.04.1989 00:00:00   ;   145,69 ;     
01.05.1989 00:00:00   ;   145,72 ;     
01.06.1989 00:00:00   ;   145,69 ;     
01.07.1989 00:00:00   ;   145,98 ;     
01.08.1989 00:00:00   ;   145,74 ;     
01.09.1989 00:00:00   ;   145,49 ;     
01.10.1989 00:00:00   ;   145,36 ;     
01.11.1989 00:00:00   ;   145,18 ;     
01.12.1989 00:00:00   ;   145,04 ;     
01.01.1990 00:00:00   ;   144,89 ;     
01.02.1990 00:00:00   ;   145,27 ;     
01.03.1990 00:00:00   ;   145,74 ;     
01.04.1990 00:00:00   ;   145,39 ;     
01.05.1990 00:00:00   ;   145,52 ;     
01.06.1990 00:00:00   ;   145,66 ;     
01.07.1990 00:00:00   ;   146,11 ;     
01.08.1990 00:00:00   ;   145,12 ;     
01.09.1990 00:00:00   ;   144,97 ;     
01.10.1990 00:00:00   ;   144,95 ;     
01.11.1990 00:00:00   ;   145,07 ;     
01.12.1990 00:00:00   ;   144,99 ;     
01.01.1991 00:00:00   ;   145,22 ;     
01.02.1991 00:00:00   ;   144,74 ;     
01.03.1991 00:00:00   ;   144,84 ;     
01.04.1991 00:00:00   ;   144,83 ;     
01.05.1991 00:00:00   ;   145,31 ;     
01.06.1991 00:00:00   ;   146,00 ;     
01.07.1991 00:00:00   ;   146,13 ;     
01.08.1991 00:00:00   ;   146,65 ;     
01.09.1991 00:00:00   ;   145,06 ;     
01.10.1991 00:00:00   ;   144,74 ;     
01.11.1991 00:00:00   ;   144,65 ;     
01.12.1991 00:00:00   ;   145,18 ;     
01.01.1992 00:00:00   ;   145,38 ;     
01.02.1992 00:00:00   ;   145,10 ;     
01.03.1992 00:00:00   ;   145,53 ;     
01.04.1992 00:00:00   ;   145,94 ;     
01.05.1992 00:00:00   ;   146,22 ;     
01.06.1992 00:00:00   ;   145,91 ;     
01.07.1992 00:00:00   ;   145,43 ;     
