Messstelle:                ;Schindau, Bl 388
HZB-Nummer:                ;331686
HD-Nummer:                 ;
DBMS-Nummer:               ;3002858
PorenGW-Gebiet:            ;185 Ybbstal
Grundwasserkörper:         ;Ybbstal / Ybbser Scheibe [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1989
 Geländehöhe:              ;315,64
 Messpunkthöhe:            ;316,54
 Sohllage:                 ;279,04
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;14 50 43                 ;48 04 04
  01.01.2009               ;14 50 43                 ;48 04 04
  01.01.1989               ;14 50 43                 ;48 04 03
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1989 00:00:00   ;   290,34 ;     
01.02.1989 00:00:00   ;   290,31 ;     
01.03.1989 00:00:00   ;   290,12 ;     
01.04.1989 00:00:00   ;   290,73 ;     
01.05.1989 00:00:00   ;   290,82 ;     
01.06.1989 00:00:00   ;   290,49 ;     
01.07.1989 00:00:00   ;   290,28 ;     
01.08.1989 00:00:00   ;   290,35 ;     
01.09.1989 00:00:00   ;   290,29 ;     
01.10.1989 00:00:00   ;   290,61 ;     
