Messstelle:                ;Elmen, Bl 4
HZB-Nummer:                ;342402
HD-Nummer:                 ;
DBMS-Nummer:               ;7004275
Fremdnummer:               ;GW70809007
PorenGW-Gebiet:            ;028 Oberes Lechtal
Grundwasserkörper:         ;Gruppe Nördliche-Kalkalpen [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Elektrizitätswerk der Marktgemeinde Reutte
Höhenangaben [m ü.A.]:     ;gültig seit: ;30.06.2020
 Geländehöhe:              ;976,82
 Messpunkthöhe:            ;977,92
 Sohllage:                 ;960,92
 T-Messtiefe u.GOK:        ;13,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  02.06.2003               ;10 32 08                 ;47 19 47
  01.06.2003               ;10 32 09                 ;47 19 48
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.06.2003 00:00:00   ;   968,52 ;     
01.07.2003 00:00:00   ;   968,03 ;     
01.08.2003 00:00:00   ;   967,64 ;     
01.09.2003 00:00:00   ;   967,79 ;     
01.10.2003 00:00:00   ;Lücke     ;     
01.11.2003 00:00:00   ;   968,52 ;     
01.12.2003 00:00:00   ;   968,32 ;     
01.01.2004 00:00:00   ;   968,47 ;     
01.02.2004 00:00:00   ;   968,32 ;     
01.03.2004 00:00:00   ;   968,43 ;     
01.04.2004 00:00:00   ;   968,75 ;     
01.05.2004 00:00:00   ;   968,89 ;     
01.06.2004 00:00:00   ;   969,12 ;     
01.07.2004 00:00:00   ;   968,70 ;     
01.08.2004 00:00:00   ;   968,52 ;     
01.09.2004 00:00:00   ;   968,50 ;     
01.10.2004 00:00:00   ;   968,42 ;     
01.11.2004 00:00:00   ;   968,10 ;     
01.12.2004 00:00:00   ;   967,90 ;     
01.01.2005 00:00:00   ;   967,85 ;     
01.02.2005 00:00:00   ;   967,76 ;     
01.03.2005 00:00:00   ;   968,09 ;     
01.04.2005 00:00:00   ;   968,65 ;     
01.05.2005 00:00:00   ;   968,97 ;     
01.06.2005 00:00:00   ;   968,65 ;     
01.07.2005 00:00:00   ;   968,66 ;     
01.08.2005 00:00:00   ;   969,09 ;     
01.09.2005 00:00:00   ;   969,18 ;     
01.10.2005 00:00:00   ;   968,93 ;     
01.11.2005 00:00:00   ;   968,38 ;     
01.12.2005 00:00:00   ;   968,13 ;     
01.01.2006 00:00:00   ;   968,09 ;     
01.02.2006 00:00:00   ;   968,25 ;     
01.03.2006 00:00:00   ;   968,59 ;     
01.04.2006 00:00:00   ;   969,72 ;     
01.05.2006 00:00:00   ;   969,98 ;     
01.06.2006 00:00:00   ;   969,98 ;     
01.07.2006 00:00:00   ;   969,30 ;     
01.08.2006 00:00:00   ;   969,52 ;     
01.09.2006 00:00:00   ;   969,50 ;     
01.10.2006 00:00:00   ;   969,21 ;     
01.11.2006 00:00:00   ;   969,22 ;     
01.12.2006 00:00:00   ;   968,99 ;     
01.01.2007 00:00:00   ;   969,28 ;     
01.02.2007 00:00:00   ;   969,09 ;     
01.03.2007 00:00:00   ;   969,28 ;     
01.04.2007 00:00:00   ;   969,46 ;     
01.05.2007 00:00:00   ;   969,63 ;     
01.06.2007 00:00:00   ;   969,52 ;     
01.07.2007 00:00:00   ;   969,65 ;     
01.08.2007 00:00:00   ;   969,43 ;     
01.09.2007 00:00:00   ;   969,59 ;     
01.10.2007 00:00:00   ;   969,02 ;     
01.11.2007 00:00:00   ;   968,96 ;     
01.12.2007 00:00:00   ;   968,93 ;     
01.01.2008 00:00:00   ;   968,71 ;     
01.02.2008 00:00:00   ;   968,65 ;     
01.03.2008 00:00:00   ;   969,12 ;     
01.04.2008 00:00:00   ;   969,36 ;     
01.05.2008 00:00:00   ;   969,91 ;     
01.06.2008 00:00:00   ;   969,75 ;     
01.07.2008 00:00:00   ;   969,64 ;     
01.08.2008 00:00:00   ;   969,42 ;     
01.09.2008 00:00:00   ;   968,93 ;     
01.10.2008 00:00:00   ;   968,62 ;     
