Messstelle:                ;Dietachdorf, Bl 24.3
HZB-Nummer:                ;344465
HD-Nummer:                 ;HD4003239
DBMS-Nummer:               ;4003239
Fremdnummer:               ;STGSR08
PorenGW-Gebiet:            ;173 Unteres Ennstal
Grundwasserkörper:         ;Unteres Ennstal (NT,OT) [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Ennskraft
Höhenangaben [m ü.A.]:     ;gültig seit: ;10.06.2008
 Geländehöhe:              ;291,04
 Messpunkthöhe:            ;292,34
 Sohllage:                 ;280,18
 T-Messtiefe u.GOK:        ;10,20
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  10.06.2008               ;14 27 33                 ;48 05 04
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2015 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.2008 00:00:00   ;   282,56 ;     
01.08.2008 00:00:00   ;   282,57 ;     
01.09.2008 00:00:00   ;   282,60 ;     
01.10.2008 00:00:00   ;   282,58 ;     
01.11.2008 00:00:00   ;   282,57 ;     
01.12.2008 00:00:00   ;   282,61 ;     
01.01.2009 00:00:00   ;   282,58 ;     
01.02.2009 00:00:00   ;   282,61 ;     
01.03.2009 00:00:00   ;   282,62 ;     
01.04.2009 00:00:00   ;   282,77 ;     
