Messstelle:                ;Mitterbach (Brücke)
HZB-Nummer:                ;207704
HD-Nummer:                 ;no065
DBMS-Nummer:               ;3001010
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Energieversorgung Niederösterreich-AG.
orogr.Einzugsgebiet [km²]: ;29,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00791,00
   01.01.1977              ;00785,90
   01.01.2014              ;00785,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;672483,40 - 298038,20
   01.01.1977              ;672413,70 - 297773,50
Exportzeitreihe:           ;(3001010,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1977 00:00:05,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1977 00:00:05; 0,262
02.01.1977 00:00:00; 0,248
03.01.1977 00:00:00; 0,248
04.01.1977 00:00:00; 0,248
05.01.1977 00:00:00; 0,239
06.01.1977 00:00:00; 0,231
07.01.1977 00:00:00; 0,237
08.01.1977 00:00:00; 0,287
09.01.1977 00:00:00; 0,308
10.01.1977 00:00:00; 0,284
11.01.1977 00:00:00; 0,247
12.01.1977 00:00:00; 0,250
13.01.1977 00:00:00; 0,269
14.01.1977 00:00:00; 0,254
15.01.1977 00:00:00; 0,249
16.01.1977 00:00:00; 0,233
17.01.1977 00:00:00; 0,232
18.01.1977 00:00:00; 0,231
19.01.1977 00:00:00; 0,221
20.01.1977 00:00:00; 0,220
21.01.1977 00:00:00; 0,213
22.01.1977 00:00:00; 0,208
23.01.1977 00:00:00; 0,201
24.01.1977 00:00:00; 0,227
25.01.1977 00:00:00; 0,249
26.01.1977 00:00:00; 0,329
27.01.1977 00:00:00; 0,568
28.01.1977 00:00:00; 0,667
29.01.1977 00:00:00; 0,550
30.01.1977 00:00:00; 0,491
31.01.1977 00:00:00; 0,416
01.02.1977 00:00:00; 0,347
02.02.1977 00:00:00; 0,308
03.02.1977 00:00:00; 0,284
04.02.1977 00:00:00; 0,285
05.02.1977 00:00:00; 0,544
06.02.1977 00:00:00;  1,45
07.02.1977 00:00:00;  1,69
08.02.1977 00:00:00;  1,36
09.02.1977 00:00:00;  1,15
10.02.1977 00:00:00; 0,961
11.02.1977 00:00:00;  1,01
12.02.1977 00:00:00;  1,00
13.02.1977 00:00:00;  1,01
14.02.1977 00:00:00; 0,943
15.02.1977 00:00:00; 0,926
16.02.1977 00:00:00; 0,907
17.02.1977 00:00:00; 0,861
18.02.1977 00:00:00; 0,811
19.02.1977 00:00:00; 0,788
20.02.1977 00:00:00; 0,761
21.02.1977 00:00:00; 0,792
22.02.1977 00:00:00; 0,853
23.02.1977 00:00:00; 0,939
24.02.1977 00:00:00; 0,779
25.02.1977 00:00:00; 0,819
26.02.1977 00:00:00; 0,836
27.02.1977 00:00:00; 0,803
28.02.1977 00:00:00; 0,721
01.03.1977 00:00:00; 0,614
02.03.1977 00:00:00; 0,576
03.03.1977 00:00:00;  1,49
04.03.1977 00:00:00;  5,32
05.03.1977 00:00:00;  6,14
06.03.1977 00:00:00;  3,64
07.03.1977 00:00:00;  2,59
08.03.1977 00:00:00;  2,11
09.03.1977 00:00:00;  1,98
10.03.1977 00:00:00;  2,14
11.03.1977 00:00:00;  2,31
12.03.1977 00:00:00;  2,23
13.03.1977 00:00:00;  2,02
14.03.1977 00:00:00;  1,90
15.03.1977 00:00:00;  1,63
16.03.1977 00:00:00;  1,52
17.03.1977 00:00:00;  1,21
18.03.1977 00:00:00;  1,76
19.03.1977 00:00:00;  2,01
20.03.1977 00:00:00;  2,21
21.03.1977 00:00:00;  2,12
22.03.1977 00:00:00;  1,66
23.03.1977 00:00:00;  1,94
24.03.1977 00:00:00;  2,45
25.03.1977 00:00:00;  2,49
26.03.1977 00:00:00;  2,39
27.03.1977 00:00:00;  2,03
28.03.1977 00:00:00;  1,92
29.03.1977 00:00:00;  1,68
30.03.1977 00:00:00;  1,29
31.03.1977 00:00:00; 0,969
01.04.1977 00:00:00; 0,784
02.04.1977 00:00:00; 0,737
03.04.1977 00:00:00; 0,876
04.04.1977 00:00:00;  1,14
05.04.1977 00:00:00; 0,909
06.04.1977 00:00:00; 0,773
07.04.1977 00:00:00; 0,765
08.04.1977 00:00:00; 0,776
09.04.1977 00:00:00; 0,771
10.04.1977 00:00:00; 0,715
11.04.1977 00:00:00; 0,652
12.04.1977 00:00:00; 0,609
13.04.1977 00:00:00; 0,681
14.04.1977 00:00:00;  1,03
15.04.1977 00:00:00; 0,832
16.04.1977 00:00:00; 0,732
17.04.1977 00:00:00; 0,724
18.04.1977 00:00:00; 0,768
19.04.1977 00:00:00;  1,10
20.04.1977 00:00:00;  1,10
21.04.1977 00:00:00; 0,970
22.04.1977 00:00:00;  1,20
23.04.1977 00:00:00;  2,39
24.04.1977 00:00:00;  3,42
25.04.1977 00:00:00;  2,80
26.04.1977 00:00:00;  1,44
27.04.1977 00:00:00;  1,35
28.04.1977 00:00:00;  2,83
29.04.1977 00:00:00;  2,44
30.04.1977 00:00:00;  2,78
01.05.1977 00:00:00;  3,10
02.05.1977 00:00:00;  2,93
03.05.1977 00:00:00;  2,45
04.05.1977 00:00:00;  2,10
05.05.1977 00:00:00;  2,37
06.05.1977 00:00:00;  1,93
07.05.1977 00:00:00;  1,59
08.05.1977 00:00:00;  1,25
09.05.1977 00:00:00;  1,03
10.05.1977 00:00:00; 0,912
11.05.1977 00:00:00; 0,931
12.05.1977 00:00:00; 0,999
13.05.1977 00:00:00;  1,08
14.05.1977 00:00:00;  1,09
15.05.1977 00:00:00; 0,992
16.05.1977 00:00:00; 0,992
17.05.1977 00:00:00; 0,891
18.05.1977 00:00:00; 0,839
19.05.1977 00:00:00; 0,810
20.05.1977 00:00:00; 0,825
21.05.1977 00:00:00; 0,834
22.05.1977 00:00:00; 0,804
23.05.1977 00:00:00; 0,695
24.05.1977 00:00:00; 0,603
25.05.1977 00:00:00; 0,523
26.05.1977 00:00:00; 0,520
27.05.1977 00:00:00; 0,483
28.05.1977 00:00:00; 0,485
29.05.1977 00:00:00; 0,431
30.05.1977 00:00:00; 0,446
31.05.1977 00:00:00; 0,481
01.06.1977 00:00:00; 0,460
02.06.1977 00:00:00; 0,440
03.06.1977 00:00:00; 0,387
04.06.1977 00:00:00; 0,364
05.06.1977 00:00:00; 0,348
06.06.1977 00:00:00; 0,334
07.06.1977 00:00:00; 0,320
08.06.1977 00:00:00; 0,306
09.06.1977 00:00:00; 0,293
10.06.1977 00:00:00; 0,286
11.06.1977 00:00:00; 0,280
12.06.1977 00:00:00; 0,274
13.06.1977 00:00:00; 0,263
14.06.1977 00:00:00; 0,257
15.06.1977 00:00:00; 0,252
16.06.1977 00:00:00; 0,239
17.06.1977 00:00:00; 0,227
18.06.1977 00:00:00; 0,225
19.06.1977 00:00:00; 0,226
20.06.1977 00:00:00; 0,227
21.06.1977 00:00:00; 0,242
22.06.1977 00:00:00; 0,377
23.06.1977 00:00:00; 0,473
24.06.1977 00:00:00; 0,408
25.06.1977 00:00:00; 0,322
26.06.1977 00:00:00; 0,268
27.06.1977 00:00:00; 0,456
28.06.1977 00:00:00; 0,708
29.06.1977 00:00:00; 0,597
30.06.1977 00:00:00; 0,482
01.07.1977 00:00:00; 0,440
02.07.1977 00:00:00; 0,345
03.07.1977 00:00:00; 0,240
04.07.1977 00:00:00; 0,230
