Messstelle:                ;Lochau
HZB-Nummer:                ;200345
HD-Nummer:                 ;
DBMS-Nummer:               ;8001034
Gewässer:                  ;Ruggbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;6,79
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.03.1967              ;00409,47
   01.01.2001              ;00409,45
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.03.1967              ;105761,00 - 266553,00
Exportzeitreihe:           ;(8001034,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[28.02.1967 16:54:15,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
28.02.1967 16:54:15; 0,470
01.03.1967 00:00:00; 0,563
02.03.1967 00:00:00; 0,592
03.03.1967 00:00:00; 0,433
04.03.1967 00:00:00; 0,349
05.03.1967 00:00:00; 0,366
06.03.1967 00:00:00; 0,524
07.03.1967 00:00:00; 0,427
08.03.1967 00:00:00; 0,409
09.03.1967 00:00:00; 0,403
10.03.1967 00:00:00; 0,414
11.03.1967 00:00:00; 0,524
12.03.1967 00:00:00; 0,532
13.03.1967 00:00:00; 0,389
14.03.1967 00:00:00; 0,317
15.03.1967 00:00:00; 0,307
16.03.1967 00:00:00; 0,264
17.03.1967 00:00:00; 0,263
18.03.1967 00:00:00; 0,265
19.03.1967 00:00:00; 0,283
20.03.1967 00:00:00; 0,287
21.03.1967 00:00:00; 0,497
22.03.1967 00:00:00; 0,658
23.03.1967 00:00:00; 0,605
24.03.1967 00:00:00; 0,482
25.03.1967 00:00:00; 0,368
26.03.1967 00:00:00; 0,334
27.03.1967 00:00:00; 0,347
28.03.1967 00:00:00; 0,347
29.03.1967 00:00:00; 0,327
30.03.1967 00:00:00; 0,286
31.03.1967 00:00:00; 0,274
01.04.1967 00:00:00; 0,242
02.04.1967 00:00:00; 0,254
03.04.1967 00:00:00; 0,372
04.04.1967 00:00:00; 0,676
05.04.1967 00:00:00; 0,783
06.04.1967 00:00:00; 0,496
07.04.1967 00:00:00; 0,353
08.04.1967 00:00:00; 0,250
09.04.1967 00:00:00; 0,238
10.04.1967 00:00:00; 0,240
11.04.1967 00:00:00; 0,239
12.04.1967 00:00:00; 0,239
13.04.1967 00:00:00; 0,207
14.04.1967 00:00:00; 0,212
15.04.1967 00:00:00; 0,209
16.04.1967 00:00:00; 0,218
17.04.1967 00:00:00; 0,185
18.04.1967 00:00:00; 0,170
19.04.1967 00:00:00; 0,170
20.04.1967 00:00:00; 0,164
21.04.1967 00:00:00; 0,261
22.04.1967 00:00:00; 0,281
23.04.1967 00:00:00; 0,420
24.04.1967 00:00:00; 0,796
25.04.1967 00:00:00; 0,349
26.04.1967 00:00:00; 0,238
27.04.1967 00:00:00; 0,214
28.04.1967 00:00:00; 0,229
29.04.1967 00:00:00; 0,219
30.04.1967 00:00:00; 0,190
01.05.1967 00:00:00; 0,169
02.05.1967 00:00:00; 0,184
03.05.1967 00:00:00; 0,262
04.05.1967 00:00:00; 0,523
05.05.1967 00:00:00; 0,638
06.05.1967 00:00:00; 0,398
07.05.1967 00:00:00; 0,277
08.05.1967 00:00:00; 0,217
09.05.1967 00:00:00; 0,168
10.05.1967 00:00:00; 0,156
11.05.1967 00:00:00; 0,146
12.05.1967 00:00:00; 0,139
13.05.1967 00:00:00; 0,139
14.05.1967 00:00:00; 0,137
15.05.1967 00:00:00; 0,138
16.05.1967 00:00:00; 0,134
17.05.1967 00:00:00; 0,173
18.05.1967 00:00:00; 0,460
19.05.1967 00:00:00; 0,243
20.05.1967 00:00:00; 0,182
21.05.1967 00:00:00; 0,222
22.05.1967 00:00:00; 0,126
23.05.1967 00:00:00; 0,320
24.05.1967 00:00:00; 0,275
25.05.1967 00:00:00; 0,428
26.05.1967 00:00:00; 0,402
27.05.1967 00:00:00; 0,202
28.05.1967 00:00:00; 0,143
