Messstelle:                ;Hartheim, Br 2151.014
HZB-Nummer:                ;307496
HD-Nummer:                 ;2151.014
DBMS-Nummer:               ;4002092
Fremdnummer:               ;O175
PorenGW-Gebiet:            ;096 Südliches Eferdinger Becken
Grundwasserkörper:         ;Eferdinger Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;28.06.2019
 Geländehöhe:              ;268,20
 Messpunkthöhe:            ;268,70
 Sohllage:                 ;258,87
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 05 15                 ;48 16 50
  01.01.2003               ;14 05 18                 ;48 16 54
  04.07.1966               ;14 05 18                 ;48 16 54
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
26.12.1967 07:01:00   ;   259,82 ;     
31.12.1968 23:59:55   ;   259,88 ;     
31.12.1969 23:59:55   ;   259,26 ;     
02.02.1970 07:01:00   ;   259,18 ;     
31.12.1971 23:59:55   ;   259,22 ;     
02.05.1972 07:01:00   ;   258,89 ;     
08.01.1973 07:01:00   ;   259,14 ;     
01.01.1974 00:00:05   ;   259,32 ;     
01.01.1975 00:00:05   ;   260,01 ;     
08.11.1976 07:01:00   ;   259,51 ;     
31.12.1977 23:59:55   ;   259,64 ;     
27.12.1978 07:01:00   ;   259,11 ;     
29.01.1979 07:01:00   ;   259,08 ;     
22.12.1980 07:01:00   ;   259,98 ;     
16.11.1981 07:01:00   ;   259,94 ;     
31.12.1982 23:59:55   ;   259,63 ;     
12.12.1983 07:01:00   ;   259,10 ;     
30.12.1984 07:01:00   ;   258,98 ;     
28.01.1985 07:01:00   ;   258,90 ;     
29.12.1986 07:01:00   ;   259,48 ;     
01.01.1987 00:00:05   ;   259,50 ;     
25.01.1988 07:01:00   ;   259,87 ;     
18.12.1989 07:01:00   ;   259,56 ;     
31.12.1990 23:59:55   ;   259,42 ;     
08.07.1991 07:01:00   ;   259,23 ;     
23.11.1992 07:01:00   ;   259,14 ;     
13.12.1993 07:01:00   ;   259,14 ;     
01.01.1994 00:00:05   ;   259,29 ;     
23.01.1995 07:01:00   ;   259,38 ;     
01.01.1996 00:00:05   ;   259,45 ;     
10.02.1997 07:01:00   ;   259,61 ;     
05.10.1998 07:01:00   ;   259,33 ;     
31.12.1999 23:59:55   ;   259,45 ;     
22.01.2000 07:01:00   ;   259,42 ;     
12.01.2001 07:01:00   ;   259,42 ;     
01.01.2002 00:00:05   ;   259,57 ;     
31.12.2003 23:59:55   ;   259,57 ;     
24.12.2004 07:01:00   ;   259,39 ;     
21.01.2005 07:01:00   ;   259,39 ;     
13.01.2006 07:01:00   ;   259,47 ;     
09.11.2007 07:01:00   ;   259,28 ;     
31.12.2008 23:59:55   ;   259,18 ;     
20.02.2009 07:01:00   ;   259,11 ;     
31.12.2010 23:59:55   ;   259,66 ;     
02.09.2011 07:01:00   ;   259,18 ;     
01.01.2012 00:00:05   ;   259,20 ;     
01.01.2013 00:00:05   ;   259,28 ;     
27.09.2014 07:01:00   ;   259,06 ;     
31.12.2015 23:59:55   ;   259,01 ;     
16.01.2016 07:01:00   ;   258,88 ;     
25.11.2017 07:01:00   ;   259,28 ;     
22.12.2018 07:01:00   ;   258,95 ;     
07.12.2019 07:01:00   ;   258,70 ;     
08.02.2020 07:01:00   ;   258,72 ;     
01.01.2021 00:00:05   ;   258,92 ;     
01.01.2022 00:00:05   ;   259,32 ;     
