Messstelle:                ;Amras, Bl 10 (Pradl, Bl 10)
HZB-Nummer:                ;334755
HD-Nummer:                 ;
DBMS-Nummer:               ;7002153
Fremdnummer:               ;GW70101444
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.03.2018
 Geländehöhe:              ;568,58
 Messpunkthöhe:            ;569,43
 Sohllage:                 ;551,78
 T-Messtiefe u.GOK:        ;10,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1990               ;11 25 50                 ;47 16 13
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.01.1990 07:01:00   ;   562,83 ;     
18.02.1991 07:01:00   ;   562,74 ;     
31.12.1992 23:59:55   ;   562,85 ;     
04.01.1993 07:01:00   ;   562,80 ;     
29.12.1994 07:01:00   ;   562,72 ;     
09.01.1995 07:01:00   ;   562,69 ;     
18.03.1996 07:01:00   ;   562,77 ;     
30.12.1997 12:00:00   ;   562,82 ;     
01.01.1998 00:00:05   ;   562,82 ;     
15.02.1999 12:00:00   ;   562,93 ;     
08.03.2000 12:00:00   ;   563,01 ;     
12.02.2001 12:00:00   ;   563,08 ;     
12.02.2002 12:00:00   ;   562,96 ;     
30.12.2003 07:01:00   ;   562,83 ;     
01.01.2004 00:00:05   ;   562,84 ;     
31.12.2005 23:59:55   ;   562,88 ;     
30.12.2006 12:00:00   ;   562,82 ;     
03.01.2007 12:00:00   ;   562,80 ;     
13.02.2008 12:00:00   ;   562,76 ;     
31.12.2009 23:59:55   ;   562,94 ;     
17.04.2010 12:00:00   ;   562,75 ;     
31.12.2011 11:00:00   ;   562,68 ;     
01.01.2012 00:00:05   ;   562,68 ;     
11.04.2013 23:00:00   ;   562,86 ;     
10.03.2014 06:00:00   ;   562,82 ;     
31.12.2015 22:00:00   ;   562,73 ;     
28.03.2016 16:00:00   ;   562,64 ;     
28.02.2017 15:00:00   ;   562,52 ;     
23.12.2018 14:00:00   ;   562,78 ;     
03.01.2019 14:00:00   ;   562,78 ;     
23.02.2020 18:00:00   ;   562,75 ;     
29.12.2021 19:00:00   ;   562,87 ;     
