Messstelle:                ;Frauendorf/Au, Br 1974.003
HZB-Nummer:                ;327031
HD-Nummer:                 ;
DBMS-Nummer:               ;3002744
PorenGW-Gebiet:            ;200 Nördliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1980
 Geländehöhe:              ;182,96
 Messpunkthöhe:            ;183,36
 Sohllage:                 ;177,51
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 55 05                 ;48 22 17
  01.01.1980               ;15 55 03                 ;48 22 18
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2017 ab Juli Messstelle nicht zugänglich (forstliches Sperrgebiet)
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
12.12.1980 07:01:00   ;   178,35 ;     
09.07.1981 07:01:00   ;   178,34 ;     
17.12.1982 07:01:00   ;   178,31 ;     
31.12.1983 23:59:55   ;   178,09 ;     
30.03.1984 07:01:00   ;   178,00 ;     
18.01.1985 07:01:00   ;   178,07 ;     
10.01.1986 07:01:00   ;   178,04 ;     
18.12.1987 07:01:00   ;   178,12 ;     
11.11.1988 07:01:00   ;   178,22 ;     
08.12.1989 07:01:00   ;   178,19 ;     
16.02.1990 07:01:00   ;   178,21 ;     
20.12.1991 07:01:00   ;   178,02 ;     
20.11.1992 07:01:00   ;   178,17 ;     
19.11.1993 07:01:00   ;   177,99 ;     
09.12.1994 07:01:00   ;   177,85 ;     
01.12.1995 07:01:00   ;   177,98 ;     
29.11.1996 07:01:00   ;   178,12 ;     
14.11.1997 07:01:00   ;   178,03 ;     
23.10.1998 07:01:00   ;   178,19 ;     
03.12.1999 07:01:00   ;   178,17 ;     
08.12.2000 07:01:00   ;   178,09 ;     
26.10.2001 07:01:00   ;   178,05 ;     
18.01.2002 07:01:00   ;   178,16 ;     
31.10.2003 07:01:00   ;   178,11 ;     
12.11.2004 07:01:00   ;   178,10 ;     
18.11.2005 07:01:00   ;   178,12 ;     
17.11.2006 07:01:00   ;   178,11 ;     
03.08.2007 07:01:00   ;   178,13 ;     
31.10.2008 07:01:00   ;   178,12 ;     
17.01.2009 07:01:00   ;   178,22 ;     
29.10.2010 07:01:00   ;   178,25 ;     
28.10.2011 07:01:00   ;   178,16 ;     
09.11.2012 07:01:00   ;   178,04 ;     
15.11.2013 07:01:00   ;   178,11 ;     
07.02.2014 07:01:00   ;   178,07 ;     
30.10.2015 07:01:00   ;   178,12 ;     
29.10.2016 07:01:00   ;   178,19 ;     
21.10.2019 07:01:00   ;   178,06 ;     
26.10.2020 07:01:00   ;   178,19 ;     
01.11.2021 07:01:00   ;   178,12 ;     
