Messstelle:                ;Ruprechtshofen, Bl 2104.001
HZB-Nummer:                ;308247
HD-Nummer:                 ;2104.001
DBMS-Nummer:               ;4002167
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2004
 Geländehöhe:              ;238,65
 Messpunkthöhe:            ;239,68
 Sohllage:                 ;231,15
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 36 23                 ;48 12 15
  01.01.2003               ;14 36 26                 ;48 12 19
  17.10.1963               ;14 36 26                 ;48 12 19
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1969 bis 2016 FG06 durch Kraftwerk beeinflusst
  1969 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  1969 Akorr 2001: durch Kraftwerk beeinflusst
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
17.01.1969 07:01:00   ;   236,69 ;     
06.02.1970 07:01:00   ;   236,58 ;     
23.12.1971 07:01:00   ;   236,44 ;     
12.02.1972 07:01:00   ;   236,29 ;     
26.01.1973 07:01:00   ;   236,35 ;     
18.01.1974 07:01:00   ;   236,33 ;     
16.04.1975 07:01:00   ;   236,40 ;     
31.12.1976 23:59:55   ;   236,22 ;     
25.01.1977 07:01:00   ;   236,17 ;     
11.01.1978 07:01:00   ;   236,20 ;     
24.01.1979 07:01:00   ;   236,20 ;     
12.11.1980 07:01:00   ;   236,33 ;     
04.02.1981 07:01:00   ;   236,25 ;     
27.01.1982 07:01:00   ;   236,39 ;     
14.12.1983 07:01:00   ;   236,34 ;     
22.02.1984 07:01:00   ;   236,31 ;     
06.03.1985 07:01:00   ;   236,36 ;     
24.12.1986 07:01:00   ;   236,41 ;     
11.02.1987 07:01:00   ;   236,33 ;     
23.11.1988 07:01:00   ;   236,32 ;     
29.12.1989 07:01:00   ;   236,38 ;     
21.02.1990 07:01:00   ;   236,32 ;     
28.02.1991 07:01:00   ;   236,32 ;     
29.12.1992 07:01:00   ;   236,61 ;     
22.12.1993 07:01:00   ;   236,50 ;     
31.12.1994 23:59:55   ;   236,48 ;     
31.12.1995 23:59:55   ;   236,34 ;     
03.01.1996 07:01:00   ;   236,34 ;     
23.12.1997 07:01:00   ;   236,39 ;     
16.12.1998 07:01:00   ;   236,28 ;     
30.12.1999 07:01:00   ;   236,30 ;     
03.02.2000 07:01:00   ;   236,28 ;     
31.12.2001 23:59:55   ;   236,32 ;     
09.01.2002 07:01:00   ;   236,30 ;     
25.12.2003 07:01:00   ;   236,61 ;     
23.12.2004 07:01:00   ;   236,58 ;     
29.12.2005 07:01:00   ;   236,32 ;     
26.01.2006 07:01:00   ;   236,30 ;     
31.12.2007 23:59:55   ;   236,45 ;     
31.12.2008 23:59:55   ;   236,40 ;     
29.01.2009 07:01:00   ;   235,98 ;     
23.12.2010 07:01:00   ;   236,16 ;     
22.12.2011 07:01:00   ;   235,96 ;     
16.02.2012 07:01:00   ;   235,64 ;     
14.02.2013 07:01:00   ;   235,80 ;     
31.12.2014 23:59:55   ;   236,00 ;     
22.01.2015 07:01:00   ;   235,99 ;     
28.01.2016 07:01:00   ;   236,00 ;     
02.02.2017 07:01:00   ;   235,97 ;     
04.01.2018 07:01:00   ;   235,98 ;     
03.01.2019 07:01:00   ;   235,98 ;     
13.02.2020 07:01:00   ;   235,97 ;     
18.02.2021 07:01:00   ;   236,00 ;     
