Messstelle:                ;Vandans, Bl 13.03.44
HZB-Nummer:                ;347088
HD-Nummer:                 ;13.03.44
DBMS-Nummer:               ;8002276
PorenGW-Gebiet:            ;001 Montafon
Grundwasserkörper:         ;Gruppe Kristallin [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;12.06.2009
 Geländehöhe:              ;648,56
 Messpunkthöhe:            ;649,37
 Sohllage:                 ;627,06
 T-Messtiefe u.GOK:        ;19,69
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1996               ;09 52 17                 ;47 05 14
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
06.03.1996 07:01:00   ;   632,39 ;     
17.02.1997 07:01:00   ;   632,31 ;     
16.02.1998 07:01:00   ;   632,52 ;     
15.02.1999 07:01:00   ;   632,55 ;     
03.07.2000 07:01:00   ;   633,07 ;     
26.02.2001 07:01:00   ;   633,18 ;     
22.07.2002 07:01:00   ;   633,17 ;     
22.09.2003 07:01:00   ;   632,85 ;     
29.11.2004 07:01:00   ;   632,78 ;     
14.03.2005 07:01:00   ;   632,79 ;     
13.02.2006 13:26:00   ;   632,90 ;     
26.02.2007 07:01:00   ;   633,03 ;     
24.11.2008 07:01:00   ;   633,00 ;     
30.11.2009 07:01:00   ;   632,75 ;     
15.02.2010 07:01:00   ;   632,73 ;     
12.12.2011 07:01:00   ;   632,73 ;     
27.02.2012 07:01:00   ;   632,91 ;     
22.12.2013 13:00:00   ;   632,64 ;     
04.02.2014 12:00:00   ;   632,55 ;     
16.12.2015 05:00:00   ;   632,22 ;     
11.01.2016 13:00:00   ;   632,26 ;     
31.01.2017 15:00:00   ;   632,24 ;     
29.11.2018 11:00:00   ;   631,95 ;     
01.01.2019 00:00:05   ;   632,27 ;     
11.12.2020 13:00:00   ;   632,61 ;     
28.12.2021 10:00:00   ;   631,95 ;     
