Messstelle:                ;Au, Bl 2103.002
HZB-Nummer:                ;302174
HD-Nummer:                 ;
DBMS-Nummer:               ;3002175
PorenGW-Gebiet:            ;178 Südliches Machland
Grundwasserkörper:         ;Südl. Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;19.04.2012
 Geländehöhe:              ;237,74
 Messpunkthöhe:            ;239,24
 Sohllage:                 ;232,56
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;14 36 16                 ;48 10 56
  01.01.2009               ;14 36 17                 ;48 10 58
  24.10.1963               ;14 36 17                 ;48 10 57
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
14.03.1964 07:01:00   ;   234,04 ;     
18.12.1965 07:01:00   ;   233,74 ;     
29.01.1966 07:01:00   ;   234,83 ;     
06.12.1967 07:01:00   ;   234,61 ;     
30.09.1968 07:01:00   ;   234,41 ;     
30.10.1969 07:01:00   ;   234,32 ;     
01.01.1970 00:00:05   ;   234,36 ;     
09.08.1971 07:01:00   ;   234,39 ;     
13.02.1972 07:01:00   ;   234,41 ;     
18.10.1973 07:01:00   ;   234,50 ;     
17.10.1974 07:01:00   ;   234,53 ;     
28.12.1975 07:01:00   ;   234,57 ;     
22.07.1976 07:01:00   ;   234,39 ;     
01.10.1977 07:01:00   ;   234,42 ;     
03.07.1978 07:01:00   ;   234,39 ;     
31.01.1979 07:01:00   ;   234,48 ;     
01.10.1980 07:01:00   ;   234,50 ;     
16.07.1981 07:01:00   ;   234,36 ;     
30.09.1982 07:01:00   ;   234,33 ;     
02.10.1983 07:01:00   ;   234,20 ;     
20.09.1984 07:01:00   ;   234,21 ;     
10.01.1985 07:01:00   ;   234,34 ;     
22.09.1986 07:01:00   ;   234,20 ;     
05.11.1987 07:01:00   ;   234,41 ;     
31.08.1988 07:01:00   ;   234,33 ;     
31.08.1989 07:01:00   ;   234,30 ;     
20.09.1990 07:01:00   ;   234,19 ;     
25.04.1991 07:01:00   ;   234,28 ;     
05.10.1992 07:01:00   ;   234,27 ;     
23.08.1993 07:01:00   ;   234,31 ;     
04.10.1994 07:01:00   ;   234,13 ;     
31.08.1995 07:01:00   ;   234,23 ;     
06.10.1996 07:01:00   ;   234,52 ;     
03.11.1997 12:00:00   ;   234,32 ;     
06.09.1998 12:00:00   ;   234,23 ;     
26.10.1999 12:00:00   ;   234,18 ;     
20.09.2000 12:00:00   ;   234,12 ;     
02.09.2001 12:00:00   ;   234,17 ;     
03.07.2002 12:00:00   ;   234,36 ;     
11.09.2003 12:00:00   ;   234,14 ;     
12.10.2004 12:00:00   ;   234,18 ;     
10.01.2005 05:00:00   ;   234,29 ;     
08.11.2006 10:00:00   ;   234,24 ;     
10.08.2007 00:00:00   ;   234,06 ;     
02.08.2008 15:00:00   ;   234,20 ;     
05.02.2009 15:00:00   ;   234,35 ;     
25.10.2010 21:00:00   ;   234,28 ;     
01.10.2011 07:01:00   ;   234,18 ;     
11.09.2012 08:00:00   ;   234,24 ;     
29.10.2013 10:00:00   ;   234,35 ;     
10.08.2014 01:00:00   ;   234,21 ;     
19.09.2015 04:00:00   ;   234,02 ;     
01.01.2016 00:00:05   ;   234,29 ;     
31.08.2017 20:00:00   ;   234,15 ;     
30.08.2018 17:00:00   ;   233,98 ;     
02.10.2019 01:00:00   ;   233,96 ;     
09.06.2020 01:00:00   ;   234,11 ;     
22.07.2021 19:00:00   ;   234,16 ;     
