Messstelle:                ;Marchtrenk, Br 23.9
HZB-Nummer:                ;375782
HD-Nummer:                 ;W23.9
DBMS-Nummer:               ;4002958
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;17.11.2005
 Geländehöhe:              ;302,87
 Messpunkthöhe:            ;303,32
 Sohllage:                 ;293,72
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 06 40                 ;48 11 31
  17.11.2005               ;14 06 43                 ;48 11 33
  01.01.2003               ;14 06 45                 ;48 11 28
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.10.1992 07:01:00   ;   293,52 ;     
03.09.1993 07:01:00   ;   293,66 ;     
18.11.1994 07:01:00   ;   293,54 ;     
01.01.1995 00:00:05   ;   293,64 ;     
28.03.1996 07:01:00   ;   293,73 ;     
27.11.1997 07:01:00   ;   293,85 ;     
22.10.1998 07:01:00   ;   293,64 ;     
16.12.1999 07:01:00   ;   293,50 ;     
05.01.2000 07:01:00   ;   293,47 ;     
18.01.2001 07:01:00   ;   293,58 ;     
01.08.2002 07:01:00   ;   293,64 ;     
11.12.2003 07:01:00   ;   293,51 ;     
30.12.2004 07:01:00   ;   293,50 ;     
20.01.2005 07:01:00   ;   293,47 ;     
14.12.2006 07:01:00   ;   293,77 ;     
11.01.2007 07:01:00   ;   293,73 ;     
18.12.2008 07:01:00   ;   293,70 ;     
12.02.2009 07:01:00   ;   293,69 ;     
31.12.2010 23:59:55   ;   293,90 ;     
28.12.2011 07:01:00   ;   293,78 ;     
01.01.2012 00:00:05   ;   293,78 ;     
17.01.2013 07:01:00   ;   293,90 ;     
08.05.2014 07:01:00   ;   293,73 ;     
31.12.2015 23:59:55   ;   293,69 ;     
07.01.2016 07:01:00   ;   293,51 ;     
27.02.2017 07:01:00   ;   293,59 ;     
26.11.2018 07:01:00   ;   293,49 ;     
20.12.2019 07:01:00   ;   293,47 ;     
17.01.2020 07:01:00   ;   293,47 ;     
10.12.2021 07:01:00   ;   293,85 ;     
01.01.2022 00:00:05   ;   293,95 ;     
