Messstelle:                ;Güssing, Bl 12
HZB-Nummer:                ;345025
HD-Nummer:                 ;
DBMS-Nummer:               ;1002306
PorenGW-Gebiet:            ;334 Stremtal
Grundwasserkörper:         ;Stremtal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.06.1999
 Geländehöhe:              ;215,41
 Messpunkthöhe:            ;216,41
 Sohllage:                 ;209,17
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1995               ;16 19 17                 ;47 03 47
  31.12.1994               ;16 19 13                 ;47 03 45
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1995 07:01:00   ;   212,76 ;     
01.01.1996 00:00:05   ;   212,94 ;     
23.11.1997 13:00:00   ;   213,22 ;     
12.07.1998 13:00:00   ;   212,87 ;     
01.10.2000 13:00:00   ;   213,00 ;     
30.12.2001 13:00:00   ;   212,90 ;     
29.09.2002 13:00:00   ;   212,66 ;     
28.09.2003 13:00:00   ;   212,56 ;     
01.01.2004 00:00:05   ;   212,57 ;     
13.02.2005 13:00:00   ;   212,74 ;     
31.12.2006 13:00:00   ;   212,82 ;     
02.09.2007 13:00:00   ;   212,55 ;     
14.12.2008 13:00:00   ;   212,50 ;     
04.01.2009 13:00:00   ;   212,59 ;     
13.06.2010 13:00:00   ;   212,73 ;     
31.12.2011 23:59:55   ;   212,72 ;     
30.09.2012 13:00:00   ;   212,52 ;     
03.11.2013 13:00:00   ;   212,55 ;     
01.01.2014 00:00:05   ;   212,78 ;     
27.09.2015 13:00:00   ;   212,59 ;     
03.01.2016 13:00:00   ;   212,67 ;     
29.10.2017 13:00:00   ;   212,56 ;     
11.11.2018 13:00:00   ;   212,65 ;     
24.03.2019 13:00:00   ;   212,51 ;     
21.06.2020 13:00:00   ;   212,83 ;     
28.11.2021 13:00:00   ;   212,54 ;     
