Messstelle:                ;Liesfeld, Bl  8 (K78)
HZB-Nummer:                ;334540
HD-Nummer:                 ;
DBMS-Nummer:               ;7002132
Fremdnummer:               ;GW70514059
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Gruppe Nördliche-Kalkalpen [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1989
 Geländehöhe:              ;502,78
 Messpunkthöhe:            ;503,68
 Sohllage:                 ;494,28
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1989               ;12 00 50                 ;47 29 00
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
18.12.1989 07:01:00   ;   499,85 ;     
05.02.1990 07:01:00   ;   499,43 ;     
25.02.1991 07:01:00   ;   499,86 ;     
03.02.1992 07:01:00   ;   499,93 ;     
17.02.1993 07:01:00   ;   499,86 ;     
26.12.1994 07:01:00   ;   500,07 ;     
22.01.1995 07:01:00   ;   500,04 ;     
20.03.1996 07:01:00   ;   500,04 ;     
31.12.1997 23:59:55   ;   500,21 ;     
02.03.1998 07:01:00   ;   500,03 ;     
15.02.1999 07:01:00   ;   500,10 ;     
10.01.2000 09:10:00   ;   500,19 ;     
31.12.2001 23:59:55   ;   500,23 ;     
21.01.2002 08:50:00   ;   500,14 ;     
31.12.2003 23:59:55   ;   500,02 ;     
03.01.2004 19:00:00   ;   500,00 ;     
14.03.2005 11:30:00   ;   499,99 ;     
23.01.2006 08:30:00   ;   500,02 ;     
02.01.2007 15:45:00   ;   500,02 ;     
25.02.2008 10:45:00   ;   500,13 ;     
16.02.2009 06:00:00   ;   500,10 ;     
20.04.2010 02:45:00   ;   500,02 ;     
13.03.2011 08:00:00   ;   500,07 ;     
01.01.2012 00:00:05   ;   500,17 ;     
11.04.2013 10:15:00   ;   500,18 ;     
17.03.2014 19:30:00   ;   500,09 ;     
31.12.2015 21:45:00   ;   500,03 ;     
03.01.2016 10:30:00   ;   500,01 ;     
16.02.2017 00:00:00   ;   500,10 ;     
22.10.2018 22:15:00   ;   500,20 ;     
11.02.2019 11:30:00   ;   500,29 ;     
31.12.2020 04:30:00   ;   500,27 ;     
24.04.2021 23:45:00   ;   500,16 ;     
