Messstelle:                ;Markt Allhau, Bl 15
HZB-Nummer:                ;335604
HD-Nummer:                 ;
DBMS-Nummer:               ;1002268
PorenGW-Gebiet:            ;335 Lafnitztal
Grundwasserkörper:         ;Lafnitztal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1994
 Geländehöhe:              ;343,54
 Messpunkthöhe:            ;344,54
 Sohllage:                 ;335,14
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1994               ;16 04 00                 ;47 17 14
  31.12.1993               ;16 03 56                 ;47 17 12
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2018 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
24.12.1994 07:01:00   ;   340,79 ;     
04.02.1995 07:01:00   ;   340,79 ;     
09.03.1996 07:01:00   ;   340,85 ;     
01.11.1997 11:30:00   ;   340,83 ;     
16.05.1998 11:30:00   ;   340,82 ;     
25.12.1999 15:00:00   ;   340,79 ;     
24.06.2000 15:00:00   ;   340,80 ;     
01.09.2001 15:00:00   ;   340,76 ;     
06.03.2002 15:00:00   ;   340,74 ;     
02.08.2003 15:00:00   ;   340,76 ;     
06.03.2004 15:00:00   ;   340,73 ;     
24.12.2005 15:00:00   ;   340,80 ;     
07.01.2006 15:00:00   ;   340,82 ;     
22.07.2007 15:00:00   ;   340,80 ;     
23.02.2008 15:00:00   ;   340,87 ;     
09.01.2009 15:00:00   ;   340,89 ;     
23.01.2010 10:10:00   ;   340,87 ;     
30.12.2011 14:40:00   ;   340,87 ;     
08.06.2012 14:45:00   ;   340,86 ;     
04.08.2013 09:35:00   ;   340,90 ;     
28.06.2014 10:00:00   ;   340,94 ;     
15.08.2015 09:45:00   ;   340,89 ;     
23.01.2016 13:45:00   ;   340,90 ;     
19.06.2017 09:50:00   ;   340,90 ;     
05.08.2018 10:10:00   ;   340,92 ;     
19.08.2019 14:30:00   ;   340,84 ;     
08.06.2020 09:30:00   ;   340,82 ;     
30.10.2021 10:00:00   ;   340,82 ;     
