Messstelle:                ;Tosters, Bl 01.32.45
HZB-Nummer:                ;379305
HD-Nummer:                 ;01.32.45
DBMS-Nummer:               ;8002474
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;14.05.2019
 Geländehöhe:              ;451,75
 Messpunkthöhe:            ;452,74
 Sohllage:                 ;432,74
 T-Messtiefe u.GOK:        ;18,49
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  18.02.2008               ;09 35 22                 ;47 14 28
  01.12.1980               ;09 35 22                 ;47 14 28
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1981 00:00:05   ;   435,34 ;     
31.12.1982 23:59:55   ;   435,32 ;     
31.12.1983 23:59:55   ;   435,21 ;     
30.01.1984 07:01:00   ;   435,03 ;     
28.01.1985 07:01:00   ;   435,18 ;     
29.12.1986 07:01:00   ;   434,80 ;     
01.01.1987 00:00:05   ;   434,83 ;     
28.11.1988 07:01:00   ;   434,82 ;     
31.12.1989 23:59:55   ;   434,70 ;     
10.12.1990 07:01:00   ;   434,59 ;     
18.03.1991 07:01:00   ;   434,44 ;     
26.10.1992 07:01:00   ;   434,67 ;     
15.02.1993 07:01:00   ;   434,91 ;     
05.12.1994 07:01:00   ;   434,70 ;     
01.01.1995 00:00:05   ;   434,72 ;     
22.04.1996 07:01:00   ;   434,53 ;     
29.12.1997 07:01:00   ;   434,01 ;     
01.01.2002 00:00:05   ;   435,86 ;     
29.09.2003 07:01:00   ;   435,23 ;     
31.12.2004 23:59:55   ;   435,15 ;     
19.12.2005 07:01:00   ;   434,70 ;     
16.01.2006 07:01:00   ;   434,76 ;     
26.02.2007 08:01:00   ;   435,23 ;     
19.12.2008 00:00:00   ;   435,11 ;     
30.11.2009 21:00:00   ;   434,99 ;     
20.04.2010 17:00:00   ;   434,94 ;     
21.12.2011 11:00:00   ;   434,84 ;     
01.01.2012 00:00:05   ;   434,93 ;     
31.12.2013 23:59:55   ;   435,04 ;     
22.03.2014 13:45:00   ;   434,83 ;     
31.12.2015 23:59:55   ;   434,36 ;     
31.01.2016 00:00:00   ;   434,32 ;     
23.01.2017 00:00:00   ;   434,91 ;     
23.12.2018 00:00:00   ;   435,86 ;     
07.01.2019 00:00:00   ;   436,04 ;     
31.12.2020 00:00:00   ;   436,49 ;     
29.11.2021 00:00:00   ;   436,31 ;     
