Messstelle:                ;Ried im Oberinntal, Bl 3 (034)
HZB-Nummer:                ;342527
HD-Nummer:                 ;
DBMS-Nummer:               ;7004300
Fremdnummer:               ;GW70620013
PorenGW-Gebiet:            ;024 Oberes Gericht
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;22.09.1982
 Geländehöhe:              ;879,53
 Messpunkthöhe:            ;880,43
 Sohllage:                 ;870,93
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  22.09.1982               ;10 39 27                 ;47 03 20
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
30.12.1983 16:29:00   ;   873,06 ;     
27.02.1984 11:22:00   ;   872,99 ;     
21.01.1985 10:45:00   ;   873,03 ;     
29.12.1986 12:15:00   ;   872,94 ;     
15.02.1987 11:38:00   ;   873,01 ;     
27.12.1988 11:26:00   ;   873,00 ;     
13.11.1989 11:11:00   ;   872,94 ;     
02.01.1990 11:16:00   ;   872,80 ;     
06.05.1991 10:25:00   ;   872,53 ;     
27.12.1994 11:27:00   ;   872,90 ;     
15.01.1996 11:41:00   ;   872,60 ;     
31.12.2001 09:45:00   ;   872,80 ;     
01.01.2004 13:00:00   ;   872,59 ;     
31.12.2005 19:00:00   ;   872,58 ;     
30.12.2006 21:00:00   ;   872,50 ;     
03.01.2007 08:00:00   ;   872,48 ;     
02.01.2008 08:00:00   ;   872,57 ;     
13.12.2009 19:30:00   ;   872,58 ;     
04.01.2010 01:30:00   ;   872,56 ;     
31.12.2011 11:00:00   ;   872,65 ;     
09.01.2012 11:30:00   ;   872,59 ;     
13.04.2013 07:30:00   ;   872,71 ;     
31.12.2014 14:00:00   ;   872,65 ;     
31.12.2015 13:00:00   ;   872,52 ;     
11.01.2016 09:00:00   ;   872,47 ;     
05.03.2017 18:30:00   ;   872,64 ;     
10.12.2018 10:00:00   ;   872,61 ;     
03.01.2019 07:00:00   ;   872,66 ;     
31.12.2020 12:00:00   ;   872,71 ;     
04.01.2021 11:00:00   ;   872,66 ;     
