Messstelle:                ;Klagenfurt, Bl 214
HZB-Nummer:                ;318188
HD-Nummer:                 ;
DBMS-Nummer:               ;2002101
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;30.06.2022
 Geländehöhe:              ;446,44
 Messpunkthöhe:            ;446,66
 Sohllage:                 ;434,62
 T-Messtiefe u.GOK:        ;8,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.11.1990               ;14 17 30                 ;46 35 54
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
18.10.1991 07:01:00   ;   437,39 ;     
25.09.1992 07:01:00   ;   436,95 ;     
23.07.1993 07:01:00   ;   436,89 ;     
09.09.1994 07:01:00   ;   437,25 ;     
10.11.1995 07:01:00   ;   437,15 ;     
15.03.1996 07:01:00   ;   437,19 ;     
07.11.1997 07:30:00   ;   437,30 ;     
11.06.1998 07:30:00   ;   437,02 ;     
05.03.1999 07:30:00   ;   437,06 ;     
29.09.2000 07:30:00   ;   437,62 ;     
28.12.2001 07:30:00   ;   437,44 ;     
22.03.2002 07:30:00   ;   437,19 ;     
22.08.2003 07:30:00   ;   437,32 ;     
12.03.2004 07:30:00   ;   437,59 ;     
01.07.2005 07:30:00   ;   437,67 ;     
08.12.2006 07:30:00   ;   437,09 ;     
09.02.2007 07:30:00   ;   437,04 ;     
29.02.2008 07:30:00   ;   437,00 ;     
04.09.2009 07:30:00   ;   437,84 ;     
06.08.2010 07:30:00   ;   437,40 ;     
23.12.2011 07:30:00   ;   437,37 ;     
13.04.2012 07:30:00   ;   437,16 ;     
01.11.2013 07:30:00   ;   437,60 ;     
20.06.2014 07:30:00   ;   438,12 ;     
29.05.2015 07:30:00   ;   437,71 ;     
08.01.2016 07:30:00   ;   437,81 ;     
18.08.2017 07:30:00   ;   437,58 ;     
21.12.2018 07:30:00   ;   437,56 ;     
01.02.2019 23:38:00   ;   437,45 ;     
29.05.2020 22:12:00   ;   437,58 ;     
29.10.2021 12:32:00   ;   437,47 ;     
