Messstelle:                ;Federaun, Bl  33
HZB-Nummer:                ;309864
HD-Nummer:                 ;
DBMS-Nummer:               ;2002031
PorenGW-Gebiet:            ;425 Unteres Gailtal
Grundwasserkörper:         ;Gruppe Südliche Kalkalpen [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Kärntner Elektrizitätswerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;29.06.2021
 Geländehöhe:              ;504,78
 Messpunkthöhe:            ;505,23
 Sohllage:                 ;500,84
 T-Messtiefe u.GOK:        ;3,35
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1968               ;13 48 33                 ;46 34 22
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2018 HG31 Messstelle zeitweise nicht zugänglich
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
05.02.1968 07:01:00   ;   502,10 ;     
10.11.1969 07:01:00   ;   502,16 ;     
19.10.1970 07:01:00   ;   502,43 ;     
27.09.1971 07:01:00   ;   502,23 ;     
23.10.1972 07:01:00   ;   502,36 ;     
17.09.1973 07:01:00   ;   502,38 ;     
30.12.1974 07:01:00   ;   502,46 ;     
03.03.1975 07:01:00   ;   502,30 ;     
16.02.1976 07:01:00   ;   502,41 ;     
05.12.1977 07:01:00   ;   502,14 ;     
09.01.1978 07:01:00   ;   502,20 ;     
21.09.1979 07:01:00   ;   502,25 ;     
06.10.1980 07:01:00   ;   502,35 ;     
21.12.1981 07:01:00   ;   502,18 ;     
23.08.1982 07:01:00   ;   502,19 ;     
29.08.1983 07:01:00   ;   501,99 ;     
17.12.1984 07:01:00   ;   502,35 ;     
18.11.1985 07:01:00   ;   501,92 ;     
17.11.1986 07:01:00   ;   502,15 ;     
06.07.1987 07:01:00   ;   501,88 ;     
31.12.1988 23:59:55   ;   502,09 ;     
20.02.1989 07:01:00   ;   501,84 ;     
24.09.1990 07:01:00   ;   501,94 ;     
16.09.1991 07:01:00   ;   502,08 ;     
31.08.1992 07:01:00   ;   501,94 ;     
05.07.1993 07:01:00   ;   501,88 ;     
08.08.1994 07:01:00   ;   501,90 ;     
18.12.1995 07:01:00   ;   501,77 ;     
12.02.1996 07:01:00   ;   501,91 ;     
02.11.1997 07:30:00   ;   501,60 ;     
30.03.1998 07:30:00   ;   501,75 ;     
01.02.1999 07:30:00   ;   501,77 ;     
18.09.2000 07:30:00   ;   501,78 ;     
31.12.2001 23:59:55   ;   501,69 ;     
21.01.2002 07:30:00   ;   501,55 ;     
25.08.2003 07:30:00   ;   501,61 ;     
23.02.2004 07:30:00   ;   501,85 ;     
07.03.2005 07:30:00   ;   501,63 ;     
20.11.2006 07:30:00   ;   501,56 ;     
20.08.2007 07:30:00   ;   501,64 ;     
07.01.2008 07:30:00   ;   501,68 ;     
31.08.2009 07:30:00   ;   501,78 ;     
26.07.2010 07:30:00   ;   501,82 ;     
12.09.2011 07:30:00   ;   501,69 ;     
13.02.2012 07:30:00   ;   501,55 ;     
14.10.2013 07:30:00   ;   501,50 ;     
03.11.2014 07:30:00   ;   501,87 ;     
31.12.2015 23:59:55   ;   501,61 ;     
04.01.2016 07:30:00   ;   501,61 ;     
13.03.2017 07:30:00   ;   501,51 ;     
01.10.2018 07:30:00   ;   501,35 ;     
30.01.2019 14:01:00   ;   501,54 ;     
24.02.2020 17:52:00   ;   501,73 ;     
01.11.2021 22:00:00   ;   501,27 ;     
