Messstelle:                ;Pupping, Br 2156.022
HZB-Nummer:                ;374793
HD-Nummer:                 ;2156.022
DBMS-Nummer:               ;4003058
Fremdnummer:               ;EA160
PorenGW-Gebiet:            ;096 Südliches Eferdinger Becken
Grundwasserkörper:         ;Eferdinger Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;02.01.1990
 Geländehöhe:              ;265,18
 Messpunkthöhe:            ;265,58
 Sohllage:                 ;258,77
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 01 33                 ;48 20 06
  01.01.2003               ;14 01 29                 ;48 20 09
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.01.1990 07:01:00   ;   260,25 ;     
16.12.1991 07:01:00   ;   260,13 ;     
03.02.1992 07:01:00   ;   260,17 ;     
05.01.1993 07:01:00   ;   260,19 ;     
05.12.1994 07:01:00   ;   260,19 ;     
23.01.1995 07:01:00   ;   260,21 ;     
12.02.1996 07:01:00   ;   260,16 ;     
03.02.1997 07:01:00   ;   260,24 ;     
09.02.1998 07:01:00   ;   260,29 ;     
04.12.1999 07:01:00   ;   260,21 ;     
24.11.2000 07:01:00   ;   260,26 ;     
02.11.2001 07:01:00   ;   260,22 ;     
18.01.2002 07:01:00   ;   260,23 ;     
06.11.2003 07:01:00   ;   260,14 ;     
02.01.2004 07:01:00   ;   260,15 ;     
18.11.2005 07:01:00   ;   260,11 ;     
03.02.2006 07:01:00   ;   260,06 ;     
05.10.2007 07:01:00   ;   259,99 ;     
07.11.2008 07:01:00   ;   260,03 ;     
16.01.2009 07:01:00   ;   260,01 ;     
06.11.2010 07:01:00   ;   260,00 ;     
29.04.2011 07:01:00   ;   259,99 ;     
01.12.2012 07:01:00   ;   259,93 ;     
27.04.2013 07:01:00   ;   260,02 ;     
20.09.2014 07:01:00   ;   260,09 ;     
31.12.2015 23:59:55   ;   259,91 ;     
16.01.2016 07:01:00   ;   259,90 ;     
04.02.2017 07:01:00   ;   260,16 ;     
24.03.2018 07:01:00   ;   260,18 ;     
17.05.2019 07:01:00   ;   259,94 ;     
13.03.2020 07:01:00   ;   260,26 ;     
12.02.2021 07:01:00   ;   260,29 ;     
