Messstelle:                ;Steinberg, Bl 12
HZB-Nummer:                ;335778
HD-Nummer:                 ;
DBMS-Nummer:               ;1002282
PorenGW-Gebiet:            ;326 Rabnitztal
Grundwasserkörper:         ;Rabnitztal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1993
 Geländehöhe:              ;256,82
 Messpunkthöhe:            ;257,57
 Sohllage:                 ;248,07
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1993               ;16 29 52                 ;47 27 56
  31.12.1992               ;16 29 48                 ;47 27 54
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
18.10.1993 07:01:00   ;   252,01 ;     
31.12.1994 23:59:55   ;   252,04 ;     
20.02.1995 07:01:00   ;   251,99 ;     
01.01.1996 00:00:05   ;   252,16 ;     
31.12.1997 23:59:55   ;   252,25 ;     
31.08.1998 13:00:00   ;   252,03 ;     
18.04.1999 11:00:00   ;   252,49 ;     
24.12.2000 11:00:00   ;   252,20 ;     
30.12.2001 11:00:00   ;   251,84 ;     
24.11.2002 11:00:00   ;   251,61 ;     
28.12.2003 11:00:00   ;   251,52 ;     
18.01.2004 11:00:00   ;   251,51 ;     
13.03.2005 11:00:00   ;   251,86 ;     
31.12.2006 23:59:55   ;   252,00 ;     
27.08.2007 11:00:00   ;   251,71 ;     
01.06.2008 11:00:00   ;   251,90 ;     
31.12.2009 23:59:55   ;   251,96 ;     
14.02.2010 11:06:00   ;   251,89 ;     
31.12.2011 23:59:55   ;   252,01 ;     
08.07.2012 08:16:00   ;   251,73 ;     
06.01.2013 12:50:00   ;   251,94 ;     
08.02.2014 09:00:00   ;   252,49 ;     
27.12.2015 08:40:00   ;   251,98 ;     
26.12.2016 10:25:00   ;   251,81 ;     
24.12.2017 09:40:00   ;   251,64 ;     
12.02.2018 08:55:00   ;   251,61 ;     
03.11.2019 07:58:00   ;   251,59 ;     
16.08.2020 08:35:00   ;   251,53 ;     
31.12.2021 23:59:55   ;   251,65 ;     
