Messstelle:                ;Picheldorf, Bl  2819
HZB-Nummer:                ;332601
HD-Nummer:                 ;uw2819
DBMS-Nummer:               ;6002663
PorenGW-Gebiet:            ;364 Mittleres Murtal
Grundwasserkörper:         ;Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Wasserwirtschaftliche Rahmenplanung STMK
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1983
 Geländehöhe:              ;496,44
 Messpunkthöhe:            ;497,14
 Sohllage:                 ;487,24
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 11 58                 ;47 24 39
  01.01.1983               ;15 11 57                 ;47 24 39
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
14.07.1986 07:01:00   ;   489,94 ;     
14.12.1987 07:01:00   ;   490,64 ;     
27.12.1988 07:01:00   ;   490,36 ;     
01.01.1989 00:00:05   ;   490,45 ;     
12.02.1990 07:01:00   ;   490,47 ;     
01.01.1991 00:00:05   ;   490,58 ;     
03.02.1992 07:01:00   ;   490,70 ;     
04.01.1993 07:01:00   ;   490,74 ;     
14.03.1994 07:01:00   ;   490,62 ;     
30.01.1995 07:01:00   ;   490,62 ;     
11.03.1996 07:01:00   ;   490,63 ;     
17.02.1997 07:01:00   ;   490,84 ;     
14.04.1998 07:01:00   ;   490,88 ;     
12.04.1999 07:01:00   ;   490,89 ;     
21.08.2000 07:01:00   ;   490,67 ;     
05.03.2001 07:01:00   ;   490,59 ;     
30.12.2002 07:01:00   ;   490,61 ;     
28.04.2003 07:01:00   ;   490,46 ;     
08.03.2004 07:01:00   ;   490,44 ;     
31.01.2005 07:01:00   ;   490,52 ;     
31.12.2006 23:59:55   ;   490,63 ;     
31.12.2007 07:01:00   ;   490,57 ;     
31.12.2008 23:59:55   ;   490,52 ;     
05.01.2009 07:01:00   ;   490,51 ;     
26.04.2010 07:01:00   ;   490,50 ;     
05.12.2011 07:01:00   ;   490,43 ;     
13.02.2012 07:01:00   ;   490,37 ;     
25.02.2013 07:01:00   ;   490,74 ;     
03.02.2014 07:01:00   ;   490,75 ;     
14.12.2015 07:01:00   ;   490,77 ;     
08.02.2016 07:01:00   ;   490,92 ;     
25.12.2017 07:01:00   ;   490,88 ;     
26.03.2018 07:01:00   ;   490,79 ;     
01.01.2019 00:00:05   ;   490,85 ;     
31.12.2020 23:59:55   ;   490,72 ;     
19.04.2021 07:01:00   ;   490,62 ;     
