Messstelle:                ;Lengberg, Bl 2 (Lavant, Bl 4)
HZB-Nummer:                ;334565
HD-Nummer:                 ;
DBMS-Nummer:               ;7002134
Fremdnummer:               ;GW70718026
PorenGW-Gebiet:            ;410 Oberes Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;05.01.2019
 Geländehöhe:              ;640,16
 Messpunkthöhe:            ;641,00
 Sohllage:                 ;635,69
 T-Messtiefe u.GOK:        ;4,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1989               ;12 52 29                 ;46 47 25
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
30.01.1989 07:01:00   ;   636,84 ;     
05.02.1990 07:01:00   ;   636,91 ;     
25.02.1991 07:01:00   ;   636,95 ;     
24.02.1992 07:01:00   ;   636,97 ;     
01.03.1993 07:01:00   ;   636,96 ;     
31.12.1994 23:59:55   ;   637,04 ;     
29.01.1995 07:01:00   ;   636,94 ;     
27.02.1996 07:01:00   ;   636,90 ;     
16.04.1997 12:00:00   ;   637,02 ;     
24.03.1998 12:00:00   ;   636,93 ;     
15.02.1999 12:00:00   ;   637,02 ;     
28.01.2000 12:00:00   ;   637,03 ;     
17.12.2001 12:00:00   ;   637,04 ;     
27.02.2002 12:00:00   ;   637,01 ;     
12.04.2003 12:00:00   ;   637,06 ;     
08.03.2004 12:00:00   ;   636,97 ;     
06.03.2005 12:00:00   ;   636,98 ;     
29.12.2006 17:00:00   ;   636,91 ;     
15.01.2007 10:00:00   ;   636,89 ;     
18.02.2008 11:00:00   ;   636,90 ;     
19.01.2009 12:00:00   ;   637,00 ;     
16.02.2010 07:00:00   ;   636,91 ;     
02.03.2011 12:00:00   ;   636,94 ;     
06.02.2012 12:00:00   ;   636,88 ;     
26.02.2013 20:00:00   ;   636,98 ;     
06.02.2014 13:00:00   ;   637,13 ;     
30.12.2015 17:00:00   ;   636,95 ;     
23.01.2016 16:00:00   ;   636,91 ;     
21.01.2017 19:00:00   ;   636,90 ;     
07.03.2018 13:00:00   ;   636,92 ;     
26.01.2019 20:00:00   ;   637,02 ;     
22.02.2020 04:00:00   ;   637,11 ;     
24.12.2021 09:00:00   ;   637,09 ;     
