Messstelle:                ;Neudorf, Br  5791
HZB-Nummer:                ;328955
HD-Nummer:                 ;uw5791
DBMS-Nummer:               ;6002549
PorenGW-Gebiet:            ;341 Ilztal
Grundwasserkörper:         ;Ilz und Rittscheintal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.06.1969
 Geländehöhe:              ;283,62
 Messpunkthöhe:            ;284,02
 Sohllage:                 ;279,02
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 56 35                 ;47 05 00
  11.11.1967               ;15 56 35                 ;47 05 00
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
20.08.1981 07:01:00   ;   280,05 ;     
08.05.1982 07:01:00   ;   280,25 ;     
14.11.1983 07:01:00   ;   280,00 ;     
24.12.1984 07:01:00   ;   279,96 ;     
21.01.1985 07:01:00   ;   279,94 ;     
31.12.1986 23:59:55   ;   279,94 ;     
05.01.1987 07:01:00   ;   279,93 ;     
08.08.1988 07:01:00   ;   279,93 ;     
02.03.1989 07:01:00   ;   279,91 ;     
19.03.1990 07:01:00   ;   279,92 ;     
18.02.1991 07:01:00   ;   280,23 ;     
28.09.1992 07:01:00   ;   279,95 ;     
27.09.1993 07:01:00   ;   279,83 ;     
24.10.1994 07:01:00   ;   280,02 ;     
11.12.1995 07:01:00   ;   279,96 ;     
26.08.1996 07:01:00   ;   280,08 ;     
10.11.1997 07:01:00   ;   280,03 ;     
08.06.1998 07:01:00   ;   279,98 ;     
08.11.1999 07:01:00   ;   279,99 ;     
15.09.2000 07:01:00   ;   279,76 ;     
17.12.2001 07:01:00   ;   279,85 ;     
29.07.2002 07:01:00   ;   279,80 ;     
25.08.2003 07:01:00   ;   279,91 ;     
20.12.2004 07:01:00   ;   280,05 ;     
24.01.2005 07:01:00   ;   280,01 ;     
11.12.2006 07:01:00   ;   279,97 ;     
15.01.2007 07:01:00   ;   279,88 ;     
01.12.2008 07:01:00   ;   279,99 ;     
18.05.2009 07:01:00   ;   280,26 ;     
12.07.2010 07:01:00   ;   280,28 ;     
27.12.2011 07:01:00   ;   280,00 ;     
02.04.2012 07:01:00   ;   279,92 ;     
21.10.2013 07:01:00   ;   280,05 ;     
05.05.2014 07:01:00   ;   280,31 ;     
21.09.2015 07:01:00   ;   279,99 ;     
17.10.2016 07:01:00   ;   279,95 ;     
29.05.2017 07:01:00   ;   279,90 ;     
29.10.2018 07:01:00   ;   279,96 ;     
23.09.2019 07:01:00   ;   279,89 ;     
01.06.2020 07:01:00   ;   279,89 ;     
15.11.2021 07:01:00   ;   279,82 ;     
