Messstelle:                ;Pergkirchen, Bl 2098.029
HZB-Nummer:                ;314633
HD-Nummer:                 ;2098.029
DBMS-Nummer:               ;4002329
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Wasserverband Naarn
Höhenangaben [m ü.A.]:     ;gültig seit: ;05.03.1968
 Geländehöhe:              ;242,98
 Messpunkthöhe:            ;243,83
 Sohllage:                 ;237,86
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 39 46                 ;48 13 56
  01.01.2003               ;14 39 48                 ;48 13 59
  05.03.1968               ;14 39 48                 ;48 13 59
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1971 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  1970 AKorr 2001: Regimeänderung durch Flussregulierung
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
28.09.1971 07:01:00   ;   239,31 ;     
17.10.1972 07:01:00   ;   239,48 ;     
16.10.1973 07:01:00   ;   239,28 ;     
09.10.1974 07:01:00   ;   239,63 ;     
22.12.1975 07:01:00   ;   239,45 ;     
20.07.1976 07:01:00   ;   239,27 ;     
31.10.1977 07:01:00   ;   239,31 ;     
19.09.1978 07:01:00   ;   239,25 ;     
30.10.1979 07:01:00   ;   239,51 ;     
30.09.1980 07:01:00   ;   239,52 ;     
14.07.1981 07:01:00   ;   239,38 ;     
21.09.1982 07:01:00   ;   239,28 ;     
27.09.1983 07:01:00   ;   239,13 ;     
24.12.1984 07:01:00   ;   239,36 ;     
08.01.1985 07:01:00   ;   239,36 ;     
14.10.1986 07:01:00   ;   239,18 ;     
17.11.1987 07:01:00   ;   239,51 ;     
17.08.1988 07:01:00   ;   239,43 ;     
25.07.1989 07:01:00   ;   239,45 ;     
04.09.1990 07:01:00   ;   239,28 ;     
05.11.1991 07:01:00   ;   239,38 ;     
29.09.1992 07:01:00   ;   239,08 ;     
13.07.1993 07:01:00   ;   239,47 ;     
27.09.1994 07:01:00   ;   239,18 ;     
08.08.1995 07:01:00   ;   239,38 ;     
13.02.1996 07:01:00   ;   239,76 ;     
11.11.1997 07:01:00   ;   239,46 ;     
01.09.1998 07:01:00   ;   239,38 ;     
25.10.1999 07:01:00   ;   239,37 ;     
03.10.2000 07:01:00   ;   239,39 ;     
14.08.2001 07:01:00   ;   239,41 ;     
06.08.2002 07:01:00   ;   239,42 ;     
09.09.2003 07:01:00   ;   239,34 ;     
01.01.2004 00:00:05   ;   239,37 ;     
06.12.2005 07:01:00   ;   239,44 ;     
31.12.2006 23:59:55   ;   239,43 ;     
03.09.2007 07:01:00   ;   239,28 ;     
07.11.2008 07:01:00   ;   239,35 ;     
30.01.2009 07:01:00   ;   239,51 ;     
12.11.2010 07:01:00   ;   239,58 ;     
07.10.2011 07:01:00   ;   239,22 ;     
19.10.2012 07:01:00   ;   239,10 ;     
15.11.2013 07:01:00   ;   239,48 ;     
08.05.2014 07:01:00   ;   239,36 ;     
01.10.2015 07:01:00   ;   239,07 ;     
01.01.2016 00:00:05   ;   239,23 ;     
05.10.2017 07:01:00   ;   239,18 ;     
17.10.2018 07:01:00   ;   239,00 ;     
18.12.2019 07:01:00   ;   239,06 ;     
15.01.2020 07:01:00   ;   239,11 ;     
24.11.2021 07:01:00   ;   239,33 ;     
