Messstelle:                ;Samesleiten, Bl 18.12
HZB-Nummer:                ;377218
HD-Nummer:                 ;2118.012
DBMS-Nummer:               ;4002788
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.01.1993
 Geländehöhe:              ;258,51
 Messpunkthöhe:            ;259,61
 Sohllage:                 ;241,91
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 25 21                 ;48 12 28
  01.01.2003               ;14 25 23                 ;48 12 30
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
17.12.1993 07:01:00   ;   248,68 ;     
01.01.1994 00:00:05   ;   248,74 ;     
18.02.1995 07:01:00   ;   248,59 ;     
10.02.1996 07:01:00   ;   249,00 ;     
29.11.1997 07:01:00   ;   249,68 ;     
05.09.1998 07:01:00   ;   249,34 ;     
17.12.1999 07:01:00   ;   249,32 ;     
31.12.2000 23:59:55   ;   249,00 ;     
29.12.2001 07:01:00   ;   248,79 ;     
01.01.2002 00:00:05   ;   248,83 ;     
31.12.2003 23:59:55   ;   248,91 ;     
31.12.2004 23:59:55   ;   248,45 ;     
14.01.2005 07:01:00   ;   248,43 ;     
31.12.2006 23:59:55   ;   249,12 ;     
16.08.2007 07:01:00   ;   248,80 ;     
31.12.2008 23:59:55   ;   248,79 ;     
30.01.2009 07:01:00   ;   248,69 ;     
31.12.2010 23:59:55   ;   249,27 ;     
30.12.2011 07:01:00   ;   248,26 ;     
01.01.2012 00:00:05   ;   248,26 ;     
01.01.2013 00:00:05   ;   248,49 ;     
01.08.2014 07:01:00   ;   248,46 ;     
31.12.2015 23:59:55   ;   248,14 ;     
23.01.2016 07:01:00   ;   248,10 ;     
22.12.2017 07:01:00   ;   248,41 ;     
21.11.2018 07:01:00   ;   247,91 ;     
23.10.2019 07:01:00   ;   247,78 ;     
28.01.2020 07:01:00   ;   247,85 ;     
20.01.2021 07:01:00   ;   248,30 ;     
