Messstelle:                ;Petronell, Bl 1890.6
HZB-Nummer:                ;331124
HD-Nummer:                 ;3HD30906
DBMS-Nummer:               ;10001063
Fremdnummer:               ;1890.006
PorenGW-Gebiet:            ;264 Fischamend bis Hainburger Pforte
Grundwasserkörper:         ;Gruppe Südl. Wiener Becken-Ostrand [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.04.2013
 Geländehöhe:              ;144,30
 Messpunkthöhe:            ;146,39
 Sohllage:                 ;137,10
 T-Messtiefe u.GOK:        ;9,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 51 19                 ;48 07 14
  01.01.2010               ;16 51 20                 ;48 07 13
  01.01.2007               ;16 51 20                 ;48 07 13
  01.01.1983               ;16 51 20                 ;48 07 13
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
24.11.1983 07:01:00   ;   140,00 ;     
15.12.1984 07:01:00   ;   140,14 ;     
24.01.1985 07:01:00   ;   139,88 ;     
18.12.1986 07:01:00   ;   139,86 ;     
14.11.1987 07:01:00   ;   140,14 ;     
14.11.1988 07:01:00   ;   140,17 ;     
16.12.1989 07:01:00   ;   140,03 ;     
13.02.1990 07:01:00   ;   139,96 ;     
19.12.1991 07:01:00   ;   139,67 ;     
22.10.1992 07:01:00   ;   139,69 ;     
07.12.1993 07:01:00   ;   140,04 ;     
11.11.1994 07:01:00   ;   139,66 ;     
03.11.1995 07:01:00   ;   140,09 ;     
15.03.1996 07:01:00   ;   139,84 ;     
01.12.1997 12:00:00   ;   139,48 ;     
05.03.1998 12:00:00   ;   139,60 ;     
09.11.1999 12:00:00   ;   139,88 ;     
31.12.2000 23:59:55   ;   140,05 ;     
07.11.2001 19:00:00   ;   139,93 ;     
21.01.2002 18:15:00   ;   140,20 ;     
30.08.2003 08:00:00   ;   139,35 ;     
07.01.2004 07:00:00   ;   139,36 ;     
06.12.2005 01:00:00   ;   139,47 ;     
13.02.2006 14:00:00   ;   139,10 ;     
01.01.2007 16:00:00   ;   139,47 ;     
17.11.2008 20:00:00   ;   139,53 ;     
02.02.2009 21:00:00   ;   139,59 ;     
19.02.2010 10:00:00   ;   139,65 ;     
05.12.2011 20:00:00   ;   139,30 ;     
16.12.2012 10:00:00   ;   139,79 ;     
31.12.2013 23:59:55   ;   139,86 ;     
15.03.2014 15:00:00   ;   139,49 ;     
21.11.2015 06:00:00   ;   139,23 ;     
05.01.2016 21:00:00   ;   139,26 ;     
31.01.2017 22:00:00   ;   139,23 ;     
24.10.2018 09:00:00   ;   139,00 ;     
18.12.2019 03:00:00   ;   139,40 ;     
31.01.2020 00:00:00   ;   139,40 ;     
01.12.2021 03:00:00   ;   139,26 ;     
