Messstelle:                ;Linz, Bl 35.10
HZB-Nummer:                ;378513
HD-Nummer:                 ;2135.010
DBMS-Nummer:               ;4002633
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2000
 Geländehöhe:              ;256,14
 Messpunkthöhe:            ;257,24
 Sohllage:                 ;247,41
 T-Messtiefe u.GOK:        ;8,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 17 32                 ;48 18 33
  01.01.2003               ;14 17 41                 ;48 18 41
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
05.03.1981 12:00:00   ;   250,61 ;     
02.12.1982 12:00:00   ;   250,56 ;     
25.11.1983 12:00:00   ;   250,46 ;     
31.12.1984 23:59:55   ;   250,42 ;     
08.01.1985 12:00:00   ;   250,37 ;     
11.12.1986 12:00:00   ;   250,47 ;     
09.11.1987 12:00:00   ;   250,55 ;     
24.01.1988 12:00:00   ;   250,59 ;     
04.12.1989 12:00:00   ;   250,54 ;     
05.02.1990 12:00:00   ;   250,34 ;     
06.11.1991 12:00:00   ;   250,39 ;     
28.01.1992 12:00:00   ;   250,47 ;     
07.12.1993 12:00:00   ;   250,22 ;     
06.11.1994 12:00:00   ;   250,14 ;     
23.01.1995 12:00:00   ;   250,26 ;     
07.03.1996 12:00:00   ;   250,16 ;     
27.01.1997 12:00:00   ;   250,23 ;     
20.02.1998 12:00:00   ;   250,29 ;     
26.10.1999 12:00:00   ;   250,34 ;     
28.01.2000 07:00:00   ;   250,36 ;     
26.11.2001 20:00:00   ;   250,36 ;     
17.01.2002 14:00:00   ;   250,33 ;     
22.11.2003 09:00:00   ;   250,05 ;     
09.01.2004 16:00:00   ;   250,07 ;     
30.12.2005 01:00:00   ;   250,15 ;     
28.12.2006 19:00:00   ;   250,00 ;     
01.01.2007 00:00:05   ;   250,06 ;     
22.02.2008 18:00:00   ;   250,08 ;     
22.02.2009 14:00:00   ;   250,12 ;     
20.02.2010 00:00:00   ;   250,06 ;     
27.02.2011 02:00:00   ;   250,13 ;     
05.11.2012 02:00:00   ;   250,19 ;     
26.12.2013 16:00:00   ;   250,18 ;     
10.01.2014 19:00:00   ;   250,15 ;     
26.02.2015 18:00:00   ;   250,21 ;     
26.12.2016 13:00:00   ;   250,27 ;     
16.02.2017 12:00:00   ;   250,20 ;     
23.08.2018 17:00:00   ;   250,19 ;     
21.12.2019 12:00:00   ;   250,21 ;     
22.12.2020 11:00:00   ;   250,16 ;     
23.01.2021 00:00:00   ;   250,20 ;     
