Messstelle:                ;St.Johann i.T.-Bärnst., Br 1
HZB-Nummer:                ;330589
HD-Nummer:                 ;
DBMS-Nummer:               ;7002037
Fremdnummer:               ;GW70416064
PorenGW-Gebiet:            ;025 Großachengebiet
Grundwasserkörper:         ;Großache [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Privat
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.07.2018
 Geländehöhe:              ;654,84
 Messpunkthöhe:            ;655,19
 Sohllage:                 ;642,34
 T-Messtiefe u.GOK:        ;6,65
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1985               ;12 25 41                 ;47 31 55
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
28.01.1985 07:01:00   ;   649,52 ;     
31.12.1986 23:59:55   ;   649,02 ;     
09.02.1987 07:01:00   ;   648,82 ;     
28.11.1988 07:01:00   ;   649,74 ;     
31.12.1989 23:59:55   ;   649,61 ;     
12.02.1990 07:01:00   ;   649,36 ;     
09.12.1991 07:01:00   ;   650,49 ;     
27.10.1992 07:01:00   ;   650,42 ;     
31.12.1993 23:59:55   ;   649,90 ;     
21.11.1994 07:01:00   ;   649,44 ;     
23.01.1995 07:01:00   ;   649,71 ;     
26.03.1996 07:01:00   ;   649,79 ;     
09.12.1997 07:01:00   ;   649,89 ;     
02.03.1998 07:01:00   ;   649,90 ;     
31.12.1999 23:59:55   ;   649,96 ;     
27.01.2000 17:00:00   ;   649,79 ;     
19.02.2001 07:01:00   ;   649,70 ;     
21.01.2002 17:00:00   ;   650,35 ;     
08.09.2003 17:00:00   ;   650,10 ;     
08.03.2004 16:00:00   ;   650,37 ;     
14.03.2005 16:00:00   ;   650,20 ;     
06.02.2006 17:00:00   ;   650,35 ;     
28.08.2007 16:30:00   ;   650,63 ;     
11.12.2008 06:00:00   ;   650,49 ;     
28.02.2009 08:00:00   ;   650,65 ;     
18.03.2010 14:00:00   ;   650,51 ;     
06.01.2011 01:00:00   ;   650,64 ;     
01.01.2012 00:00:05   ;   650,87 ;     
03.01.2013 08:00:00   ;   651,28 ;     
04.03.2014 21:00:00   ;   651,23 ;     
29.11.2015 21:00:00   ;   650,76 ;     
25.01.2016 06:00:00   ;   650,73 ;     
16.02.2017 09:00:00   ;   650,84 ;     
02.12.2018 21:00:00   ;   650,10 ;     
01.01.2019 00:00:05   ;   650,85 ;     
31.12.2020 19:00:00   ;   650,93 ;     
28.01.2021 20:00:00   ;   650,65 ;     
