Messstelle:                ;Klagenfurt, Bl 226
HZB-Nummer:                ;338996
HD-Nummer:                 ;
DBMS-Nummer:               ;2002151
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;26.06.2009
 Geländehöhe:              ;441,82
 Messpunkthöhe:            ;441,59
 Sohllage:                 ;429,99
 T-Messtiefe u.GOK:        ;9,55
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  09.02.1994               ;14 18 57                 ;46 37 17
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.12.1994 07:01:00   ;   433,72 ;     
31.12.1995 07:01:00   ;   433,24 ;     
15.03.1996 07:01:00   ;   433,00 ;     
29.11.1997 07:30:00   ;   433,28 ;     
15.05.1998 07:30:00   ;   432,93 ;     
15.04.1999 07:30:00   ;   433,40 ;     
18.04.2000 07:30:00   ;   433,45 ;     
31.12.2001 23:59:55   ;   433,16 ;     
08.04.2002 07:30:00   ;   432,74 ;     
18.05.2003 07:30:00   ;   433,36 ;     
12.03.2004 07:30:00   ;   433,68 ;     
08.04.2005 07:30:00   ;   433,61 ;     
30.12.2006 07:30:00   ;   433,53 ;     
25.02.2007 07:30:00   ;   433,32 ;     
07.05.2008 07:30:00   ;   432,96 ;     
27.05.2011 07:00:00   ;   433,62 ;     
12.05.2012 16:00:00   ;   433,05 ;     
29.10.2013 12:00:00   ;   433,72 ;     
04.01.2014 23:00:00   ;   434,13 ;     
20.05.2015 16:00:00   ;   433,70 ;     
24.05.2016 00:15:00   ;   433,67 ;     
16.05.2017 05:00:00   ;   433,59 ;     
31.12.2018 23:59:55   ;   433,82 ;     
02.02.2019 01:00:00   ;   433,64 ;     
05.06.2020 02:00:00   ;   433,72 ;     
31.12.2021 23:59:55   ;   433,73 ;     
