Messstelle:                ;Liesfeld, Blt 18
HZB-Nummer:                ;334946
HD-Nummer:                 ;
DBMS-Nummer:               ;7002170
Fremdnummer:               ;GW70514062
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.11.2017
 Geländehöhe:              ;503,49
 Messpunkthöhe:            ;504,49
 Sohllage:                 ;483,49
 T-Messtiefe u.GOK:        ;10,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.09.1990               ;12 01 49                 ;47 28 46
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2014 HG14 fehlende Monatsmittel zufolge Datensammlerausfall
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
03.09.1990 07:01:00   ;   499,07 ;     
04.03.1991 07:01:00   ;   498,99 ;     
03.02.1992 07:01:00   ;   499,09 ;     
08.03.1993 07:01:00   ;   499,03 ;     
21.02.1994 07:01:00   ;   498,84 ;     
22.01.1995 07:01:00   ;   499,21 ;     
20.02.1996 07:01:00   ;   499,29 ;     
24.11.1997 07:01:00   ;   499,53 ;     
23.02.1998 07:01:00   ;   499,26 ;     
08.02.1999 07:01:00   ;   499,31 ;     
18.01.2000 10:00:00   ;   499,37 ;     
22.01.2001 07:01:00   ;   499,45 ;     
25.02.2002 09:10:00   ;   499,13 ;     
15.12.2003 09:00:00   ;   499,32 ;     
01.01.2004 00:00:05   ;   499,34 ;     
14.03.2005 09:00:00   ;   499,32 ;     
06.02.2006 09:30:00   ;   499,40 ;     
26.02.2007 09:00:00   ;   499,46 ;     
03.02.2009 08:15:00   ;   499,40 ;     
01.02.2010 08:30:00   ;   499,34 ;     
23.04.2011 21:00:00   ;   499,29 ;     
01.01.2012 00:00:05   ;   499,42 ;     
29.12.2013 23:00:00   ;   499,46 ;     
17.03.2014 20:00:00   ;   499,28 ;     
31.12.2015 18:00:00   ;   499,24 ;     
28.01.2016 12:00:00   ;   499,20 ;     
30.01.2017 16:00:00   ;   499,20 ;     
02.12.2018 18:00:00   ;   499,27 ;     
20.12.2019 00:00:00   ;   499,43 ;     
27.01.2020 10:00:00   ;   499,40 ;     
25.01.2021 17:00:00   ;   499,32 ;     
