Messstelle:                ;Stopfenreuth, Bl 1887.1
HZB-Nummer:                ;356113
HD-Nummer:                 ;3HD38701
DBMS-Nummer:               ;10001123
Fremdnummer:               ;1887.001
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;via donau (WSD)
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2007
 Geländehöhe:              ;143,06
 Messpunkthöhe:            ;143,81
 Sohllage:                 ;138,61
 T-Messtiefe u.GOK:        ;4,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.10.2021               ;16 53 45                 ;48 08 41
  01.01.2010               ;16 53 45                 ;48 08 42
  20.08.2008               ;16 53 45                 ;48 08 41
  04.07.1981               ;16 53 45                 ;48 08 42
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
12.02.1998 14:00:00   ;   138,16 ;     
04.11.1999 14:00:00   ;   138,27 ;     
31.12.2000 23:59:55   ;   138,30 ;     
08.11.2001 14:00:00   ;   138,25 ;     
17.01.2002 14:00:00   ;   138,46 ;     
29.12.2003 09:00:00   ;   137,86 ;     
07.01.2004 07:00:00   ;   137,81 ;     
05.12.2005 14:00:00   ;   137,85 ;     
07.02.2006 15:00:00   ;   137,74 ;     
01.01.2007 19:00:00   ;   137,89 ;     
17.11.2008 15:00:00   ;   138,00 ;     
03.02.2009 06:00:00   ;   137,96 ;     
18.02.2010 16:00:00   ;   138,11 ;     
05.12.2011 12:00:00   ;   137,78 ;     
29.11.2012 13:00:00   ;   138,20 ;     
19.08.2013 10:29:00   ;   138,48 ;     
13.03.2014 16:00:00   ;   138,08 ;     
20.11.2015 13:00:00   ;   137,82 ;     
03.01.2016 13:00:00   ;   137,81 ;     
31.01.2017 16:00:00   ;   137,86 ;     
23.10.2018 20:00:00   ;   137,62 ;     
29.10.2019 17:00:00   ;   138,00 ;     
23.12.2020 10:00:00   ;   138,00 ;     
30.11.2021 15:00:00   ;   137,91 ;     
