Messstelle:                ;Dietach, Bl 26.6
HZB-Nummer:                ;376053
HD-Nummer:                 ;W26.6
DBMS-Nummer:               ;4002843
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;18.03.2015
 Geländehöhe:              ;304,03
 Messpunkthöhe:            ;304,69
 Sohllage:                 ;288,65
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 04 59                 ;48 10 03
  01.01.2003               ;14 04 56                 ;48 10 01
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
11.04.1991 07:01:00   ;   292,45 ;     
27.08.1992 07:01:00   ;   292,50 ;     
27.05.1993 07:01:00   ;   292,66 ;     
29.09.1994 07:01:00   ;   292,65 ;     
26.05.1995 07:01:00   ;   292,53 ;     
28.03.1996 07:01:00   ;   292,49 ;     
16.01.1997 07:01:00   ;   292,43 ;     
27.10.1998 07:01:00   ;   291,88 ;     
14.10.1999 07:01:00   ;   292,34 ;     
31.08.2000 07:01:00   ;   292,24 ;     
06.09.2001 07:01:00   ;   292,06 ;     
18.07.2002 07:01:00   ;   292,04 ;     
24.07.2003 07:01:00   ;   292,17 ;     
27.05.2004 07:01:00   ;   292,30 ;     
20.01.2005 07:01:00   ;   292,39 ;     
12.10.2006 07:01:00   ;   292,51 ;     
16.08.2007 07:01:00   ;   292,34 ;     
11.09.2008 07:01:00   ;   292,28 ;     
18.06.2009 07:01:00   ;   292,59 ;     
25.02.2010 07:01:00   ;   292,26 ;     
21.07.2011 07:01:00   ;   292,62 ;     
24.05.2012 07:01:00   ;   292,46 ;     
29.05.2013 07:01:00   ;   292,82 ;     
28.08.2014 07:01:00   ;   292,42 ;     
01.10.2015 07:01:00   ;   292,40 ;     
07.01.2016 07:01:00   ;   292,41 ;     
17.07.2017 07:01:00   ;   292,42 ;     
20.08.2018 07:01:00   ;   292,42 ;     
25.10.2019 07:01:00   ;   292,41 ;     
17.01.2020 07:01:00   ;   292,51 ;     
07.05.2021 07:01:00   ;   292,74 ;     
