Messstelle:                ;Baumgarten, Bl 2098.025
HZB-Nummer:                ;316679
HD-Nummer:                 ;2098.025
DBMS-Nummer:               ;4002384
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Wasserverband Naarn
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.04.1995
 Geländehöhe:              ;240,74
 Messpunkthöhe:            ;241,54
 Sohllage:                 ;235,30
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 39 29                 ;48 12 41
  01.01.2003               ;14 39 31                 ;48 12 42
  01.01.1965               ;14 39 31                 ;48 12 42
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
29.02.1972 07:01:00   ;   235,62 ;     
27.11.1973 07:01:00   ;   235,73 ;     
02.01.1974 07:01:00   ;   235,83 ;     
22.12.1975 07:01:00   ;   235,95 ;     
02.11.1976 07:01:00   ;   235,70 ;     
20.12.1977 07:01:00   ;   235,65 ;     
26.12.1978 07:01:00   ;   235,55 ;     
06.02.1979 07:01:00   ;   235,49 ;     
23.12.1980 07:01:00   ;   235,89 ;     
29.09.1981 07:01:00   ;   235,95 ;     
06.12.1982 07:01:00   ;   235,71 ;     
29.11.1983 07:01:00   ;   235,55 ;     
03.01.1984 07:01:00   ;   235,55 ;     
21.01.1985 07:01:00   ;   235,55 ;     
31.12.1986 07:01:00   ;   235,58 ;     
13.01.1987 07:01:00   ;   235,57 ;     
08.11.1988 07:01:00   ;   235,93 ;     
21.11.1989 07:01:00   ;   235,65 ;     
03.01.1990 07:01:00   ;   235,80 ;     
14.05.1991 07:01:00   ;   235,88 ;     
17.11.1992 07:01:00   ;   235,75 ;     
30.11.1993 07:01:00   ;   235,95 ;     
31.12.1994 23:59:55   ;   235,66 ;     
17.01.1995 07:01:00   ;   235,63 ;     
05.03.1996 07:01:00   ;   236,24 ;     
09.12.1997 07:01:00   ;   235,88 ;     
10.03.1998 07:01:00   ;   235,90 ;     
14.12.1999 07:01:00   ;   235,76 ;     
11.01.2000 07:01:00   ;   235,74 ;     
01.01.2001 00:00:05   ;   235,82 ;     
06.08.2002 07:01:00   ;   236,27 ;     
31.12.2003 23:59:55   ;   235,83 ;     
06.01.2004 07:01:00   ;   235,82 ;     
11.01.2005 07:01:00   ;   235,96 ;     
31.12.2006 23:59:55   ;   235,97 ;     
02.09.2007 07:01:00   ;   235,93 ;     
12.12.2008 07:01:00   ;   235,87 ;     
30.01.2009 07:01:00   ;   235,90 ;     
10.12.2010 07:01:00   ;   236,01 ;     
23.12.2011 07:01:00   ;   235,73 ;     
01.01.2012 00:00:05   ;   235,74 ;     
31.12.2013 23:59:55   ;   236,03 ;     
24.04.2014 07:01:00   ;   235,84 ;     
31.12.2015 23:59:55   ;   235,73 ;     
14.01.2016 07:01:00   ;   235,71 ;     
09.11.2017 07:01:00   ;   235,85 ;     
21.11.2018 07:01:00   ;   235,70 ;     
31.12.2019 23:59:55   ;   235,74 ;     
15.01.2020 07:01:00   ;   235,72 ;     
23.12.2021 07:01:00   ;   235,98 ;     
01.01.2022 00:00:05   ;   236,03 ;     
