Messstelle:                ;Kleinmünchen, Bl VIII
HZB-Nummer:                ;378679
HD-Nummer:                 ;VIII
DBMS-Nummer:               ;4002924
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Linzer Elektrizitäts-, Fernwärme- und Verkehrsbetriebe-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;18.06.2012
 Geländehöhe:              ;258,02
 Messpunkthöhe:            ;258,92
 Sohllage:                 ;252,30
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 18 58                 ;48 15 31
  01.01.2003               ;14 19 03                 ;48 15 27
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
06.12.1993 07:01:00   ;   252,40 ;     
08.08.1994 07:01:00   ;   252,45 ;     
23.01.1995 07:01:00   ;   252,67 ;     
12.02.1996 07:01:00   ;   252,72 ;     
10.02.1997 07:01:00   ;   252,92 ;     
08.06.1998 07:01:00   ;   252,98 ;     
18.10.1999 07:01:00   ;   253,08 ;     
15.07.2002 07:01:00   ;   252,99 ;     
22.12.2003 07:01:00   ;   252,86 ;     
27.12.2004 07:01:00   ;   252,61 ;     
01.01.2005 00:00:05   ;   252,61 ;     
10.02.2006 07:01:00   ;   252,75 ;     
27.06.2007 07:01:00   ;   252,67 ;     
20.02.2008 07:01:00   ;   252,69 ;     
09.12.2009 07:01:00   ;   252,64 ;     
20.01.2010 07:01:00   ;   252,64 ;     
01.06.2011 07:01:00   ;   252,32 ;     
12.12.2012 07:01:00   ;   252,51 ;     
17.04.2013 07:01:00   ;   252,49 ;     
23.07.2014 07:01:00   ;   252,31 ;     
26.08.2015 07:01:00   ;   252,27 ;     
05.05.2016 07:01:00   ;   252,32 ;     
25.01.2017 07:01:00   ;   252,30 ;     
08.05.2018 07:01:00   ;   252,29 ;     
29.04.2019 07:01:00   ;   252,42 ;     
15.06.2020 07:01:00   ;   252,32 ;     
08.03.2021 07:01:00   ;   251,82 ;     
