
Messstelle:                ;Linz, Bl 2135.6
HZB-Nummer:                ;324137
HD-Nummer:                 ;2135.006
DBMS-Nummer:               ;4002511
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;03.03.2008
 Geländehöhe:              ;263,63
 Messpunkthöhe:            ;263,63
 Sohllage:                 ;252,39
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 17 14                 ;48 18 00
  01.01.2003               ;14 17 15                 ;48 18 02
  30.03.1977               ;14 17 15                 ;48 18 02
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2021 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.04.1980 07:01:00   ;   252,71 ;     
25.11.1981 07:01:00   ;   252,63 ;     
30.11.1982 07:01:00   ;   252,92 ;     
29.11.1983 07:01:00   ;   252,77 ;     
31.12.1984 23:59:55   ;   252,36 ;     
22.01.1985 07:01:00   ;   252,29 ;     
16.12.1986 07:01:00   ;   252,43 ;     
01.01.1987 00:00:05   ;   252,45 ;     
16.02.1988 07:01:00   ;   252,85 ;     
19.12.1989 07:01:00   ;   252,91 ;     
25.09.1990 07:01:00   ;   252,61 ;     
17.12.1991 07:01:00   ;   252,63 ;     
20.08.1992 07:01:00   ;   252,35 ;     
16.08.1993 07:01:00   ;   252,22 ;     
01.01.1994 00:00:05   ;   252,48 ;     
01.01.1995 00:00:05   ;   252,65 ;     
22.04.1996 07:01:00   ;   252,86 ;     
10.02.1997 07:01:00   ;   252,99 ;     
08.06.1998 07:01:00   ;   252,96 ;     
01.02.1999 07:01:00   ;   253,18 ;     
18.12.2000 07:01:00   ;   253,10 ;     
26.11.2001 07:01:00   ;   253,00 ;     
30.12.2002 07:01:00   ;   251,88 ;     
14.04.2003 07:01:00   ;   251,86 ;     
01.01.2004 00:00:05   ;   252,87 ;     
31.12.2005 23:59:55   ;   252,97 ;     
25.12.2006 07:01:00   ;   252,96 ;     
16.01.2007 07:01:00   ;   252,96 ;     
15.12.2008 07:01:00   ;   252,53 ;     
23.02.2009 07:01:00   ;   252,48 ;     
29.03.2010 07:01:00   ;   252,50 ;     
23.05.2011 07:01:00   ;   252,68 ;     
09.01.2012 07:01:00   ;   252,82 ;     
31.12.2013 23:59:55   ;   253,09 ;     
26.05.2014 07:01:00   ;   252,62 ;     
16.11.2015 07:01:00   ;   252,28 ;     
01.01.2016 00:00:05   ;   252,42 ;     
08.05.2017 07:01:00   ;   252,77 ;     
19.02.2018 07:01:00   ;   252,75 ;     
31.12.2019 23:59:55   ;   252,78 ;     
23.03.2020 07:01:00   ;   252,52 ;     
