Messstelle:                ;Katzbach, Br 2132.017
HZB-Nummer:                ;323261
HD-Nummer:                 ;2132.017
DBMS-Nummer:               ;4002427
PorenGW-Gebiet:            ;143 Nördliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.04.1997
 Geländehöhe:              ;256,46
 Messpunkthöhe:            ;257,11
 Sohllage:                 ;244,90
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 19 01                 ;48 19 49
  01.01.2003               ;14 19 03                 ;48 19 52
  01.01.1976               ;14 19 03                 ;48 19 52
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1980 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
08.12.1980 07:01:00   ;   249,26 ;     
06.07.1981 07:01:00   ;   249,26 ;     
27.12.1982 07:01:00   ;   248,87 ;     
01.01.1983 00:00:05   ;   248,88 ;     
17.12.1984 07:01:00   ;   248,76 ;     
07.01.1985 07:01:00   ;   248,74 ;     
15.12.1986 07:01:00   ;   248,96 ;     
11.12.1989 07:01:00   ;   248,89 ;     
12.02.1990 07:01:00   ;   248,86 ;     
06.05.1991 07:01:00   ;   248,73 ;     
31.10.1992 07:01:00   ;   248,82 ;     
11.12.1993 07:01:00   ;   248,79 ;     
24.12.1994 07:01:00   ;   248,67 ;     
01.01.1995 00:00:05   ;   248,70 ;     
23.03.1996 07:01:00   ;   248,91 ;     
15.02.1997 07:01:00   ;   248,80 ;     
14.03.1998 07:01:00   ;   248,80 ;     
18.12.1999 07:01:00   ;   248,71 ;     
15.01.2000 07:01:00   ;   248,70 ;     
06.01.2001 07:01:00   ;   248,88 ;     
01.01.2002 00:00:05   ;   249,15 ;     
31.12.2003 23:59:55   ;   248,98 ;     
09.01.2004 07:01:00   ;   248,97 ;     
16.12.2005 07:01:00   ;   248,94 ;     
06.01.2006 07:01:00   ;   248,92 ;     
01.01.2007 00:00:05   ;   249,03 ;     
12.12.2008 07:01:00   ;   249,10 ;     
30.01.2009 07:01:00   ;   249,07 ;     
19.02.2010 07:01:00   ;   249,06 ;     
16.12.2011 07:01:00   ;   249,17 ;     
07.12.2012 07:01:00   ;   249,15 ;     
01.01.2013 00:00:05   ;   249,22 ;     
18.12.2014 12:18:00   ;   249,12 ;     
02.01.2015 07:01:00   ;   249,12 ;     
31.12.2016 23:59:55   ;   249,40 ;     
20.10.2017 07:01:00   ;   249,23 ;     
21.12.2018 07:01:00   ;   249,22 ;     
20.12.2019 07:01:00   ;   249,23 ;     
25.12.2020 07:01:00   ;   248,96 ;     
15.01.2021 07:01:00   ;   248,96 ;     
