Messstelle:                ;Scheiblingkirchen
HZB-Nummer:                ;209544
HD-Nummer:                 ;no730
DBMS-Nummer:               ;3001170
Gewässer:                  ;Schlattenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;69,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   31.12.1983              ;00369,42
   01.01.1984              ;00369,68
   05.05.2014              ;00369,71
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1984              ;735321,00 - 280195,00
Exportzeitreihe:           ;(3001170,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1984 00:30,01.01.2022 00:00]
Werte:
31.01.1984 13:00:00;    48
21.02.1984 14:00:00;    48
25.03.1984 09:00:00;    50
30.04.1984 12:30:00;    63
07.05.1984 05:00:00;    59
27.06.1984 22:00:00;    56
31.07.1984 19:00:00;    50
05.08.1984 19:30:00;    48
06.09.1984 04:00:00;    48
25.10.1984 09:30:00;    51
14.11.1984 11:00:00;    51
31.12.1984 09:00:00;    49
15.01.1985 03:30:00;    45
22.02.1985 00:00:05;    48
01.03.1985 10:30:00;    51
24.04.1985 07:45:00;    58
01.05.1985 16:15:00;    60
18.06.1985 03:30:00;    60
29.07.1985 19:30:00;    61
16.08.1985 23:00:00;    61
25.09.1985 09:00:00;    60
12.10.1985 18:30:00;    59
19.11.1985 09:45:00;    60
01.12.1985 00:00:00;    65
10.01.1986 22:45:00;    64
17.02.1986 12:45:00;    59
05.03.1986 12:15:00;    63
26.04.1986 17:45:00;    67
26.05.1986 18:15:00;    62
12.06.1986 08:00:00;    64
17.07.1986 20:00:00;    62
05.08.1986 03:45:00;    60
30.09.1986 21:00:00;    63
16.10.1986 10:00:00;    61
10.11.1986 11:45:00;    61
15.12.1986 14:00:00;    60
25.01.1987 11:30:00;    60
10.02.1987 16:30:00;    61
19.03.1987 08:30:00;    65
30.04.1987 23:59:55;    66
03.05.1987 20:00:00;    66
30.06.1987 23:59:55;    66
19.07.1987 00:00:00;    61
24.08.1987 06:45:00;    60
17.09.1987 23:30:00;    58
10.10.1987 05:45:00;    59
01.11.1987 00:00:00;    60
14.12.1987 13:15:00;    59
24.01.1988 07:15:00;    60
26.02.1988 06:45:00;    56
04.03.1988 07:00:00;    59
30.04.1988 23:59:55;    64
14.05.1988 17:15:00;    60
30.06.1988 23:59:55;    62
31.07.1988 23:59:55;    56
01.08.1988 01:00:00;    56
01.09.1988 05:15:00;    58
14.10.1988 10:00:00;    60
22.11.1988 10:30:00;    59
01.12.1988 00:00:00;    62
30.01.1989 10:45:00;    59
14.02.1989 04:15:00;    60
18.03.1989 00:00:00;    61
14.04.1989 09:00:00;    60
27.05.1989 23:00:00;    65
16.06.1989 07:30:00;    65
22.07.1989 19:00:00;    64
08.08.1989 18:30:00;    69
19.09.1989 17:45:00;    66
22.10.1989 18:45:00;    65
24.11.1989 00:00:00;    63
16.12.1989 00:00:00;    59
30.01.1990 00:00:00;    56
08.02.1990 00:30:00;    52
19.03.1990 09:00:00;    52
03.04.1990 06:15:00;    52
06.05.1990 23:45:00;    53
20.06.1990 09:00:00;    54
31.07.1990 23:59:55;    53
24.08.1990 05:00:00;    49
01.09.1990 00:00:00;    50
27.10.1990 12:15:00;    51
13.11.1990 23:15:00;    52
02.12.1990 06:00:00;    56
29.01.1991 08:15:00;    55
15.02.1991 02:30:00;    51
01.03.1991 02:15:00;    54
27.04.1991 00:00:00;    54
01.05.1991 00:15:00;    54
27.06.1991 18:30:00;    58
09.07.1991 13:30:00;    32
31.08.1991 23:59:55;    58
01.09.1991 03:45:00;    56
02.10.1991 22:00:00;    57
14.11.1991 17:45:00;    56
15.12.1991 08:30:00;    54
17.01.1992 00:00:00;    59
01.02.1992 00:00:00;    60
17.03.1992 00:00:00;    72
25.04.1992 23:30:00;    73
21.05.1992 17:00:00;    69
05.06.1992 01:45:00;    64
31.07.1992 04:15:00;    61
29.08.1992 06:15:00;    53
01.09.1992 00:00:00;    55
02.10.1992 05:30:00;    61
02.11.1992 23:00:00;    68
25.12.1992 23:45:00;    69
31.01.1993 02:30:00;    60
17.02.1993 09:45:00;    60
05.03.1993 03:00:00;    59
30.04.1993 23:59:55;    64
24.05.1993 19:30:00;    60
17.06.1993 09:15:00;    58
31.07.1993 22:30:00;    58
19.08.1993 22:45:00;    55
26.09.1993 02:00:00;    55
03.10.1993 00:00:00;    61
29.11.1993 18:45:00;    60
02.12.1993 09:00:00;    64
30.01.1994 00:00:00;    70
14.02.1994 03:00:00;    65
28.03.1994 06:15:00;    65
06.04.1994 00:00:00;    64
15.05.1994 20:00:00;    68
30.06.1994 18:15:00;    66
31.07.1994 12:15:00;    60
08.08.1994 02:00:00;    56
30.09.1994 11:30:00;    57
03.10.1994 07:30:00;    57
04.11.1994 19:00:00;    62
17.12.1994 07:00:00;    62
09.01.1995 12:15:00;    59
16.02.1995 11:15:00;    62
01.03.1995 00:00:00;    68
13.04.1995 19:30:00;    69
27.05.1995 22:45:00;    65
03.06.1995 15:30:00;    64
26.07.1995 19:45:00;    63
05.08.1995 19:30:00;    61
30.09.1995 23:59:55;    60
01.10.1995 00:00:00;    60
03.11.1995 10:15:00;    61
14.12.1995 07:00:00;    54
07.01.1996 01:15:00;    61
29.02.1996 04:00:00;    60
10.03.1996 09:00:00;    57
01.04.1996 08:30:00;    76
09.05.1996 03:00:00;    74
20.06.1996 13:30:00;    67
