Messstelle:                ;Pöllau (Prätisbach-II)
HZB-Nummer:                ;211623
HD-Nummer:                 ;ow4560
DBMS-Nummer:               ;6001111
Gewässer:                  ;Prätisbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;21,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00433,23
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1980              ;711931,90 - 241631,50
   01.01.2018              ;711938,10 - 241590,50
Exportzeitreihe:           ;(6001111,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1980 00:15,01.01.2022 00:00]
Werte:
12.01.1980 18:45:00;     7
29.02.1980 02:15:00;     5
05.03.1980 00:15:00;     6
13.04.1980 14:45:00;     7
26.05.1980 00:45:00;     6
04.06.1980 19:00:00;     6
31.07.1980 23:59:55;     9
01.08.1980 20:30:00;     8
07.09.1980 03:30:00;    10
07.10.1980 05:00:00;    11
01.11.1980 00:00:00;    13
22.12.1980 21:00:00;    13
07.01.1981 23:15:00;    11
16.02.1981 08:00:00;    11
06.03.1981 11:45:00;    18
16.04.1981 10:15:00;    12
31.05.1981 23:59:55;     9
01.06.1981 15:15:00;     7
22.07.1981 13:30:00;     9
03.08.1981 16:45:00;     9
07.09.1981 00:00:00;    10
20.10.1981 21:00:00;    13
30.11.1981 21:00:00;    12
21.12.1981 09:00:00;     8
01.01.1982 05:45:00;    11
20.02.1982 09:00:00;     8
01.03.1982 12:00:00;    10
30.04.1982 09:00:00;    10
06.05.1982 22:00:00;    11
23.06.1982 01:00:00;    10
31.07.1982 13:30:00;    13
07.08.1982 09:45:00;    12
29.09.1982 11:30:00;     9
01.10.1982 11:00:00;     9
24.11.1982 07:30:00;    16
08.12.1982 03:30:00;    17
14.01.1983 15:15:00;    14
25.02.1983 08:30:00;    12
01.03.1983 13:45:00;    14
28.04.1983 11:45:00;    12
22.05.1983 17:00:00;    10
30.06.1983 16:00:00;     9
18.07.1983 18:15:00;     6
24.08.1983 01:15:00;     4
11.09.1983 02:00:00;     4
06.10.1983 03:00:00;     5
25.11.1983 03:30:00;     5
03.12.1983 07:15:00;     3
12.01.1984 10:00:00;     2
12.02.1984 04:15:00;     2
01.03.1984 15:45:00;     8
29.04.1984 10:00:00;    12
18.05.1984 02:30:00;    10
28.06.1984 15:00:00;    10
31.07.1984 20:00:00;     6
30.08.1984 00:30:00;     5
03.09.1984 19:30:00;     4
01.10.1984 00:00:00;     8
15.11.1984 00:00:00;     8
31.12.1984 23:45:00;     3
01.01.1985 00:00:00;     3
19.02.1985 12:45:00;     7
01.03.1985 00:00:00;     8
26.04.1985 12:15:00;    15
06.05.1985 14:15:00;    14
26.06.1985 04:00:00;    15
27.07.1985 14:30:00;    14
25.08.1985 15:30:00;    13
29.09.1985 07:15:00;     9
15.10.1985 17:45:00;     8
21.11.1985 12:00:00;     7
04.12.1985 12:00:00;     2
11.01.1986 05:45:00;     3
19.02.1986 11:30:00;     5
02.03.1986 19:45:00;     8
30.04.1986 15:30:00;    15
28.05.1986 05:45:00;    10
18.06.1986 10:30:00;     8
22.07.1986 17:45:00;    11
30.08.1986 23:30:00;     4
26.09.1986 12:15:00;     5
18.10.1986 04:00:00;     8
27.11.1986 23:30:00;     7
