Messstelle:                ;Seespitze (Seepegel)
HZB-Nummer:                ;202184
HD-Nummer:                 ;
DBMS-Nummer:               ;7001109
Gewässer:                  ;Plansee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Elektrizitätswerk der Marktgemeinde Reutte
orogr.Einzugsgebiet [km²]: ;115,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1926              ;00969,00
   01.01.1986              ;00969,95
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1902              ;184230,00 - 259360,00
Exportzeitreihe:           ;(7001109,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1985 02:00,01.01.2022 00:00]
Werte:
16.01.1985 06:00:00;   416
28.02.1985 06:00:00;   303
31.03.1985 06:00:00;    99
01.04.1985 02:00:00;    97
01.05.1985 02:00:00;   397
13.06.1985 06:00:00;   542
24.07.1985 06:00:00;   544
22.08.1985 06:00:00;   565
02.09.1985 08:00:00;   567
09.10.1985 06:00:00;   560
28.11.1985 06:00:00;   514
30.12.1985 06:00:00;   502
31.01.1986 06:00:00;   411
28.02.1986 06:00:00;   261
30.03.1986 06:00:00;   119
01.04.1986 00:00:00;   124
01.05.1986 00:00:00;   416
01.06.1986 02:00:00;   522
03.07.1986 06:00:00;   543
22.08.1986 06:00:00;   545
17.09.1986 06:00:00;   574
30.10.1986 06:00:00;   558
28.11.1986 06:00:00;   546
18.12.1986 06:00:00;   502
31.01.1987 06:00:00;   379
27.02.1987 06:00:00;   260
31.03.1987 06:00:00;   104
01.04.1987 00:00:00;   104
01.05.1987 02:00:00;   546
12.06.1987 06:00:00;   537
17.07.1987 06:00:00;   534
14.08.1987 06:00:00;   538
01.09.1987 00:00:00;   546
29.10.1987 06:00:00;   560
12.11.1987 06:00:00;   543
16.12.1987 06:00:00;   537
30.01.1988 14:00:00;   418
29.02.1988 22:00:00;   254
31.03.1988 22:00:00;   106
01.04.1988 00:00:00;   106
06.05.1988 06:00:00;   447
26.06.1988 06:00:00;   550
29.07.1988 14:00:00;   551
26.08.1988 22:00:00;   548
03.09.1988 06:00:00;   566
28.10.1988 22:00:00;   555
25.11.1988 22:00:00;   557
24.12.1988 14:00:00;   544
31.01.1989 06:00:00;   449
25.02.1989 06:00:00;   293
30.03.1989 06:00:00;   116
01.04.1989 00:00:00;   119
01.05.1989 00:00:00;   364
09.06.1989 06:00:00;   522
01.07.1989 00:00:00;   530
19.08.1989 06:00:00;   553
01.09.1989 00:00:00;   568
26.10.1989 06:00:00;   579
30.11.1989 06:00:00;   539
15.12.1989 06:00:00;   508
26.01.1990 22:00:00;   445
28.02.1990 22:00:00;   370
31.03.1990 14:00:00;   101
01.04.1990 00:00:00;   101
01.05.1990 00:00:00;   260
01.06.1990 00:00:00;   524
07.07.1990 06:00:00;   547
04.08.1990 06:00:00;   555
08.09.1990 06:00:00;   575
26.10.1990 06:00:00;   563
30.11.1990 06:00:00;   576
21.12.1990 06:00:00;   472
31.01.1991 22:00:00;   450
23.02.1991 06:00:00;   271
30.03.1991 14:00:00;   101
01.04.1991 00:00:00;   108
01.05.1991 00:00:00;   244
21.06.1991 22:00:00;   533
19.07.1991 22:00:00;   551
30.08.1991 22:00:00;   548
01.09.1991 00:00:00;   549
25.10.1991 06:00:00;   575
30.11.1991 06:00:00;   563
18.12.1991 22:00:00;   489
31.01.1992 22:00:00;   453
29.02.1992 06:00:00;   341
31.03.1992 22:00:00;   106
01.04.1992 22:00:00;   105
02.05.1992 14:00:00;   489
04.06.1992 22:00:00;   513
01.07.1992 22:00:00;   524
01.08.1992 00:00:00;   548
01.09.1992 00:00:00;   557
06.10.1992 22:00:00;   581
27.11.1992 22:00:00;   572
18.12.1992 22:00:00;   529
30.01.1993 14:00:00;   533
28.02.1993 06:00:00;   306
31.03.1993 22:00:00;   141
01.04.1993 02:00:00;   140
