Messstelle:                ;Radstadt (Enns)
HZB-Nummer:                ;203729
HD-Nummer:                 ;
DBMS-Nummer:               ;5001067
Gewässer:                  ;Enns
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;189,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00823,31
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;460560,00 - 249510,00
Exportzeitreihe:           ;(5001067,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
05.01.1976 10:00:00;   149
10.02.1976 10:00:00;   146
23.03.1976 10:00:00;   147
01.04.1976 00:00:00;   160
01.05.1976 02:00:00;   164
30.06.1976 23:59:55;   167
16.07.1976 10:00:00;   157
31.08.1976 08:00:00;   165
29.09.1976 08:00:00;   161
30.10.1976 08:00:00;   153
20.11.1976 10:00:00;   152
01.12.1976 00:00:00;   152
01.01.1977 00:00:05;   146
01.02.1977 00:00:00;   148
01.03.1977 00:00:00;   160
12.04.1977 10:00:00;   169
12.05.1977 08:00:00;   183
06.06.1977 08:00:00;   176
08.07.1977 08:00:00;   172
31.08.1977 08:00:00;   166
30.09.1977 10:00:00;   158
24.10.1977 10:00:00;   151
23.11.1977 10:00:00;   150
01.12.1977 00:00:00;   150
25.01.1978 10:00:00;   148
01.02.1978 00:00:00;   148
25.03.1978 10:00:00;   156
18.04.1978 08:00:00;   165
16.05.1978 08:00:00;   182
30.06.1978 08:00:00;   173
01.07.1978 00:00:00;   173
27.08.1978 08:00:00;   160
03.09.1978 10:00:00;   160
19.10.1978 10:00:00;   163
26.11.1978 10:00:00;   152
20.12.1978 10:00:00;   151
30.01.1979 08:00:00;   145
26.02.1979 10:00:00;   144
01.03.1979 00:00:00;   144
04.04.1979 08:00:00;   154
01.05.1979 00:00:00;   168
11.06.1979 08:00:00;   185
31.07.1979 10:00:00;   172
24.08.1979 08:00:00;   167
14.09.1979 08:00:00;   155
28.10.1979 10:00:00;   150
01.11.1979 00:00:00;   150
31.12.1979 10:00:00;   154
31.01.1980 23:59:55;   146
14.02.1980 10:00:00;   143
01.03.1980 00:00:00;   143
10.04.1980 08:00:00;   158
01.05.1980 00:00:00;   168
03.06.1980 06:00:00;   182
31.07.1980 06:00:00;   180
27.08.1980 06:00:00;   160
30.09.1980 08:00:00;   159
06.10.1980 10:00:00;   154
14.11.1980 08:00:00;   155
23.12.1980 10:00:00;   150
27.01.1981 00:01:00;   149
26.02.1981 10:00:00;   144
01.03.1981 00:00:00;   144
25.04.1981 06:00:00;   166
06.05.1981 08:00:00;   164
07.06.1981 06:00:00;   175
07.07.1981 12:00:00;   163
15.08.1981 06:00:00;   165
23.09.1981 06:00:00;   158
09.10.1981 10:00:00;   156
30.11.1981 23:59:55;   155
29.12.1981 00:01:00;   147
01.01.1982 00:00:00;   147
07.02.1982 08:00:00;   145
07.03.1982 10:00:00;   145
28.04.1982 10:00:00;   161
03.05.1982 08:00:00;   158
16.06.1982 08:00:00;   179
20.07.1982 08:00:00;   163
28.08.1982 08:00:00;   160
12.09.1982 08:00:00;   136
01.10.1982 00:00:00;   147
25.11.1982 14:00:00;   145
10.12.1982 10:00:00;   143
01.01.1983 00:00:00;   145
28.02.1983 10:00:00;   147
01.03.1983 02:00:00;   144
06.04.1983 08:00:00;   158
31.05.1983 10:00:00;   175
01.06.1983 00:00:00;   175
29.07.1983 08:00:00;   152
29.08.1983 08:00:00;   147
01.09.1983 02:00:00;   147
06.10.1983 08:00:00;   145
23.11.1983 10:00:00;   140
20.12.1983 00:01:00;   142
26.01.1984 16:00:00;   138
29.02.1984 23:59:55;   137
07.03.1984 16:00:00;   136
05.04.1984 08:00:00;   151
01.05.1984 00:00:00;   164
13.06.1984 08:00:00;   177
21.07.1984 10:00:00;   161
24.08.1984 08:00:00;   157
05.09.1984 08:00:00;   159
31.10.1984 10:00:00;   150
30.11.1984 23:59:55;   141
28.12.1984 00:01:00;   135
27.01.1985 00:01:00;   137
01.02.1985 00:00:00;   138
01.03.1985 00:00:00;   139
02.04.1985 08:00:00;   154
01.05.1985 00:00:00;   160
20.06.1985 08:00:00;   174
29.07.1985 08:00:00;   158
17.08.1985 08:00:00;   162
30.09.1985 23:59:55;   151
25.10.1985 10:00:00;   140
28.11.1985 16:00:00;   139
01.12.1985 00:00:00;   139
08.01.1986 00:01:00;   137
